Tarih,TP_ODEMGZS_FRANSA
2014-11-01,57201.0
2014-12-01,33352.0
2015-01-01,33470.0
2015-02-01,30631.0
2015-03-01,36004.0
2015-04-01,54330.0
2015-05-01,96601.0
2015-06-01,64708.0
2015-07-01,79472.0
2015-08-01,225089.0
2015-09-01,86581.0
2015-10-01,74840.0
2015-11-01,40913.0
2015-12-01,29414.0
2016-01-01,31343.0
2016-02-01,29114.0
2016-03-01,28819.0
2016-04-01,41405.0
2016-05-01,44402.0
2016-06-01,32252.0
2016-07-01,45929.0
2016-08-01,157045.0
2016-09-01,56746.0
2016-10-01,40267.0
2016-11-01,30282.0
2016-12-01,24378.0
2017-01-01,24209.0
2017-02-01,22264.0
2017-03-01,23470.0
2017-04-01,38246.0
2017-05-01,39677.0
2017-06-01,28503.0
2017-07-01,52587.0
2017-08-01,162337.0
2017-09-01,80975.0
2017-10-01,44942.0
2017-11-01,35909.0
2017-12-01,27101.0
2018-01-01,31943.0
2018-02-01,25961.0
2018-03-01,34554.0
2018-04-01,50736.0
2018-05-01,62997.0
2018-06-01,38564.0
2018-07-01,60450.0
2018-08-01,197484.0
2018-09-01,92911.0
2018-10-01,61628.0
2018-11-01,47833.0
2018-12-01,32929.0
2019-01-01,37649.0
2019-02-01,34992.0
2019-03-01,40486.0
2019-04-01,64096.0
2019-05-01,59899.0
2019-06-01,61844.0
2019-07-01,80024.0
2019-08-01,244070.0
2019-09-01,98761.0
2019-10-01,69733.0
2019-11-01,51887.0
2019-12-01,35644.0
2020-01-01,40713.0
2020-02-01,40636.0
2020-03-01,24453.0
2020-04-01,508.0
2020-05-01,177.0
2020-06-01,2515.0
2020-07-01,14022.0
2020-08-01,79418.0
2020-09-01,36132.0
2020-10-01,37215.0
2020-11-01,21253.0
2020-12-01,19699.0
2021-01-01,23347.0
2021-02-01,10198.0
2021-03-01,12541.0
2021-04-01,15782.0
2021-05-01,15981.0
2021-06-01,23135.0
2021-07-01,46410.0
2021-08-01,223959.0
2021-09-01,88077.0
2021-10-01,56385.0
2021-11-01,61590.0
2021-12-01,39945.0
2022-01-01,39615.0
2022-02-01,42844.0
2022-03-01,47953.0
2022-04-01,47595.0
2022-05-01,81770.0
2022-06-01,70147.0
2022-07-01,95952.0
2022-08-01,271405.0
2022-09-01,103572.0
2022-10-01,76064.0
2022-11-01,67336.0
2022-12-01,45959.0
2023-01-01,46925.0
2023-02-01,46276.0
2023-03-01,46391.0
2023-04-01,56344.0
2023-05-01,89796.0
2023-06-01,67664.0
2023-07-01,94606.0
2023-08-01,255203.0
2023-09-01,115315.0
2023-10-01,93639.0
2023-11-01,73610.0
2023-12-01,46707.0
2024-01-01,53064.0
2024-02-01,47492.0
2024-03-01,54379.0
2024-04-01,80246.0
2024-05-01,111148.0
2024-06-01,73335.0
2024-07-01,95149.0
2024-08-01,255655.0
2024-09-01,106687.0
2024-10-01,96601.0
2024-11-01,68479.0
2024-12-01,48962.0
2025-01-01,55451.0
2025-02-01,55934.0
2025-03-01,47039.0
2025-04-01,84446.0
2025-05-01,98254.0
2025-06-01,80907.0
2025-07-01,96123.0
2025-08-01,258986.0
