Tarih,TP_ODEMGZS_ASYATOP
2014-10-01,494787.0
2014-11-01,329999.0
2014-12-01,315450.0
2015-01-01,337050.0
2015-02-01,328697.0
2015-03-01,454626.0
2015-04-01,447987.0
2015-05-01,464283.0
2015-06-01,513653.0
2015-07-01,616268.0
2015-08-01,812184.0
2015-09-01,653266.0
2015-10-01,503902.0
2015-11-01,350569.0
2015-12-01,332101.0
2016-01-01,347043.0
2016-02-01,312080.0
2016-03-01,420731.0
2016-04-01,331962.0
2016-05-01,367062.0
2016-06-01,366107.0
2016-07-01,452510.0
2016-08-01,530496.0
2016-09-01,636929.0
2016-10-01,401107.0
2016-11-01,344597.0
2016-12-01,325225.0
2017-01-01,320871.0
2017-02-01,338545.0
2017-03-01,452284.0
2017-04-01,498740.0
2017-05-01,477974.0
2017-06-01,437657.0
2017-07-01,801770.0
2017-08-01,995604.0
2017-09-01,935093.0
2017-10-01,600489.0
2017-11-01,504901.0
2017-12-01,493369.0
2018-01-01,520947.0
2018-02-01,494309.0
2018-03-01,653837.0
2018-04-01,660639.0
2018-05-01,472336.0
2018-06-01,541039.0
2018-07-01,830611.0
2018-08-01,1105172.0
2018-09-01,799601.0
2018-10-01,605591.0
2018-11-01,514972.0
2018-12-01,476655.0
2019-01-01,544441.0
2019-02-01,476311.0
2019-03-01,587392.0
2019-04-01,698748.0
2019-05-01,537094.0
2019-06-01,740333.0
2019-07-01,1033504.0
2019-08-01,1328552.0
2019-09-01,929993.0
2019-10-01,724444.0
2019-11-01,577874.0
2019-12-01,533314.0
2020-01-01,625305.0
2020-02-01,453548.0
2020-03-01,136205.0
2020-04-01,17378.0
2020-05-01,11671.0
2020-06-01,19377.0
2020-07-01,52545.0
2020-08-01,87958.0
2020-09-01,129849.0
2020-10-01,182571.0
2020-11-01,179789.0
2020-12-01,146627.0
2021-01-01,126394.0
2021-02-01,120467.0
2021-03-01,162620.0
2021-04-01,187752.0
2021-05-01,122605.0
2021-06-01,238485.0
2021-07-01,475908.0
2021-08-01,516125.0
2021-09-01,495606.0
2021-10-01,503518.0
2021-11-01,434432.0
2021-12-01,427544.0
2022-01-01,380229.0
2022-02-01,376818.0
2022-03-01,577572.0
2022-04-01,434817.0
2022-05-01,645930.0
2022-06-01,718203.0
2022-07-01,1029372.0
2022-08-01,1205059.0
2022-09-01,1052326.0
2022-10-01,777949.0
2022-11-01,606149.0
2022-12-01,575899.0
2023-01-01,573244.0
2023-02-01,459809.0
2023-03-01,550211.0
2023-04-01,528645.0
2023-05-01,615688.0
2023-06-01,785288.0
2023-07-01,1138618.0
2023-08-01,1272604.0
2023-09-01,971067.0
2023-10-01,708691.0
2023-11-01,553704.0
2023-12-01,552081.0
2024-01-01,602847.4
2024-02-01,563278.94
2024-03-01,557468.0
2024-04-01,605836.0
2024-05-01,654758.25
2024-06-01,861675.0
2024-07-01,1006025.15
2024-08-01,1077561.8
2024-09-01,923507.0
2024-10-01,743321.15
2024-11-01,663206.87
2024-12-01,634327.0
2025-01-01,681605.03
2025-02-01,597694.0
2025-03-01,478926.0
2025-04-01,655452.49
2025-05-01,671392.52
2025-06-01,720474.0
2025-07-01,867789.0
2025-08-01,1121084.69
