Tarih,TP_ODEMGZS_SIRBISTAN
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,
2007-01-01,
2007-02-01,
2007-03-01,
2007-04-01,
2007-05-01,
2007-06-01,
2007-07-01,
2007-08-01,
2007-09-01,
2007-10-01,
2007-11-01,
2007-12-01,
2008-01-01,8449.0
2008-02-01,7248.0
2008-03-01,8441.0
2008-04-01,9357.0
2008-05-01,11950.0
2008-06-01,15247.0
2008-07-01,27820.0
2008-08-01,33703.0
2008-09-01,21023.0
2008-10-01,11982.0
2008-11-01,9622.0
2008-12-01,7789.0
2009-01-01,12918.0
2009-02-01,6026.0
2009-03-01,7609.0
2009-04-01,8848.0
2009-05-01,5826.0
2009-06-01,7634.0
2009-07-01,12366.0
2009-08-01,12761.0
2009-09-01,11093.0
2009-10-01,7931.0
2009-11-01,6991.0
2009-12-01,6039.0
2010-01-01,5786.0
2010-02-01,3757.0
2010-03-01,5164.0
2010-04-01,6629.0
2010-05-01,6610.0
2010-06-01,10261.0
2010-07-01,18873.0
2010-08-01,19687.0
2010-09-01,14143.0
2010-10-01,8730.0
2010-11-01,7369.0
2010-12-01,5399.0
2011-01-01,5117.0
2011-02-01,5195.0
2011-03-01,7193.0
2011-04-01,8566.0
2011-05-01,9551.0
2011-06-01,13785.0
2011-07-01,22795.0
2011-08-01,15536.0
2011-09-01,17715.0
2011-10-01,10749.0
2011-11-01,7116.0
2011-12-01,6135.0
2012-01-01,6616.0
2012-02-01,5077.0
2012-03-01,8060.0
2012-04-01,10462.0
2012-05-01,10846.0
2012-06-01,16309.0
2012-07-01,25859.0
2012-08-01,26384.0
2012-09-01,21537.0
2012-10-01,11828.0
2012-11-01,7898.0
2012-12-01,6885.0
2013-01-01,8446.0
2013-02-01,7175.0
2013-03-01,9410.0
2013-04-01,10636.0
2013-05-01,15388.0
2013-06-01,17847.0
2013-07-01,25045.0
2013-08-01,27115.0
2013-09-01,21230.0
2013-10-01,12038.0
2013-11-01,9187.0
2013-12-01,8196.0
2014-01-01,8436.0
2014-02-01,7958.0
2014-03-01,10798.0
2014-04-01,12302.0
2014-05-01,12750.0
2014-06-01,20846.0
2014-07-01,29515.0
2014-08-01,30892.0
2014-09-01,24556.0
2014-10-01,13010.0
2014-11-01,11057.0
2014-12-01,8514.0
