Tarih,TP_ODEMGZS_SIRBISTAN
2015-01-01,8779.0
2015-02-01,8198.0
2015-03-01,9904.0
2015-04-01,11595.0
2015-05-01,12615.0
2015-06-01,18532.0
2015-07-01,28620.0
2015-08-01,30475.0
2015-09-01,20442.0
2015-10-01,13669.0
2015-11-01,9903.0
2015-12-01,8566.0
2016-01-01,6975.0
2016-02-01,8178.0
2016-03-01,8380.0
2016-04-01,8843.0
2016-05-01,10215.0
2016-06-01,10191.0
2016-07-01,10316.0
2016-08-01,10974.0
2016-09-01,10580.0
2016-10-01,11163.0
2016-11-01,8175.0
2016-12-01,7691.0
2017-01-01,6020.0
2017-02-01,7117.0
2017-03-01,9118.0
2017-04-01,9639.0
2017-05-01,11045.0
2017-06-01,11308.0
2017-07-01,17551.0
2017-08-01,20363.0
2017-09-01,18268.0
2017-10-01,14348.0
2017-11-01,11252.0
2017-12-01,9889.0
2018-01-01,9380.0
2018-02-01,10951.0
2018-03-01,12531.0
2018-04-01,13785.0
2018-05-01,15979.0
2018-06-01,18706.0
2018-07-01,31918.0
2018-08-01,33742.0
2018-09-01,28455.0
2018-10-01,21892.0
2018-11-01,14941.0
2018-12-01,10466.0
2019-01-01,13194.0
2019-02-01,12795.0
2019-03-01,15345.0
2019-04-01,16917.0
2019-05-01,20294.0
2019-06-01,26459.0
2019-07-01,44503.0
2019-08-01,47125.0
2019-09-01,36820.0
2019-10-01,22283.0
2019-11-01,16434.0
2019-12-01,11042.0
2020-01-01,13984.0
2020-02-01,13233.0
2020-03-01,9221.0
2020-04-01,1685.0
2020-05-01,1979.0
2020-06-01,4537.0
2020-07-01,7222.0
2020-08-01,19099.0
2020-09-01,27265.0
2020-10-01,19420.0
2020-11-01,10140.0
2020-12-01,6293.0
2021-01-01,5160.0
2021-02-01,6105.0
2021-03-01,7921.0
2021-04-01,7953.0
2021-05-01,7886.0
2021-06-01,20091.0
2021-07-01,42149.0
2021-08-01,48129.0
2021-09-01,33281.0
2021-10-01,23146.0
2021-11-01,19283.0
2021-12-01,12576.0
2022-01-01,15451.0
2022-02-01,15744.0
2022-03-01,18164.0
2022-04-01,21539.0
2022-05-01,26337.0
2022-06-01,32680.0
2022-07-01,59411.0
2022-08-01,66013.0
2022-09-01,44670.0
2022-10-01,29661.0
2022-11-01,18993.0
2022-12-01,12201.0
2023-01-01,14173.0
2023-02-01,13083.0
2023-03-01,14145.0
2023-04-01,16193.0
2023-05-01,20817.0
2023-06-01,29946.0
2023-07-01,47984.0
2023-08-01,53188.0
2023-09-01,40673.0
2023-10-01,27911.0
2023-11-01,18661.0
2023-12-01,13254.0
2024-01-01,16445.0
2024-02-01,17260.0
2024-03-01,17852.0
2024-04-01,18234.0
2024-05-01,25776.0
2024-06-01,31794.0
2024-07-01,51584.0
2024-08-01,54964.0
2024-09-01,44047.0
2024-10-01,28797.0
2024-11-01,21360.0
2024-12-01,13810.0
2025-01-01,17490.0
2025-02-01,14008.0
2025-03-01,16499.0
2025-04-01,19075.0
2025-05-01,23934.0
2025-06-01,31534.0
2025-07-01,43856.0
2025-08-01,47627.0
