Tarih,TP_ODEMGZS_MISIR
2014-11-01,8450.0
2014-12-01,6415.0
2015-01-01,6310.0
2015-02-01,7063.0
2015-03-01,7592.0
2015-04-01,8233.0
2015-05-01,9128.0
2015-06-01,8148.0
2015-07-01,6653.0
2015-08-01,10573.0
2015-09-01,10076.0
2015-10-01,9648.0
2015-11-01,7389.0
2015-12-01,7129.0
2016-01-01,7858.0
2016-02-01,7607.0
2016-03-01,7619.0
2016-04-01,7835.0
2016-05-01,8628.0
2016-06-01,6345.0
2016-07-01,7500.0
2016-08-01,8505.0
2016-09-01,8863.0
2016-10-01,8392.0
2016-11-01,6595.0
2016-12-01,6503.0
2017-01-01,6491.0
2017-02-01,6173.0
2017-03-01,6733.0
2017-04-01,8054.0
2017-05-01,8118.0
2017-06-01,4911.0
2017-07-01,10324.0
2017-08-01,10347.0
2017-09-01,9810.0
2017-10-01,9131.0
2017-11-01,7665.0
2017-12-01,8487.0
2018-01-01,9632.0
2018-02-01,8922.0
2018-03-01,9105.0
2018-04-01,11239.0
2018-05-01,9432.0
2018-06-01,9953.0
2018-07-01,13155.0
2018-08-01,15679.0
2018-09-01,15116.0
2018-10-01,12371.0
2018-11-01,10676.0
2018-12-01,10973.0
2019-01-01,13249.0
2019-02-01,11679.0
2019-03-01,12159.0
2019-04-01,14509.0
2019-05-01,10070.0
2019-06-01,14492.0
2019-07-01,17182.0
2019-08-01,20288.0
2019-09-01,16325.0
2019-10-01,14455.0
2019-11-01,12067.0
2019-12-01,12544.0
2020-01-01,14311.0
2020-02-01,11307.0
2020-03-01,5704.0
2020-04-01,82.0
2020-05-01,254.0
2020-06-01,602.0
2020-07-01,1389.0
2020-08-01,3935.0
2020-09-01,5450.0
2020-10-01,8891.0
2020-11-01,9059.0
2020-12-01,6368.0
2021-01-01,5165.0
2021-02-01,4757.0
2021-03-01,5518.0
2021-04-01,6087.0
2021-05-01,3632.0
2021-06-01,6977.0
2021-07-01,12679.0
2021-08-01,13198.0
2021-09-01,15033.0
2021-10-01,15007.0
2021-11-01,12726.0
2021-12-01,13226.0
2022-01-01,13257.0
2022-02-01,15439.0
2022-03-01,17431.0
2022-04-01,7553.0
2022-05-01,16192.0
2022-06-01,19181.0
2022-07-01,25830.0
2022-08-01,23894.0
2022-09-01,27283.0
2022-10-01,23869.0
2022-11-01,17536.0
2022-12-01,16155.0
2023-01-01,15320.0
2023-02-01,15215.0
2023-03-01,11271.0
2023-04-01,9440.0
2023-05-01,11937.0
2023-06-01,16231.0
2023-07-01,21475.0
2023-08-01,20574.0
2023-09-01,18835.0
2023-10-01,15884.0
2023-11-01,12856.0
2023-12-01,13998.0
2024-01-01,16033.0
2024-02-01,15525.0
2024-03-01,11449.0
2024-04-01,13441.0
2024-05-01,14652.0
2024-06-01,21992.0
2024-07-01,19742.0
2024-08-01,20785.0
2024-09-01,18344.0
2024-10-01,16025.0
2024-11-01,16062.0
2024-12-01,16090.0
2025-01-01,17619.0
2025-02-01,17192.0
2025-03-01,9429.0
2025-04-01,13876.0
2025-05-01,15076.0
2025-06-01,18510.0
2025-07-01,19996.0
2025-08-01,21256.0
