Tarih,TP_ODEMGZS_BULGARISTAN
2014-10-01,176016.0
2014-11-01,120876.0
2014-12-01,117654.0
2015-01-01,112647.0
2015-02-01,96455.0
2015-03-01,119023.0
2015-04-01,160092.0
2015-05-01,187162.0
2015-06-01,180170.0
2015-07-01,177264.0
2015-08-01,166321.0
2015-09-01,201206.0
2015-10-01,166223.0
2015-11-01,129671.0
2015-12-01,129943.0
2016-01-01,107803.0
2016-02-01,107102.0
2016-03-01,129721.0
2016-04-01,149961.0
2016-05-01,165454.0
2016-06-01,148420.0
2016-07-01,171957.0
2016-08-01,138133.0
2016-09-01,182121.0
2016-10-01,148527.0
2016-11-01,120785.0
2016-12-01,126661.0
2017-01-01,84465.0
2017-02-01,103238.0
2017-03-01,148100.0
2017-04-01,152348.0
2017-05-01,161682.0
2017-06-01,180970.0
2017-07-01,168697.0
2017-08-01,189118.0
2017-09-01,179777.0
2017-10-01,182109.0
2017-11-01,145037.0
2017-12-01,155259.0
2018-01-01,128346.0
2018-02-01,106769.0
2018-03-01,144763.0
2018-04-01,210941.0
2018-05-01,192528.0
2018-06-01,219363.0
2018-07-01,192579.0
2018-08-01,215160.0
2018-09-01,300444.0
2018-10-01,268320.0
2018-11-01,209121.0
2018-12-01,190928.0
2019-01-01,152203.0
2019-02-01,139376.0
2019-03-01,206525.0
2019-04-01,261900.0
2019-05-01,237000.0
2019-06-01,273304.0
2019-07-01,214941.0
2019-08-01,231246.0
2019-09-01,294594.0
2019-10-01,271471.0
2019-11-01,224646.0
2019-12-01,210939.0
2020-01-01,182270.0
2020-02-01,151114.0
2020-03-01,81049.0
2020-04-01,6562.0
2020-05-01,8554.0
2020-06-01,20109.0
2020-07-01,42525.0
2020-08-01,72845.0
2020-09-01,232094.0
2020-10-01,227998.0
2020-11-01,143480.0
2020-12-01,99857.0
2021-01-01,32492.0
2021-02-01,33310.0
2021-03-01,47616.0
2021-04-01,57053.0
2021-05-01,57573.0
2021-06-01,118125.0
2021-07-01,156194.0
2021-08-01,147193.0
2021-09-01,160425.0
2021-10-01,171907.0
2021-11-01,157481.0
2021-12-01,241849.0
2022-01-01,132670.0
2022-02-01,129523.0
2022-03-01,169807.0
2022-04-01,275099.0
2022-05-01,265306.0
2022-06-01,248539.0
2022-07-01,254216.0
2022-08-01,261797.0
2022-09-01,340343.0
2022-10-01,337018.0
2022-11-01,237384.0
2022-12-01,223886.0
2023-01-01,202784.0
2023-02-01,150488.0
2023-03-01,212682.0
2023-04-01,267240.0
2023-05-01,255234.0
2023-06-01,291270.0
2023-07-01,242601.0
2023-08-01,243796.0
2023-09-01,309863.0
2023-10-01,287690.0
2023-11-01,219047.0
2023-12-01,221418.0
2024-01-01,193901.0
2024-02-01,179890.0
2024-03-01,225877.0
2024-04-01,290547.0
2024-05-01,252090.0
2024-06-01,287500.0
2024-07-01,236289.0
2024-08-01,236694.0
2024-09-01,297998.0
2024-10-01,286302.0
2024-11-01,230304.0
2024-12-01,206133.0
2025-01-01,195394.0
2025-02-01,145919.0
2025-03-01,217575.0
2025-04-01,227058.0
2025-05-01,241008.0
2025-06-01,267123.0
2025-07-01,233997.0
2025-08-01,251325.0
