Tarih,TP_ODEMGZS_KANADA
2024-07-01,35161.0
2024-08-01,41752.0
2024-09-01,37838.0
2024-10-01,45420.0
2024-11-01,18466.0
2024-12-01,15853.0
2025-01-01,15587.0
2025-02-01,13196.0
2025-03-01,12977.0
2025-04-01,17655.0
2025-05-01,33464.0
2025-06-01,30235.0
2025-07-01,29646.0
2025-08-01,41143.0
