Tarih,TP_ODEMGZS_BANGLADES
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,
2007-01-01,
2007-02-01,
2007-03-01,
2007-04-01,
2007-05-01,
2007-06-01,
2007-07-01,
2007-08-01,
2007-09-01,
2007-10-01,
2007-11-01,
2007-12-01,
2008-01-01,226.0
2008-02-01,357.0
2008-03-01,245.0
2008-04-01,224.0
2008-05-01,267.0
2008-06-01,356.0
2008-07-01,455.0
2008-08-01,263.0
2008-09-01,305.0
2008-10-01,420.0
2008-11-01,350.0
2008-12-01,193.0
2009-01-01,160.0
2009-02-01,200.0
2009-03-01,313.0
2009-04-01,276.0
2009-05-01,277.0
2009-06-01,365.0
2009-07-01,309.0
2009-08-01,302.0
2009-09-01,228.0
2009-10-01,368.0
2009-11-01,280.0
2009-12-01,174.0
2010-01-01,130.0
2010-02-01,86.0
2010-03-01,130.0
2010-04-01,159.0
2010-05-01,211.0
2010-06-01,223.0
2010-07-01,226.0
2010-08-01,145.0
2010-09-01,193.0
2010-10-01,203.0
2010-11-01,143.0
2010-12-01,164.0
2011-01-01,190.0
2011-02-01,288.0
2011-03-01,302.0
2011-04-01,322.0
2011-05-01,546.0
2011-06-01,474.0
2011-07-01,1943.0
2011-08-01,273.0
2011-09-01,402.0
2011-10-01,382.0
2011-11-01,378.0
2011-12-01,424.0
2012-01-01,230.0
2012-02-01,234.0
2012-03-01,370.0
2012-04-01,679.0
2012-05-01,511.0
2012-06-01,733.0
2012-07-01,794.0
2012-08-01,588.0
2012-09-01,654.0
2012-10-01,691.0
2012-11-01,875.0
2012-12-01,567.0
2013-01-01,676.0
2013-02-01,551.0
2013-03-01,448.0
2013-04-01,587.0
2013-05-01,833.0
2013-06-01,1138.0
2013-07-01,896.0
2013-08-01,12.0
2013-09-01,830.0
2013-10-01,996.0
2013-11-01,727.0
2013-12-01,1231.0
2014-01-01,2047.0
2014-02-01,917.0
2014-03-01,883.0
2014-04-01,766.0
2014-05-01,798.0
2014-06-01,1202.0
2014-07-01,873.0
2014-08-01,1220.0
2014-09-01,913.0
2014-10-01,970.0
2014-11-01,875.0
2014-12-01,1325.0
2015-01-01,1011.0
2015-02-01,686.0
2015-03-01,880.0
2015-04-01,881.0
2015-05-01,1269.0
2015-06-01,1139.0
2015-07-01,1188.0
