Tarih,TP_ODEMGZS_KUVEYT
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,1342.0
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,5132.0
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,8433.0
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,9185.0
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,7565.0
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,11196.0
2006-01-01,
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,10995.0
2007-01-01,
2007-02-01,
2007-03-01,
2007-04-01,
2007-05-01,
2007-06-01,
2007-07-01,
2007-08-01,
2007-09-01,
2007-10-01,
2007-11-01,
2007-12-01,12270.0
2008-01-01,275.0
2008-02-01,478.0
2008-03-01,256.0
2008-04-01,896.0
2008-05-01,884.0
2008-06-01,1707.0
2008-07-01,4919.0
2008-08-01,7797.0
2008-09-01,817.0
2008-10-01,1094.0
2008-11-01,584.0
2008-12-01,1221.0
2009-01-01,577.0
2009-02-01,1566.0
2009-03-01,963.0
2009-04-01,1275.0
2009-05-01,1212.0
2009-06-01,1752.0
2009-07-01,6460.0
2009-08-01,6614.0
2009-09-01,1761.0
2009-10-01,1320.0
2009-11-01,1354.0
2009-12-01,1302.0
2010-01-01,592.0
2010-02-01,1833.0
2010-03-01,677.0
2010-04-01,1139.0
2010-05-01,1508.0
2010-06-01,1989.0
2010-07-01,8406.0
2010-08-01,4456.0
2010-09-01,2521.0
2010-10-01,1194.0
2010-11-01,2138.0
2010-12-01,879.0
2011-01-01,856.0
2011-02-01,2889.0
2011-03-01,1657.0
2011-04-01,2410.0
2011-05-01,2199.0
2011-06-01,3625.0
2011-07-01,12980.0
2011-08-01,1618.0
2011-09-01,6407.0
2011-10-01,1995.0
2011-11-01,3647.0
2011-12-01,1314.0
2012-01-01,1675.0
2012-02-01,4428.0
2012-03-01,2028.0
2012-04-01,3967.0
2012-05-01,4134.0
2012-06-01,6353.0
2012-07-01,12883.0
2012-08-01,5624.0
2012-09-01,12626.0
2012-10-01,4492.0
2012-11-01,3983.0
2012-12-01,2566.0
2013-01-01,3401.0
2013-02-01,6763.0
2013-03-01,5051.0
2013-04-01,7250.0
2013-05-01,7669.0
2013-06-01,6043.0
2013-07-01,4633.0
2013-08-01,14098.0
2013-09-01,15077.0
2013-10-01,9251.0
2013-11-01,4919.0
2013-12-01,3627.0
2014-01-01,4487.0
2014-02-01,10698.0
2014-03-01,5419.0
2014-04-01,8429.0
2014-05-01,10579.0
2014-06-01,12448.0
2014-07-01,4369.0
2014-08-01,33585.0
2014-09-01,16536.0
2014-10-01,14961.0
2014-11-01,6121.0
