Tarih,TP_ODEMGZS_AVRUPATOP
2014-06-01,2131004.0
2014-07-01,2278120.0
2014-08-01,3294299.0
2014-09-01,2620540.0
2014-10-01,2365003.0
2014-11-01,1060497.0
2014-12-01,630326.0
2015-01-01,640157.0
2015-02-01,570313.0
2015-03-01,780539.0
2015-04-01,1260652.0
2015-05-01,1893904.0
2015-06-01,2079913.0
2015-07-01,2362924.0
2015-08-01,3295919.0
2015-09-01,2486242.0
2015-10-01,2229425.0
2015-11-01,964781.0
2015-12-01,606884.0
2016-01-01,601025.0
2016-02-01,520172.0
2016-03-01,695071.0
2016-04-01,877467.0
2016-05-01,1330505.0
2016-06-01,1258066.0
2016-07-01,1514267.0
2016-08-01,2228199.0
2016-09-01,1589566.0
2016-10-01,1511869.0
2016-11-01,642130.0
2016-12-01,491762.0
2017-01-01,459879.0
2017-02-01,410966.0
2017-03-01,553896.0
2017-04-01,843207.0
2017-05-01,1060987.0
2017-06-01,1203232.0
2017-07-01,1608737.0
2017-08-01,2373388.0
2017-09-01,1787811.0
2017-10-01,1528345.0
2017-11-01,749096.0
2017-12-01,589090.0
2018-01-01,590397.0
2018-02-01,494872.0
2018-03-01,652642.0
2018-04-01,1090564.0
2018-05-01,1503553.0
2018-06-01,1659661.0
2018-07-01,2100952.0
2018-08-01,2961508.0
2018-09-01,2409732.0
2018-10-01,2181310.0
2018-11-01,995904.0
2018-12-01,720180.0
2019-01-01,699470.0
2019-02-01,605806.0
2019-03-01,860592.0
2019-04-01,1364915.0
2019-05-01,1715886.0
2019-06-01,2138002.0
2019-07-01,2529799.0
2019-08-01,3434786.0
2019-09-01,2657826.0
2019-10-01,2338507.0
2019-11-01,1055611.0
2019-12-01,756091.0
2020-01-01,784090.0
2020-02-01,670741.0
2020-03-01,419797.0
2020-04-01,18295.0
2020-05-01,19713.0
2020-06-01,72983.0
2020-07-01,295848.0
2020-08-01,943566.0
2020-09-01,1012204.0
2020-10-01,834928.0
2020-11-01,387517.0
2020-12-01,291516.0
2021-01-01,189064.0
2021-02-01,159674.0
2021-03-01,225155.0
2021-04-01,290932.0
2021-05-01,296209.0
2021-06-01,609146.0
2021-07-01,1261682.0
2021-08-01,2315016.0
2021-09-01,1486267.0
2021-10-01,1568159.0
2021-11-01,888263.0
2021-12-01,724738.0
2022-01-01,692595.0
2022-02-01,581331.0
2022-03-01,817179.0
2022-04-01,1401925.0
2022-05-01,1898410.0
2022-06-01,2388084.0
2022-07-01,2984607.0
2022-08-01,4015795.0
2022-09-01,3035873.0
2022-10-01,2803290.0
2022-11-01,1237426.0
2022-12-01,838180.0
2023-01-01,899974.0
2023-02-01,717467.0
2023-03-01,891273.0
2023-04-01,1556361.0
2023-05-01,2176818.0
2023-06-01,2634532.0
2023-07-01,3089606.0
2023-08-01,4089550.0
2023-09-01,3212950.0
2023-10-01,3071237.0
2023-11-01,1379224.0
2023-12-01,939383.0
2024-01-01,974153.0
2024-02-01,886479.0
2024-03-01,1130950.0
2024-04-01,1781947.0
2024-05-01,2623701.0
2024-06-01,2811234.0
2024-07-01,3311993.0
2024-08-01,4372908.0
2024-09-01,3362115.0
2024-10-01,3274093.0
2024-11-01,1566550.0
2024-12-01,960483.0
2025-01-01,1040067.0
2025-02-01,871398.0
2025-03-01,1069680.0
2025-04-01,1884650.0
2025-05-01,2492319.0
2025-06-01,2898157.0
2025-07-01,3139998.0
2025-08-01,4327806.0
