Tarih,TP_ODEMGZS_DANIMARKA
2014-11-01,17334.0
2014-12-01,6977.0
2015-01-01,6884.0
2015-02-01,11670.0
2015-03-01,16389.0
2015-04-01,26953.0
2015-05-01,36958.0
2015-06-01,39691.0
2015-07-01,85854.0
2015-08-01,64336.0
2015-09-01,45607.0
2015-10-01,56622.0
2015-11-01,13560.0
2015-12-01,6760.0
2016-01-01,7088.0
2016-02-01,10237.0
2016-03-01,17723.0
2016-04-01,19132.0
2016-05-01,33270.0
2016-06-01,34112.0
2016-07-01,75900.0
2016-08-01,52447.0
2016-09-01,31473.0
2016-10-01,38278.0
2016-11-01,7699.0
2016-12-01,4916.0
2017-01-01,4491.0
2017-02-01,6624.0
2017-03-01,9158.0
2017-04-01,14265.0
2017-05-01,18862.0
2017-06-01,24672.0
2017-07-01,64239.0
2017-08-01,44486.0
2017-09-01,31095.0
2017-10-01,38646.0
2017-11-01,7505.0
2017-12-01,5384.0
2018-01-01,5328.0
2018-02-01,7739.0
2018-03-01,10485.0
2018-04-01,17931.0
2018-05-01,27067.0
2018-06-01,29461.0
2018-07-01,73358.0
2018-08-01,55811.0
2018-09-01,39757.0
2018-10-01,42074.0
2018-11-01,9466.0
2018-12-01,6391.0
2019-01-01,6233.0
2019-02-01,10341.0
2019-03-01,10534.0
2019-04-01,20314.0
2019-05-01,26085.0
2019-06-01,32612.0
2019-07-01,72309.0
2019-08-01,58507.0
2019-09-01,39959.0
2019-10-01,43482.0
2019-11-01,9333.0
2019-12-01,6235.0
2020-01-01,6558.0
2020-02-01,10952.0
2020-03-01,5193.0
2020-04-01,116.0
2020-05-01,42.0
2020-06-01,531.0
2020-07-01,3588.0
2020-08-01,5365.0
2020-09-01,3837.0
2020-10-01,5164.0
2020-11-01,2722.0
2020-12-01,2141.0
2021-01-01,908.0
2021-02-01,566.0
2021-03-01,679.0
2021-04-01,1297.0
2021-05-01,1942.0
2021-06-01,3525.0
2021-07-01,22934.0
2021-08-01,24917.0
2021-09-01,12317.0
2021-10-01,24655.0
2021-11-01,8933.0
2021-12-01,6756.0
2022-01-01,6364.0
2022-02-01,9080.0
2022-03-01,8891.0
2022-04-01,19330.0
2022-05-01,27572.0
2022-06-01,30052.0
2022-07-01,88710.0
2022-08-01,60562.0
2022-09-01,41055.0
2022-10-01,48148.0
2022-11-01,9891.0
2022-12-01,7312.0
2023-01-01,7429.0
2023-02-01,9456.0
2023-03-01,8670.0
2023-04-01,16801.0
2023-05-01,27024.0
2023-06-01,27492.0
2023-07-01,72729.0
2023-08-01,50052.0
2023-09-01,37119.0
2023-10-01,44128.0
2023-11-01,11282.0
2023-12-01,7883.0
2024-01-01,7434.0
2024-02-01,10878.0
2024-03-01,14813.0
2024-04-01,18024.0
2024-05-01,31600.0
2024-06-01,31806.0
2024-07-01,72683.0
2024-08-01,52818.0
2024-09-01,39578.0
2024-10-01,45217.0
2024-11-01,12099.0
2024-12-01,8136.0
2025-01-01,7732.0
2025-02-01,10515.0
2025-03-01,8676.0
2025-04-01,19152.0
2025-05-01,26886.0
2025-06-01,32285.0
2025-07-01,72681.0
2025-08-01,49315.0
