Tarih,TP_ODEMGZS_SLOVENYA
2015-02-01,2479.0
2015-03-01,2666.0
2015-04-01,3749.0
2015-05-01,3531.0
2015-06-01,3814.0
2015-07-01,5081.0
2015-08-01,4378.0
2015-09-01,3594.0
2015-10-01,4655.0
2015-11-01,2949.0
2015-12-01,1353.0
2016-01-01,1318.0
2016-02-01,1894.0
2016-03-01,1904.0
2016-04-01,1402.0
2016-05-01,1660.0
2016-06-01,1487.0
2016-07-01,2035.0
2016-08-01,1752.0
2016-09-01,1493.0
2016-10-01,1573.0
2016-11-01,1450.0
2016-12-01,1048.0
2017-01-01,1050.0
2017-02-01,1434.0
2017-03-01,1217.0
2017-04-01,1103.0
2017-05-01,1571.0
2017-06-01,1431.0
2017-07-01,2457.0
2017-08-01,2681.0
2017-09-01,6131.0
2017-10-01,2072.0
2017-11-01,2477.0
2017-12-01,1526.0
2018-01-01,1477.0
2018-02-01,2472.0
2018-03-01,2129.0
2018-04-01,2872.0
2018-05-01,3892.0
2018-06-01,2818.0
2018-07-01,4523.0
2018-08-01,4345.0
2018-09-01,3779.0
2018-10-01,4928.0
2018-11-01,5050.0
2018-12-01,2203.0
2019-01-01,1970.0
2019-02-01,2857.0
2019-03-01,3341.0
2019-04-01,4351.0
2019-05-01,5055.0
2019-06-01,4237.0
2019-07-01,6172.0
2019-08-01,5173.0
2019-09-01,4575.0
2019-10-01,5594.0
2019-11-01,4647.0
2019-12-01,2352.0
2020-01-01,1821.0
2020-02-01,2747.0
2020-03-01,1285.0
2020-04-01,6.0
2020-05-01,3.0
2020-06-01,59.0
2020-07-01,249.0
2020-08-01,422.0
2020-09-01,429.0
2020-10-01,646.0
2020-11-01,364.0
2020-12-01,385.0
2021-01-01,295.0
2021-02-01,643.0
2021-03-01,515.0
2021-04-01,572.0
2021-05-01,694.0
2021-06-01,1073.0
2021-07-01,2414.0
2021-08-01,2480.0
2021-09-01,2337.0
2021-10-01,3328.0
2021-11-01,2360.0
2021-12-01,1522.0
2022-01-01,1311.0
2022-02-01,1693.0
2022-03-01,2791.0
2022-04-01,3710.0
2022-05-01,4756.0
2022-06-01,4085.0
2022-07-01,6398.0
2022-08-01,5967.0
2022-09-01,5269.0
2022-10-01,5524.0
2022-11-01,4912.0
2022-12-01,2213.0
2023-01-01,2124.0
2023-02-01,2690.0
2023-03-01,3383.0
2023-04-01,3629.0
2023-05-01,5634.0
2023-06-01,4712.0
2023-07-01,6389.0
2023-08-01,6012.0
2023-09-01,5382.0
2023-10-01,6241.0
2023-11-01,5111.0
2023-12-01,2253.0
2024-01-01,2226.0
2024-02-01,3362.0
2024-03-01,3800.0
2024-04-01,3761.0
2024-05-01,6230.0
2024-06-01,5167.0
2024-07-01,6831.0
2024-08-01,6400.0
2024-09-01,6065.0
2024-10-01,6890.0
2024-11-01,5454.0
2024-12-01,2471.0
2025-01-01,2341.0
2025-02-01,3221.0
2025-03-01,3625.0
2025-04-01,3658.0
2025-05-01,6855.0
2025-06-01,5567.0
2025-07-01,6491.0
2025-08-01,5862.0
