Tarih,TP_ODEMGZS_IRLANDA
2015-01-01,2315.0
2015-02-01,2993.0
2015-03-01,3537.0
2015-04-01,5769.0
2015-05-01,9612.0
2015-06-01,15218.0
2015-07-01,14899.0
2015-08-01,16799.0
2015-09-01,13945.0
2015-10-01,10096.0
2015-11-01,3867.0
2015-12-01,2362.0
2016-01-01,2147.0
2016-02-01,2114.0
2016-03-01,2591.0
2016-04-01,3000.0
2016-05-01,5942.0
2016-06-01,7230.0
2016-07-01,7922.0
2016-08-01,7534.0
2016-09-01,6596.0
2016-10-01,5443.0
2016-11-01,2340.0
2016-12-01,1559.0
2017-01-01,1542.0
2017-02-01,1407.0
2017-03-01,1616.0
2017-04-01,2754.0
2017-05-01,4269.0
2017-06-01,5853.0
2017-07-01,7563.0
2017-08-01,7600.0
2017-09-01,7300.0
2017-10-01,5571.0
2017-11-01,2801.0
2017-12-01,1924.0
2018-01-01,1953.0
2018-02-01,1981.0
2018-03-01,2886.0
2018-04-01,3619.0
2018-05-01,6199.0
2018-06-01,8963.0
2018-07-01,10473.0
2018-08-01,10931.0
2018-09-01,9953.0
2018-10-01,8319.0
2018-11-01,3814.0
2018-12-01,2190.0
2019-01-01,2266.0
2019-02-01,2208.0
2019-03-01,2902.0
2019-04-01,5524.0
2019-05-01,9538.0
2019-06-01,12692.0
2019-07-01,14666.0
2019-08-01,15606.0
2019-09-01,13177.0
2019-10-01,11374.0
2019-11-01,4671.0
2019-12-01,2430.0
2020-01-01,2766.0
2020-02-01,2808.0
2020-03-01,1775.0
2020-04-01,9.0
2020-05-01,9.0
2020-06-01,87.0
2020-07-01,1231.0
2020-08-01,4961.0
2020-09-01,5341.0
2020-10-01,4668.0
2020-11-01,1642.0
2020-12-01,1026.0
2021-01-01,1022.0
2021-02-01,874.0
2021-03-01,1018.0
2021-04-01,1183.0
2021-05-01,530.0
2021-06-01,855.0
2021-07-01,2324.0
2021-08-01,5949.0
2021-09-01,6112.0
2021-10-01,9702.0
2021-11-01,4416.0
2021-12-01,2588.0
2022-01-01,3106.0
2022-02-01,3288.0
2022-03-01,4466.0
2022-04-01,10942.0
2022-05-01,12979.0
2022-06-01,16091.0
2022-07-01,19022.0
2022-08-01,20097.0
2022-09-01,17296.0
2022-10-01,17392.0
2022-11-01,7990.0
2022-12-01,3879.0
2023-01-01,4670.0
2023-02-01,4218.0
2023-03-01,5581.0
2023-04-01,12524.0
2023-05-01,16211.0
2023-06-01,20833.0
2023-07-01,23264.0
2023-08-01,23716.0
2023-09-01,19898.0
2023-10-01,19049.0
2023-11-01,9245.0
2023-12-01,4112.0
2024-01-01,4764.0
2024-02-01,4865.0
2024-03-01,7632.0
2024-04-01,14590.0
2024-05-01,19701.0
2024-06-01,24382.0
2024-07-01,27665.0
2024-08-01,28144.0
2024-09-01,23988.0
2024-10-01,23884.0
2024-11-01,10557.0
2024-12-01,5427.0
2025-01-01,6062.0
2025-02-01,5962.0
2025-03-01,7480.0
2025-04-01,15306.0
2025-05-01,22942.0
2025-06-01,34757.0
2025-07-01,26718.0
2025-08-01,30665.0
