Tarih,TP_ODEMGZS_ROMANYA
2014-11-01,23535.0
2014-12-01,18556.0
2015-01-01,17809.0
2015-02-01,17829.0
2015-03-01,21883.0
2015-04-01,27050.0
2015-05-01,33572.0
2015-06-01,55936.0
2015-07-01,67343.0
2015-08-01,65734.0
2015-09-01,63313.0
2015-10-01,31280.0
2015-11-01,22469.0
2015-12-01,18672.0
2016-01-01,16336.0
2016-02-01,18312.0
2016-03-01,19580.0
2016-04-01,22199.0
2016-05-01,29306.0
2016-06-01,44095.0
2016-07-01,57911.0
2016-08-01,48251.0
2016-09-01,44711.0
2016-10-01,23247.0
2016-11-01,18619.0
2016-12-01,16777.0
2017-01-01,13732.0
2017-02-01,15040.0
2017-03-01,19243.0
2017-04-01,22074.0
2017-05-01,26121.0
2017-06-01,52058.0
2017-07-01,64244.0
2017-08-01,67731.0
2017-09-01,61902.0
2017-10-01,31420.0
2017-11-01,24153.0
2017-12-01,24326.0
2018-01-01,20456.0
2018-02-01,19334.0
2018-03-01,25178.0
2018-04-01,33483.0
2018-05-01,43595.0
2018-06-01,89227.0
2018-07-01,102192.0
2018-08-01,98761.0
2018-09-01,100927.0
2018-10-01,47580.0
2018-11-01,33249.0
2018-12-01,25136.0
2019-01-01,26167.0
2019-02-01,24466.0
2019-03-01,31795.0
2019-04-01,37439.0
2019-05-01,62914.0
2019-06-01,106129.0
2019-07-01,117862.0
2019-08-01,125020.0
2019-09-01,118949.0
2019-10-01,49954.0
2019-11-01,35859.0
2019-12-01,25311.0
2020-01-01,32621.0
2020-02-01,25662.0
2020-03-01,16801.0
2020-04-01,1450.0
2020-05-01,1978.0
2020-06-01,3811.0
2020-07-01,12015.0
2020-08-01,36100.0
2020-09-01,66433.0
2020-10-01,42204.0
2020-11-01,23573.0
2020-12-01,15476.0
2021-01-01,8701.0
2021-02-01,12956.0
2021-03-01,17226.0
2021-04-01,15709.0
2021-05-01,16032.0
2021-06-01,57416.0
2021-07-01,89405.0
2021-08-01,101517.0
2021-09-01,74745.0
2021-10-01,37105.0
2021-11-01,30969.0
2021-12-01,27739.0
2022-01-01,28163.0
2022-02-01,25799.0
2022-03-01,31347.0
2022-04-01,56831.0
2022-05-01,57748.0
2022-06-01,110618.0
2022-07-01,133875.0
2022-08-01,153466.0
2022-09-01,123170.0
2022-10-01,78616.0
2022-11-01,39930.0
2022-12-01,42454.0
2023-01-01,42423.0
2023-02-01,30924.0
2023-03-01,37214.0
2023-04-01,56921.0
2023-05-01,59693.0
2023-06-01,134329.0
2023-07-01,148838.0
2023-08-01,166808.0
2023-09-01,144097.0
2023-10-01,71925.0
2023-11-01,50799.0
2023-12-01,44712.0
2024-01-01,46279.0
2024-02-01,42608.0
2024-03-01,51000.0
2024-04-01,56718.0
2024-05-01,100357.0
2024-06-01,132326.0
2024-07-01,175494.0
2024-08-01,199925.0
2024-09-01,171191.0
2024-10-01,88363.0
2024-11-01,63915.0
2024-12-01,39774.0
2025-01-01,62358.0
2025-02-01,47928.0
2025-03-01,55120.0
2025-04-01,71991.0
2025-05-01,83034.0
2025-06-01,138002.0
2025-07-01,164505.0
2025-08-01,192928.0
