Tarih,TP_ODEMGZS_FINLANDIYA
2014-11-01,14033.0
2014-12-01,6500.0
2015-01-01,3523.0
2015-02-01,5345.0
2015-03-01,9417.0
2015-04-01,21777.0
2015-05-01,30914.0
2015-06-01,27680.0
2015-07-01,22763.0
2015-08-01,21012.0
2015-09-01,24194.0
2015-10-01,35351.0
2015-11-01,8369.0
2015-12-01,4825.0
2016-01-01,2932.0
2016-02-01,3263.0
2016-03-01,5325.0
2016-04-01,13923.0
2016-05-01,19507.0
2016-06-01,16990.0
2016-07-01,13803.0
2016-08-01,12740.0
2016-09-01,11545.0
2016-10-01,16262.0
2016-11-01,3897.0
2016-12-01,2599.0
2017-01-01,2247.0
2017-02-01,1896.0
2017-03-01,2664.0
2017-04-01,6598.0
2017-05-01,11544.0
2017-06-01,11911.0
2017-07-01,12540.0
2017-08-01,10719.0
2017-09-01,12913.0
2017-10-01,16284.0
2017-11-01,4399.0
2017-12-01,3534.0
2018-01-01,2551.0
2018-02-01,2223.0
2018-03-01,3120.0
2018-04-01,11533.0
2018-05-01,17617.0
2018-06-01,16669.0
2018-07-01,14882.0
2018-08-01,13386.0
2018-09-01,17070.0
2018-10-01,20528.0
2018-11-01,5577.0
2018-12-01,3590.0
2019-01-01,2970.0
2019-02-01,2868.0
2019-03-01,3859.0
2019-04-01,10348.0
2019-05-01,19556.0
2019-06-01,16963.0
2019-07-01,15791.0
2019-08-01,14773.0
2019-09-01,18236.0
2019-10-01,20708.0
2019-11-01,5900.0
2019-12-01,3591.0
2020-01-01,3346.0
2020-02-01,2997.0
2020-03-01,2435.0
2020-04-01,74.0
2020-05-01,19.0
2020-06-01,99.0
2020-07-01,692.0
2020-08-01,1583.0
2020-09-01,1224.0
2020-10-01,1329.0
2020-11-01,1302.0
2020-12-01,1047.0
2021-01-01,833.0
2021-02-01,541.0
2021-03-01,741.0
2021-04-01,1014.0
2021-05-01,1100.0
2021-06-01,2322.0
2021-07-01,4298.0
2021-08-01,4147.0
2021-09-01,3553.0
2021-10-01,6265.0
2021-11-01,4267.0
2021-12-01,3295.0
2022-01-01,2597.0
2022-02-01,2305.0
2022-03-01,4398.0
2022-04-01,8589.0
2022-05-01,14132.0
2022-06-01,14782.0
2022-07-01,16832.0
2022-08-01,13915.0
2022-09-01,14915.0
2022-10-01,16379.0
2022-11-01,5426.0
2022-12-01,3386.0
2023-01-01,3244.0
2023-02-01,2774.0
2023-03-01,3590.0
2023-04-01,7484.0
2023-05-01,14234.0
2023-06-01,14399.0
2023-07-01,15454.0
2023-08-01,14052.0
2023-09-01,15546.0
2023-10-01,17070.0
2023-11-01,5915.0
2023-12-01,3611.0
2024-01-01,3779.0
2024-02-01,3218.0
2024-03-01,4440.0
2024-04-01,9266.0
2024-05-01,16198.0
2024-06-01,14567.0
2024-07-01,14146.0
2024-08-01,13517.0
2024-09-01,15388.0
2024-10-01,16926.0
2024-11-01,7816.0
2024-12-01,4556.0
2025-01-01,3937.0
2025-02-01,4175.0
2025-03-01,4702.0
2025-04-01,9925.0
2025-05-01,14824.0
2025-06-01,15905.0
2025-07-01,16447.0
2025-08-01,12635.0
