Tarih,TP_ODEMGZS_LIBYA
2014-11-01,22340.0
2014-12-01,22753.0
2015-01-01,22650.0
2015-02-01,19399.0
2015-03-01,19201.0
2015-04-01,21512.0
2015-05-01,22819.0
2015-06-01,25939.0
2015-07-01,24330.0
2015-08-01,36082.0
2015-09-01,32476.0
2015-10-01,9269.0
2015-11-01,4715.0
2015-12-01,5419.0
2016-01-01,6630.0
2016-02-01,5839.0
2016-03-01,5238.0
2016-04-01,5506.0
2016-05-01,6407.0
2016-06-01,7051.0
2016-07-01,6442.0
2016-08-01,7684.0
2016-09-01,7540.0
2016-10-01,6695.0
2016-11-01,5321.0
2016-12-01,4996.0
2017-01-01,6028.0
2017-02-01,5632.0
2017-03-01,6760.0
2017-04-01,6310.0
2017-05-01,8495.0
2017-06-01,6051.0
2017-07-01,8807.0
2017-08-01,12565.0
2017-09-01,9719.0
2017-10-01,10830.0
2017-11-01,8962.0
2017-12-01,8665.0
2018-01-01,10200.0
2018-02-01,9348.0
2018-03-01,13846.0
2018-04-01,13372.0
2018-05-01,13113.0
2018-06-01,10036.0
2018-07-01,16540.0
2018-08-01,19106.0
2018-09-01,17660.0
2018-10-01,20070.0
2018-11-01,16551.0
2018-12-01,16672.0
2019-01-01,23764.0
2019-02-01,19352.0
2019-03-01,20404.0
2019-04-01,18130.0
2019-05-01,13580.0
2019-06-01,17346.0
2019-07-01,21520.0
2019-08-01,23616.0
2019-09-01,27129.0
2019-10-01,28922.0
2019-11-01,20555.0
2019-12-01,17500.0
2020-01-01,20928.0
2020-02-01,16027.0
2020-03-01,11011.0
2020-04-01,43.0
2020-05-01,5387.0
2020-06-01,2914.0
2020-07-01,2188.0
2020-08-01,5743.0
2020-09-01,10752.0
2020-10-01,14170.0
2020-11-01,13879.0
2020-12-01,12751.0
2021-01-01,10283.0
2021-02-01,9527.0
2021-03-01,13727.0
2021-04-01,12619.0
2021-05-01,7768.0
2021-06-01,15370.0
2021-07-01,17184.0
2021-08-01,19365.0
2021-09-01,21851.0
2021-10-01,24428.0
2021-11-01,22010.0
2021-12-01,18017.0
2022-01-01,18464.0
2022-02-01,14431.0
2022-03-01,18409.0
2022-04-01,10223.0
2022-05-01,14805.0
2022-06-01,19277.0
2022-07-01,18473.0
2022-08-01,23227.0
2022-09-01,29996.0
2022-10-01,25703.0
2022-11-01,16382.0
2022-12-01,16501.0
2023-01-01,17109.0
2023-02-01,15447.0
2023-03-01,14566.0
2023-04-01,8886.0
2023-05-01,14740.0
2023-06-01,19637.0
2023-07-01,18121.0
2023-08-01,23257.0
2023-09-01,22532.0
2023-10-01,17334.0
2023-11-01,13552.0
2023-12-01,15669.0
2024-01-01,22282.0
2024-02-01,18126.0
2024-03-01,13604.0
2024-04-01,13178.0
2024-05-01,19885.0
2024-06-01,18717.0
2024-07-01,20612.0
2024-08-01,24743.0
2024-09-01,23712.0
2024-10-01,18262.0
2024-11-01,15505.0
2024-12-01,17038.0
2025-01-01,19915.0
2025-02-01,18235.0
2025-03-01,9178.0
2025-04-01,14046.0
2025-05-01,14167.0
2025-06-01,13449.0
2025-07-01,17117.0
2025-08-01,19065.0
