Tarih,TP_ODEMGZS_GTOPLAM
2014-04-01,2244712.0
2014-05-01,3520669.0
2014-06-01,4160935.0
2014-07-01,4320918.0
2014-08-01,5717412.0
2014-09-01,4626281.0
2014-10-01,3840928.0
2014-11-01,1901420.0
2014-12-01,1376487.0
2015-01-01,1382909.0
2015-02-01,1256944.0
2015-03-01,1674479.0
2015-04-01,2260479.0
2015-05-01,3393180.0
2015-06-01,3983799.0
2015-07-01,4505434.0
2015-08-01,5744545.0
2015-09-01,4511561.0
2015-10-01,3711542.0
2015-11-01,1833747.0
2015-12-01,1333541.0
2016-01-01,1296726.0
2016-02-01,1183830.0
2016-03-01,1533990.0
2016-04-01,1667413.0
2016-05-01,2329031.0
2016-06-01,2334127.0
2016-07-01,2733909.0
2016-08-01,3642977.0
2016-09-01,3089623.0
2016-10-01,2730649.0
2016-11-01,1479030.0
2016-12-01,1244101.0
2017-01-01,1184957.0
2017-02-01,1110950.0
2017-03-01,1476386.0
2017-04-01,1889519.0
2017-05-01,2670106.0
2017-06-01,3115407.0
2017-07-01,4188105.0
2017-08-01,5242858.0
2017-09-01,4339345.0
2017-10-01,3421449.0
2017-11-01,1836496.0
2017-12-01,1603949.0
2018-01-01,1601862.0
2018-02-01,1444008.0
2018-03-01,1862961.0
2018-04-01,2433008.0
2018-05-01,3398215.0
2018-06-01,4023879.0
2018-07-01,4857186.0
2018-08-01,6001678.0
2018-09-01,5045870.0
2018-10-01,4292466.0
2018-11-01,2234062.0
2018-12-01,1756707.0
2019-01-01,1804135.0
2019-02-01,1574614.0
2019-03-01,2081631.0
2019-04-01,2845084.0
2019-05-01,3832240.0
2019-06-01,4821887.0
2019-07-01,5717804.0
2019-08-01,7018257.0
2019-09-01,5702078.0
2019-10-01,4878255.0
2019-11-01,2501695.0
2019-12-01,1935290.0
2020-01-01,2065570.0
2020-02-01,1664208.0
2020-03-01,906067.0
2020-04-01,50630.0
2020-05-01,51588.0
2020-06-01,128861.0
2020-07-01,529990.0
2020-08-01,1712380.0
2020-09-01,2187683.0
2020-10-01,2000557.0
2020-11-01,960402.0
2020-12-01,681408.0
2021-01-01,570447.0
2021-02-01,494337.0
2021-03-01,761443.0
2021-04-01,895342.0
2021-05-01,757518.0
2021-06-01,1491955.0
2021-07-01,3231555.0
2021-08-01,4578265.0
2021-09-01,3648131.0
2021-10-01,3777732.0
2021-11-01,2080510.0
2021-12-01,1652786.0
2022-01-01,1593112.0
2022-02-01,1400014.0
2022-03-01,1950838.0
2022-04-01,2381722.0
2022-05-01,3483143.0
2022-06-01,4517203.0
2022-07-01,5693111.0
2022-08-01,7076690.0
2022-09-01,5856202.0
2022-10-01,5206943.0
2022-11-01,2937397.0
2022-12-01,2245147.0
2023-01-01,2323115.0
2023-02-01,1903325.0
2023-03-01,2282794.0
2023-04-01,2959088.0
2023-05-01,4165554.0
2023-06-01,5194705.0
2023-07-01,6230192.0
2023-08-01,7457527.0
2023-09-01,6053057.0
2023-10-01,5530138.0
2023-11-01,2947972.0
2023-12-01,2299499.0
2024-01-01,2382849.4
2024-02-01,2167348.94
2024-03-01,2517798.0
2024-04-01,3289343.0
2024-05-01,4813089.25
2024-06-01,5589777.0
2024-07-01,6469899.15
2024-08-01,7652973.8
2024-09-01,6248632.0
2024-10-01,5847535.15
2024-11-01,3267338.87
2024-12-01,2386136.0
2025-01-01,2506554.03
2025-02-01,2117635.0
2025-03-01,2277925.0
2025-04-01,3434458.49
2025-05-01,4725035.0
2025-06-01,5574569.0
2025-07-01,6107559.0
2025-08-01,7686300.0
