Tarih,TP_ODEMGZS_ALMANYA
2014-10-01,794644.0
2014-11-01,361280.0
2014-12-01,150951.0
2015-01-01,170075.0
2015-02-01,135609.0
2015-03-01,217235.0
2015-04-01,382339.0
2015-05-01,512614.0
2015-06-01,582353.0
2015-07-01,526092.0
2015-08-01,945902.0
2015-09-01,812572.0
2015-10-01,815406.0
2015-11-01,345744.0
2015-12-01,147124.0
2016-01-01,172068.0
2016-02-01,123065.0
2016-03-01,196184.0
2016-04-01,242933.0
2016-05-01,392507.0
2016-06-01,324125.0
2016-07-01,380713.0
2016-08-01,714393.0
2016-09-01,514876.0
2016-10-01,575526.0
2016-11-01,186698.0
2016-12-01,105866.0
2017-01-01,121521.0
2017-02-01,80300.0
2017-03-01,120348.0
2017-04-01,235028.0
2017-05-01,276454.0
2017-06-01,316173.0
2017-07-01,405685.0
2017-08-01,718298.0
2017-09-01,541646.0
2017-10-01,466756.0
2017-11-01,204680.0
2017-12-01,107247.0
2018-01-01,127573.0
2018-02-01,94975.0
2018-03-01,151823.0
2018-04-01,267954.0
2018-05-01,379319.0
2018-06-01,383216.0
2018-07-01,507894.0
2018-08-01,819544.0
2018-09-01,657311.0
2018-10-01,709025.0
2018-11-01,252341.0
2018-12-01,145198.0
2019-01-01,159067.0
2019-02-01,112049.0
2019-03-01,179370.0
2019-04-01,327728.0
2019-05-01,366351.0
2019-06-01,512455.0
2019-07-01,591047.0
2019-08-01,903720.0
2019-09-01,702318.0
2019-10-01,763741.0
2019-11-01,255958.0
2019-12-01,150389.0
2020-01-01,180881.0
2020-02-01,141536.0
2020-03-01,110649.0
2020-04-01,2888.0
2020-05-01,1740.0
2020-06-01,16837.0
2020-07-01,94960.0
2020-08-01,228601.0
2020-09-01,166164.0
2020-10-01,145682.0
2020-11-01,49837.0
2020-12-01,38577.0
2021-01-01,39211.0
2021-02-01,29806.0
2021-03-01,46729.0
2021-04-01,74190.0
2021-05-01,60295.0
2021-06-01,137124.0
2021-07-01,404018.0
2021-08-01,811734.0
2021-09-01,522290.0
2021-10-01,537802.0
2021-11-01,219602.0
2021-12-01,131810.0
2022-01-01,172205.0
2022-02-01,106651.0
2022-03-01,175573.0
2022-04-01,367086.0
2022-05-01,410021.0
2022-06-01,596548.0
2022-07-01,708549.0
2022-08-01,1022829.0
2022-09-01,820196.0
2022-10-01,833472.0
2022-11-01,318580.0
2022-12-01,158289.0
2023-01-01,196538.0
2023-02-01,142930.0
2023-03-01,182209.0
2023-04-01,428209.0
2023-05-01,497117.0
2023-06-01,623843.0
2023-07-01,737251.0
2023-08-01,1009631.0
2023-09-01,849227.0
2023-10-01,973727.0
2023-11-01,370006.0
2023-12-01,187574.0
2024-01-01,212063.0
2024-02-01,168915.0
2024-03-01,262467.0
2024-04-01,457030.0
2024-05-01,632678.0
2024-06-01,610191.0
2024-07-01,705110.0
2024-08-01,1099561.0
2024-09-01,841014.0
2024-10-01,1019370.0
2024-11-01,418510.0
2024-12-01,199439.0
2025-01-01,226719.0
2025-02-01,162719.0
2025-03-01,220690.0
2025-04-01,516887.0
2025-05-01,526179.0
2025-06-01,698428.0
2025-07-01,657764.0
2025-08-01,1112840.0
