Tarih,TP_ODEMGZS_JAPONYA
2014-11-01,11551.0
2014-12-01,10108.0
2015-01-01,10972.0
2015-02-01,10282.0
2015-03-01,8891.0
2015-04-01,6026.0
2015-05-01,10888.0
2015-06-01,9295.0
2015-07-01,9208.0
2015-08-01,9905.0
2015-09-01,11214.0
2015-10-01,8617.0
2015-11-01,6779.0
2015-12-01,5241.0
2016-01-01,4400.0
2016-02-01,3794.0
2016-03-01,4689.0
2016-04-01,3436.0
2016-05-01,4312.0
2016-06-01,4580.0
2016-07-01,3572.0
2016-08-01,3477.0
2016-09-01,3765.0
2016-10-01,3298.0
2016-11-01,2760.0
2016-12-01,3413.0
2017-01-01,2778.0
2017-02-01,2438.0
2017-03-01,3233.0
2017-04-01,2924.0
2017-05-01,3652.0
2017-06-01,4430.0
2017-07-01,4747.0
2017-08-01,4864.0
2017-09-01,5140.0
2017-10-01,5227.0
2017-11-01,4969.0
2017-12-01,5000.0
2018-01-01,4635.0
2018-02-01,5066.0
2018-03-01,6348.0
2018-04-01,5627.0
2018-05-01,6517.0
2018-06-01,7318.0
2018-07-01,6823.0
2018-08-01,8156.0
2018-09-01,8792.0
2018-10-01,8855.0
2018-11-01,7434.0
2018-12-01,6189.0
2019-01-01,5840.0
2019-02-01,7171.0
2019-03-01,8190.0
2019-04-01,7310.0
2019-05-01,10271.0
2019-06-01,9393.0
2019-07-01,8163.0
2019-08-01,10462.0
2019-09-01,10626.0
2019-10-01,9680.0
2019-11-01,8846.0
2019-12-01,6783.0
2020-01-01,6965.0
2020-02-01,7161.0
2020-03-01,3734.0
2020-04-01,25.0
2020-05-01,2.0
2020-06-01,71.0
2020-07-01,320.0
2020-08-01,333.0
2020-09-01,372.0
2020-10-01,398.0
2020-11-01,683.0
2020-12-01,466.0
2021-01-01,257.0
2021-02-01,265.0
2021-03-01,324.0
2021-04-01,406.0
2021-05-01,346.0
2021-06-01,467.0
2021-07-01,640.0
2021-08-01,767.0
2021-09-01,765.0
2021-10-01,918.0
2021-11-01,937.0
2021-12-01,961.0
2022-01-01,760.0
2022-02-01,764.0
2022-03-01,1217.0
2022-04-01,1601.0
2022-05-01,2006.0
2022-06-01,2532.0
2022-07-01,3035.0
2022-08-01,3504.0
2022-09-01,3807.0
2022-10-01,3950.0
2022-11-01,3500.0
2022-12-01,3451.0
2023-01-01,3371.0
2023-02-01,4100.0
2023-03-01,4683.0
2023-04-01,4295.0
2023-05-01,5823.0
2023-06-01,6559.0
2023-07-01,7350.0
2023-08-01,8784.0
2023-09-01,9124.0
2023-10-01,8182.0
2023-11-01,8853.0
2023-12-01,6655.0
2024-01-01,7309.0
2024-02-01,7519.0
2024-03-01,9894.0
2024-04-01,8023.0
2024-05-01,11355.0
2024-06-01,12035.0
2024-07-01,10671.0
2024-08-01,16261.0
2024-09-01,15917.0
2024-10-01,14752.0
2024-11-01,10541.0
2024-12-01,8673.0
2025-01-01,10313.0
2025-02-01,11964.0
2025-03-01,15958.0
2025-04-01,9320.0
2025-05-01,14763.0
2025-06-01,14669.0
2025-07-01,11298.0
2025-08-01,17421.0
