Tarih,TP_ODEMGZS_BREZILYA
2014-11-01,5759.0
2014-12-01,3948.0
2015-01-01,6189.0
2015-02-01,3890.0
2015-03-01,4080.0
2015-04-01,7236.0
2015-05-01,10268.0
2015-06-01,9955.0
2015-07-01,11986.0
2015-08-01,7898.0
2015-09-01,10651.0
2015-10-01,7830.0
2015-11-01,4216.0
2015-12-01,2483.0
2016-01-01,3020.0
2016-02-01,2208.0
2016-03-01,2343.0
2016-04-01,2703.0
2016-05-01,4741.0
2016-06-01,4805.0
2016-07-01,4629.0
2016-08-01,4067.0
2016-09-01,4002.0
2016-10-01,4618.0
2016-11-01,2987.0
2016-12-01,2524.0
2017-01-01,2771.0
2017-02-01,1959.0
2017-03-01,2419.0
2017-04-01,2959.0
2017-05-01,3913.0
2017-06-01,4919.0
2017-07-01,5201.0
2017-08-01,4593.0
2017-09-01,6091.0
2017-10-01,6268.0
2017-11-01,4121.0
2017-12-01,3978.0
2018-01-01,4081.0
2018-02-01,3398.0
2018-03-01,3306.0
2018-04-01,5834.0
2018-05-01,8543.0
2018-06-01,8289.0
2018-07-01,7921.0
2018-08-01,6901.0
2018-09-01,9047.0
2018-10-01,8514.0
2018-11-01,6686.0
2018-12-01,5860.0
2019-01-01,6822.0
2019-02-01,5033.0
2019-03-01,7209.0
2019-04-01,6546.0
2019-05-01,9768.0
2019-06-01,9788.0
2019-07-01,10449.0
2019-08-01,8711.0
2019-09-01,12175.0
2019-10-01,11521.0
2019-11-01,6914.0
2019-12-01,5748.0
2020-01-01,7898.0
2020-02-01,4779.0
2020-03-01,2837.0
2020-04-01,25.0
2020-05-01,126.0
2020-06-01,64.0
2020-07-01,426.0
2020-08-01,836.0
2020-09-01,1314.0
2020-10-01,1806.0
2020-11-01,1954.0
2020-12-01,1611.0
2021-01-01,1672.0
2021-02-01,677.0
2021-03-01,540.0
2021-04-01,573.0
2021-05-01,719.0
2021-06-01,825.0
2021-07-01,1328.0
2021-08-01,1734.0
2021-09-01,1728.0
2021-10-01,2323.0
2021-11-01,2206.0
2021-12-01,3329.0
2022-01-01,3673.0
2022-02-01,2885.0
2022-03-01,3945.0
2022-04-01,5199.0
2022-05-01,7730.0
2022-06-01,8451.0
2022-07-01,9073.0
2022-08-01,7647.0
2022-09-01,11358.0
2022-10-01,11940.0
2022-11-01,7468.0
2022-12-01,4501.0
2023-01-01,5182.0
2023-02-01,3933.0
2023-03-01,5433.0
2023-04-01,6507.0
2023-05-01,11156.0
2023-06-01,11945.0
2023-07-01,11792.0
2023-08-01,9583.0
2023-09-01,13903.0
2023-10-01,13319.0
2023-11-01,8153.0
2023-12-01,6027.0
2024-01-01,6934.0
2024-02-01,5498.0
2024-03-01,6417.0
2024-04-01,6907.0
2024-05-01,10731.0
2024-06-01,12636.0
2024-07-01,15791.0
2024-08-01,11711.0
2024-09-01,14460.0
2024-10-01,13489.0
2024-11-01,9137.0
2024-12-01,6363.0
2025-01-01,7464.0
2025-02-01,4736.0
2025-03-01,6557.0
2025-04-01,7310.0
2025-05-01,12766.0
2025-06-01,13222.0
2025-07-01,11582.0
2025-08-01,11050.0
