Tarih,TP_ODEMGZS_GURCISTAN
2015-01-01,103152.0
2015-02-01,103714.0
2015-03-01,119091.0
2015-04-01,133456.0
2015-05-01,166970.0
2015-06-01,178015.0
2015-07-01,177170.0
2015-08-01,201052.0
2015-09-01,223956.0
2015-10-01,176299.0
2015-11-01,156117.0
2015-12-01,156654.0
2016-01-01,109385.0
2016-02-01,148356.0
2016-03-01,162605.0
2016-04-01,182423.0
2016-05-01,208092.0
2016-06-01,196435.0
2016-07-01,199850.0
2016-08-01,216903.0
2016-09-01,240306.0
2016-10-01,182425.0
2016-11-01,174508.0
2016-12-01,171294.0
2017-01-01,138372.0
2017-02-01,137743.0
2017-03-01,172497.0
2017-04-01,178086.0
2017-05-01,208686.0
2017-06-01,218827.0
2017-07-01,237882.0
2017-08-01,269925.0
2017-09-01,270208.0
2017-10-01,225068.0
2017-11-01,181837.0
2017-12-01,195891.0
2018-01-01,148067.0
2018-02-01,154616.0
2018-03-01,165939.0
2018-04-01,169789.0
2018-05-01,200875.0
2018-06-01,178578.0
2018-07-01,201943.0
2018-08-01,199385.0
2018-09-01,223383.0
2018-10-01,157791.0
2018-11-01,140776.0
2018-12-01,144590.0
2019-01-01,110394.0
2019-02-01,119234.0
2019-03-01,137383.0
2019-04-01,141196.0
2019-05-01,162455.0
2019-06-01,177658.0
2019-07-01,194110.0
2019-08-01,210215.0
2019-09-01,234726.0
2019-10-01,179927.0
2019-11-01,165236.0
2019-12-01,168921.0
2020-01-01,130490.0
2020-02-01,131780.0
2020-03-01,65792.0
2020-04-01,4419.0
2020-05-01,3633.0
2020-06-01,6364.0
2020-07-01,10430.0
2020-08-01,12567.0
2020-09-01,12433.0
2020-10-01,14233.0
2020-11-01,12151.0
2020-12-01,13174.0
2021-01-01,8227.0
2021-02-01,9758.0
2021-03-01,12657.0
2021-04-01,14673.0
2021-05-01,11785.0
2021-06-01,26407.0
2021-07-01,25711.0
2021-08-01,35944.0
2021-09-01,30901.0
2021-10-01,34285.0
2021-11-01,31295.0
2021-12-01,55440.0
2022-01-01,38418.0
2022-02-01,49633.0
2022-03-01,75500.0
2022-04-01,101825.0
2022-05-01,122530.0
2022-06-01,145867.0
2022-07-01,158075.0
2022-08-01,180507.0
2022-09-01,187881.0
2022-10-01,161786.0
2022-11-01,152401.0
2022-12-01,146797.0
2023-01-01,113195.0
2023-02-01,104106.0
2023-03-01,130375.0
2023-04-01,122766.0
2023-05-01,143313.0
2023-06-01,139004.0
2023-07-01,151412.0
2023-08-01,171416.0
2023-09-01,164739.0
2023-10-01,136626.0
2023-11-01,126751.0
2023-12-01,134939.0
2024-01-01,96096.0
2024-02-01,109429.0
2024-03-01,122100.0
2024-04-01,118817.0
2024-05-01,134654.0
2024-06-01,127969.0
2024-07-01,139453.0
2024-08-01,148516.0
2024-09-01,132848.0
2024-10-01,114383.0
2024-11-01,112917.0
2024-12-01,111718.0
2025-01-01,92180.0
2025-02-01,74545.0
2025-03-01,98972.0
2025-04-01,104072.0
2025-05-01,124421.0
2025-06-01,117979.0
2025-07-01,123528.0
2025-08-01,134572.0
