Tarih,TP_ODEMGZS_HIRVATISTAN
2015-01-01,2990.0
2015-02-01,2706.0
2015-03-01,3696.0
2015-04-01,4075.0
2015-05-01,3863.0
2015-06-01,4049.0
2015-07-01,3083.0
2015-08-01,3514.0
2015-09-01,2869.0
2015-10-01,3639.0
2015-11-01,2852.0
2015-12-01,1636.0
2016-01-01,1780.0
2016-02-01,1879.0
2016-03-01,2307.0
2016-04-01,1835.0
2016-05-01,2072.0
2016-06-01,1966.0
2016-07-01,1647.0
2016-08-01,1587.0
2016-09-01,1522.0
2016-10-01,1932.0
2016-11-01,1637.0
2016-12-01,1363.0
2017-01-01,1212.0
2017-02-01,1433.0
2017-03-01,1694.0
2017-04-01,1737.0
2017-05-01,1768.0
2017-06-01,1926.0
2017-07-01,2037.0
2017-08-01,2384.0
2017-09-01,2334.0
2017-10-01,2703.0
2017-11-01,2258.0
2017-12-01,1954.0
2018-01-01,2513.0
2018-02-01,2454.0
2018-03-01,2813.0
2018-04-01,3901.0
2018-05-01,3699.0
2018-06-01,3417.0
2018-07-01,3157.0
2018-08-01,3651.0
2018-09-01,3870.0
2018-10-01,5830.0
2018-11-01,5150.0
2018-12-01,2989.0
2019-01-01,3773.0
2019-02-01,2990.0
2019-03-01,4544.0
2019-04-01,5969.0
2019-05-01,4570.0
2019-06-01,4724.0
2019-07-01,3997.0
2019-08-01,5567.0
2019-09-01,4919.0
2019-10-01,7053.0
2019-11-01,5186.0
2019-12-01,3125.0
2020-01-01,3783.0
2020-02-01,3191.0
2020-03-01,2454.0
2020-04-01,73.0
2020-05-01,92.0
2020-06-01,234.0
2020-07-01,758.0
2020-08-01,1264.0
2020-09-01,1478.0
2020-10-01,1930.0
2020-11-01,1457.0
2020-12-01,911.0
2021-01-01,858.0
2021-02-01,985.0
2021-03-01,1266.0
2021-04-01,1252.0
2021-05-01,1053.0
2021-06-01,2025.0
2021-07-01,2419.0
2021-08-01,3939.0
2021-09-01,3614.0
2021-10-01,4802.0
2021-11-01,4375.0
2021-12-01,2073.0
2022-01-01,3052.0
2022-02-01,2815.0
2022-03-01,4137.0
2022-04-01,5290.0
2022-05-01,5157.0
2022-06-01,5658.0
2022-07-01,5005.0
2022-08-01,6738.0
2022-09-01,6153.0
2022-10-01,7502.0
2022-11-01,6458.0
2022-12-01,3478.0
2023-01-01,3820.0
2023-02-01,3246.0
2023-03-01,4828.0
2023-04-01,5290.0
2023-05-01,5635.0
2023-06-01,6101.0
2023-07-01,5351.0
2023-08-01,7273.0
2023-09-01,6498.0
2023-10-01,8377.0
2023-11-01,6564.0
2023-12-01,3756.0
2024-01-01,4246.0
2024-02-01,4389.0
2024-03-01,5702.0
2024-04-01,6192.0
2024-05-01,7042.0
2024-06-01,6751.0
2024-07-01,5943.0
2024-08-01,7656.0
2024-09-01,7383.0
2024-10-01,9412.0
2024-11-01,8047.0
2024-12-01,3914.0
2025-01-01,4778.0
2025-02-01,4280.0
2025-03-01,6176.0
2025-04-01,6612.0
2025-05-01,6840.0
2025-06-01,7849.0
2025-07-01,5897.0
2025-08-01,7560.0
