Tarih,TP_ODEMGZS_YENIZELLANDA
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,12253.0
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,13377.0
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,12604.0
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,10209.0
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,12685.0
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,17519.0
2006-01-01,
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,17532.0
2007-01-01,
2007-02-01,
2007-03-01,
2007-04-01,
2007-05-01,
2007-06-01,
2007-07-01,
2007-08-01,
2007-09-01,
2007-10-01,
2007-11-01,
2007-12-01,20897.0
2008-01-01,497.0
2008-02-01,394.0
2008-03-01,592.0
2008-04-01,2249.0
2008-05-01,2606.0
2008-06-01,2687.0
2008-07-01,3337.0
2008-08-01,2842.0
2008-09-01,3450.0
2008-10-01,3346.0
2008-11-01,945.0
2008-12-01,627.0
2009-01-01,585.0
2009-02-01,401.0
2009-03-01,588.0
2009-04-01,2997.0
2009-05-01,3452.0
2009-06-01,2505.0
2009-07-01,2856.0
2009-08-01,2417.0
2009-09-01,3456.0
2009-10-01,3127.0
2009-11-01,1024.0
2009-12-01,752.0
2010-01-01,505.0
2010-02-01,437.0
2010-03-01,578.0
2010-04-01,2258.0
2010-05-01,2963.0
2010-06-01,3623.0
2010-07-01,3020.0
2010-08-01,2805.0
2010-09-01,3667.0
2010-10-01,3193.0
2010-11-01,953.0
2010-12-01,641.0
2011-01-01,637.0
2011-02-01,573.0
2011-03-01,576.0
2011-04-01,2317.0
2011-05-01,3525.0
2011-06-01,3598.0
2011-07-01,3988.0
2011-08-01,3182.0
2011-09-01,3724.0
2011-10-01,2967.0
2011-11-01,1008.0
2011-12-01,667.0
2012-01-01,618.0
2012-02-01,453.0
2012-03-01,579.0
2012-04-01,2099.0
2012-05-01,3150.0
2012-06-01,4068.0
2012-07-01,4046.0
2012-08-01,3401.0
2012-09-01,4513.0
2012-10-01,3575.0
2012-11-01,1102.0
2012-12-01,667.0
2013-01-01,739.0
2013-02-01,479.0
2013-03-01,650.0
2013-04-01,2233.0
2013-05-01,3181.0
2013-06-01,4166.0
2013-07-01,4252.0
2013-08-01,4558.0
2013-09-01,4985.0
2013-10-01,3495.0
2013-11-01,1151.0
2013-12-01,780.0
2014-01-01,783.0
2014-02-01,451.0
2014-03-01,608.0
2014-04-01,2376.0
2014-05-01,3189.0
2014-06-01,4658.0
2014-07-01,5078.0
2014-08-01,4355.0
2014-09-01,5517.0
2014-10-01,3766.0
2014-11-01,1409.0
2014-12-01,847.0
