Tarih,TP_ODEMGZS_TUNUS
2014-11-01,8779.0
2014-12-01,8644.0
2015-01-01,9043.0
2015-02-01,6626.0
2015-03-01,9738.0
2015-04-01,8273.0
2015-05-01,10159.0
2015-06-01,9069.0
2015-07-01,5279.0
2015-08-01,11190.0
2015-09-01,8121.0
2015-10-01,8410.0
2015-11-01,8981.0
2015-12-01,7797.0
2016-01-01,8843.0
2016-02-01,7343.0
2016-03-01,9682.0
2016-04-01,8148.0
2016-05-01,10781.0
2016-06-01,7056.0
2016-07-01,6815.0
2016-08-01,9323.0
2016-09-01,6864.0
2016-10-01,9281.0
2016-11-01,8130.0
2016-12-01,8108.0
2017-01-01,9579.0
2017-02-01,5653.0
2017-03-01,8262.0
2017-04-01,10304.0
2017-05-01,10680.0
2017-06-01,4527.0
2017-07-01,10259.0
2017-08-01,13175.0
2017-09-01,7936.0
2017-10-01,9387.0
2017-11-01,10116.0
2017-12-01,11239.0
2018-01-01,9635.0
2018-02-01,10134.0
2018-03-01,11700.0
2018-04-01,12341.0
2018-05-01,11161.0
2018-06-01,7292.0
2018-07-01,12903.0
2018-08-01,14987.0
2018-09-01,12366.0
2018-10-01,11223.0
2018-11-01,13041.0
2018-12-01,13669.0
2019-01-01,13250.0
2019-02-01,10890.0
2019-03-01,16426.0
2019-04-01,16202.0
2019-05-01,8937.0
2019-06-01,10139.0
2019-07-01,16278.0
2019-08-01,18629.0
2019-09-01,15784.0
2019-10-01,13642.0
2019-11-01,14626.0
2019-12-01,15851.0
2020-01-01,15335.0
2020-02-01,13339.0
2020-03-01,9427.0
2020-04-01,173.0
2020-05-01,161.0
2020-06-01,153.0
2020-07-01,1397.0
2020-08-01,2425.0
2020-09-01,3329.0
2020-10-01,3095.0
2020-11-01,3842.0
2020-12-01,6195.0
2021-01-01,5635.0
2021-02-01,1791.0
2021-03-01,8489.0
2021-04-01,8137.0
2021-05-01,1694.0
2021-06-01,7133.0
2021-07-01,10872.0
2021-08-01,16673.0
2021-09-01,12204.0
2021-10-01,13693.0
2021-11-01,17335.0
2021-12-01,16750.0
2022-01-01,15734.0
2022-02-01,12581.0
2022-03-01,22443.0
2022-04-01,8609.0
2022-05-01,14803.0
2022-06-01,19227.0
2022-07-01,20021.0
2022-08-01,25596.0
2022-09-01,19271.0
2022-10-01,16716.0
2022-11-01,16904.0
2022-12-01,15317.0
2023-01-01,14424.0
2023-02-01,13727.0
2023-03-01,12775.0
2023-04-01,5818.0
2023-05-01,14347.0
2023-06-01,15203.0
2023-07-01,18532.0
2023-08-01,22870.0
2023-09-01,16320.0
2023-10-01,13302.0
2023-11-01,13489.0
2023-12-01,15338.0
2024-01-01,16028.0
2024-02-01,16725.0
2024-03-01,9759.0
2024-04-01,9970.0
2024-05-01,15161.0
2024-06-01,14817.0
2024-07-01,19039.0
2024-08-01,21503.0
2024-09-01,16422.0
2024-10-01,13934.0
2024-11-01,14373.0
2024-12-01,14049.0
2025-01-01,15871.0
2025-02-01,14617.0
2025-03-01,5421.0
2025-04-01,10534.0
2025-05-01,11917.0
2025-06-01,13114.0
2025-07-01,15241.0
2025-08-01,18049.0
