Tarih,TP_ODEMGZS_GKIBRIS
2015-06-01,960.0
2015-07-01,2683.0
2015-08-01,2523.0
2015-09-01,2287.0
2015-10-01,797.0
2015-11-01,559.0
2015-12-01,419.0
2016-01-01,488.0
2016-02-01,512.0
2016-03-01,540.0
2016-04-01,544.0
2016-05-01,650.0
2016-06-01,732.0
2016-07-01,1462.0
2016-08-01,2665.0
2016-09-01,1223.0
2016-10-01,610.0
2016-11-01,517.0
2016-12-01,450.0
2017-01-01,427.0
2017-02-01,546.0
2017-03-01,481.0
2017-04-01,574.0
2017-05-01,646.0
2017-06-01,812.0
2017-07-01,1980.0
2017-08-01,2251.0
2017-09-01,826.0
2017-10-01,713.0
2017-11-01,557.0
2017-12-01,499.0
2018-01-01,573.0
2018-02-01,586.0
2018-03-01,556.0
2018-04-01,659.0
2018-05-01,628.0
2018-06-01,771.0
2018-07-01,1571.0
2018-08-01,2143.0
2018-09-01,931.0
2018-10-01,874.0
2018-11-01,702.0
2018-12-01,611.0
2019-01-01,698.0
2019-02-01,626.0
2019-03-01,748.0
2019-04-01,1027.0
2019-05-01,930.0
2019-06-01,1042.0
2019-07-01,1461.0
2019-08-01,2441.0
2019-09-01,1103.0
2019-10-01,1297.0
2019-11-01,814.0
2019-12-01,760.0
2020-01-01,847.0
2020-02-01,599.0
2020-03-01,335.0
2020-04-01,3.0
2020-05-01,0.0
2020-06-01,15.0
2020-07-01,92.0
2020-08-01,204.0
2020-09-01,159.0
2020-10-01,126.0
2020-11-01,95.0
2020-12-01,84.0
2021-01-01,56.0
2021-02-01,55.0
2021-03-01,85.0
2021-04-01,77.0
2021-05-01,85.0
2021-06-01,138.0
2021-07-01,227.0
2021-08-01,424.0
2021-09-01,308.0
2021-10-01,411.0
2021-11-01,388.0
2021-12-01,281.0
2022-01-01,303.0
2022-02-01,312.0
2022-03-01,509.0
2022-04-01,709.0
2022-05-01,714.0
2022-06-01,1024.0
2022-07-01,1626.0
2022-08-01,2374.0
2022-09-01,1351.0
2022-10-01,1446.0
2022-11-01,700.0
2022-12-01,542.0
2023-01-01,683.0
2023-02-01,558.0
2023-03-01,613.0
2023-04-01,785.0
2023-05-01,806.0
2023-06-01,1418.0
2023-07-01,1924.0
2023-08-01,2960.0
2023-09-01,1307.0
2023-10-01,1791.0
2023-11-01,1122.0
2023-12-01,699.0
2024-01-01,947.0
2024-02-01,711.0
2024-03-01,1118.0
2024-04-01,1115.0
2024-05-01,1515.0
2024-06-01,1262.0
2024-07-01,2474.0
2024-08-01,3279.0
2024-09-01,1482.0
2024-10-01,1601.0
2024-11-01,981.0
2024-12-01,906.0
2025-01-01,894.0
2025-02-01,827.0
2025-03-01,1217.0
2025-04-01,1134.0
2025-05-01,1212.0
2025-06-01,1407.0
2025-07-01,1848.0
2025-08-01,2825.0
