Tarih,TP_ODEMGZS_BELARUS
2015-02-01,2468.0
2015-03-01,3037.0
2015-04-01,4196.0
2015-05-01,20204.0
2015-06-01,36120.0
2015-07-01,44108.0
2015-08-01,39490.0
2015-09-01,29340.0
2015-10-01,16402.0
2015-11-01,4194.0
2015-12-01,2254.0
2016-01-01,2210.0
2016-02-01,2191.0
2016-03-01,2413.0
2016-04-01,2937.0
2016-05-01,7723.0
2016-06-01,14703.0
2016-07-01,19740.0
2016-08-01,20830.0
2016-09-01,19766.0
2016-10-01,14935.0
2016-11-01,3607.0
2016-12-01,2525.0
2017-01-01,2523.0
2017-02-01,2676.0
2017-03-01,3121.0
2017-04-01,4204.0
2017-05-01,18162.0
2017-06-01,37642.0
2017-07-01,49192.0
2017-08-01,48371.0
2017-09-01,34859.0
2017-10-01,20520.0
2017-11-01,4361.0
2017-12-01,3147.0
2018-01-01,3147.0
2018-02-01,3265.0
2018-03-01,3917.0
2018-04-01,5180.0
2018-05-01,22208.0
2018-06-01,45866.0
2018-07-01,47146.0
2018-08-01,44202.0
2018-09-01,36814.0
2018-10-01,23606.0
2018-11-01,6051.0
2018-12-01,3737.0
2019-01-01,3470.0
2019-02-01,3523.0
2019-03-01,4476.0
2019-04-01,5611.0
2019-05-01,25393.0
2019-06-01,41471.0
2019-07-01,49025.0
2019-08-01,46938.0
2019-09-01,42197.0
2019-10-01,24790.0
2019-11-01,7168.0
2019-12-01,3956.0
2020-01-01,3964.0
2020-02-01,3980.0
2020-03-01,3090.0
2020-04-01,358.0
2020-05-01,295.0
2020-06-01,793.0
2020-07-01,10946.0
2020-08-01,24943.0
2020-09-01,27252.0
2020-10-01,20978.0
2020-11-01,6418.0
2020-12-01,2699.0
2021-01-01,2400.0
2021-02-01,2361.0
2021-03-01,3825.0
2021-04-01,4716.0
2021-05-01,11613.0
2021-06-01,33346.0
2021-07-01,42364.0
2021-08-01,43241.0
2021-09-01,36324.0
2021-10-01,27363.0
2021-11-01,7627.0
2021-12-01,4469.0
2022-01-01,4921.0
2022-02-01,4254.0
2022-03-01,8096.0
2022-04-01,8493.0
2022-05-01,16488.0
2022-06-01,31968.0
2022-07-01,34819.0
2022-08-01,36020.0
2022-09-01,35768.0
2022-10-01,30005.0
2022-11-01,16069.0
2022-12-01,10600.0
2023-01-01,10180.0
2023-02-01,9236.0
2023-03-01,11033.0
2023-04-01,12282.0
2023-05-01,23438.0
2023-06-01,40851.0
2023-07-01,45967.0
2023-08-01,47774.0
2023-09-01,44397.0
2023-10-01,40125.0
2023-11-01,15780.0
2023-12-01,9554.0
2024-01-01,9958.0
2024-02-01,9838.0
2024-03-01,12242.0
2024-04-01,12789.0
2024-05-01,29321.0
2024-06-01,44045.0
2024-07-01,49390.0
2024-08-01,48878.0
2024-09-01,47487.0
2024-10-01,43717.0
2024-11-01,18333.0
2024-12-01,9225.0
2025-01-01,8934.0
2025-02-01,7929.0
2025-03-01,10532.0
2025-04-01,11968.0
2025-05-01,28886.0
2025-06-01,43261.0
2025-07-01,47139.0
2025-08-01,47167.0
