Tarih,TP_ODEMGZS_RUSYA
2014-10-01,355546.0
2014-11-01,79913.0
2014-12-01,40007.0
2015-01-01,59586.0
2015-02-01,40555.0
2015-03-01,53162.0
2015-04-01,78998.0
2015-05-01,410558.0
2015-06-01,606242.0
2015-07-01,695090.0
2015-08-01,686530.0
2015-09-01,548649.0
2015-10-01,347888.0
2015-11-01,100099.0
2015-12-01,25073.0
2016-01-01,26368.0
2016-02-01,18637.0
2016-03-01,22768.0
2016-04-01,27334.0
2016-05-01,37585.0
2016-06-01,42805.0
2016-07-01,47057.0
2016-08-01,92483.0
2016-09-01,155701.0
2016-10-01,263887.0
2016-11-01,84340.0
2016-12-01,36749.0
2017-01-01,50258.0
2017-02-01,36231.0
2017-03-01,51140.0
2017-04-01,101182.0
2017-05-01,503156.0
2017-06-01,714215.0
2017-07-01,831965.0
2017-08-01,843848.0
2017-09-01,768505.0
2017-10-01,619915.0
2017-11-01,121882.0
2017-12-01,57260.0
2018-01-01,80728.0
2018-02-01,62970.0
2018-03-01,85145.0
2018-04-01,169550.0
2018-05-01,714441.0
2018-06-01,972985.0
2018-07-01,947371.0
2018-08-01,914725.0
2018-09-01,912817.0
2018-10-01,788144.0
2018-11-01,207158.0
2018-12-01,81816.0
2019-01-01,114310.0
2019-02-01,80827.0
2019-03-01,123671.0
2019-04-01,232488.0
2019-05-01,856511.0
2019-06-01,1021201.0
2019-07-01,1055387.0
2019-08-01,1078045.0
2019-09-01,1057296.0
2019-10-01,980589.0
2019-11-01,288156.0
2019-12-01,111926.0
2020-01-01,154941.0
2020-02-01,101284.0
2020-03-01,94333.0
2020-04-01,1413.0
2020-05-01,1512.0
2020-06-01,3083.0
2020-07-01,8051.0
2020-08-01,294313.0
2020-09-01,601864.0
2020-10-01,590914.0
2020-11-01,198463.0
2020-12-01,74202.0
2021-01-01,110237.0
2021-02-01,76382.0
2021-03-01,182245.0
2021-04-01,204845.0
2021-05-01,20684.0
2021-06-01,42060.0
2021-07-01,703659.0
2021-08-01,898620.0
2021-09-01,935117.0
2021-10-01,1031717.0
2021-11-01,343576.0
2021-12-01,109617.0
2022-01-01,167451.0
2022-02-01,101964.0
2022-03-01,98634.0
2022-04-01,99576.0
2022-05-01,288225.0
2022-06-01,535404.0
2022-07-01,716435.0
2022-08-01,805145.0
2022-09-01,794483.0
2022-10-01,777034.0
2022-11-01,429728.0
2022-12-01,266435.0
2023-01-01,313267.0
2023-02-01,248862.0
2023-03-01,275162.0
2023-04-01,327639.0
2023-05-01,588744.0
2023-06-01,788597.0
2023-07-01,887039.0
2023-08-01,888897.0
2023-09-01,792609.0
2023-10-01,764408.0
2023-11-01,336087.0
2023-12-01,225180.0
2024-01-01,253321.0
2024-02-01,197046.0
2024-03-01,237789.0
2024-04-01,309033.0
2024-05-01,673755.0
2024-06-01,849259.0
2024-07-01,935879.0
2024-08-01,948927.0
2024-09-01,890060.0
2024-10-01,857808.0
2024-11-01,373371.0
2024-12-01,199762.0
2025-01-01,222180.0
2025-02-01,163358.0
2025-03-01,221882.0
2025-04-01,289074.0
2025-05-01,675611.0
2025-06-01,865685.0
2025-07-01,960694.0
2025-08-01,1005251.0
