Tarih,TP_ODEMGZS_TURKMENISTAN
2024-10-01,10784.0
2024-11-01,9426.0
2024-12-01,12659.0
2025-01-01,9128.0
2025-02-01,8656.0
2025-03-01,9824.0
2025-04-01,9905.0
2025-05-01,12073.0
2025-06-01,12876.0
2025-07-01,13674.0
2025-08-01,13938.0
