Tarih,TP_ODEMGZS_SUUDARABISTAN
2014-11-01,16280.0
2014-12-01,11962.0
2015-01-01,23781.0
2015-02-01,14055.0
2015-03-01,36066.0
2015-04-01,27120.0
2015-05-01,32671.0
2015-06-01,46385.0
2015-07-01,34039.0
2015-08-01,110172.0
2015-09-01,54936.0
2015-10-01,37627.0
2015-11-01,20237.0
2015-12-01,14127.0
2016-01-01,30831.0
2016-02-01,12515.0
2016-03-01,34940.0
2016-04-01,23850.0
2016-05-01,38654.0
2016-06-01,27552.0
2016-07-01,47209.0
2016-08-01,108617.0
2016-09-01,113016.0
2016-10-01,29845.0
2016-11-01,48087.0
2016-12-01,18970.0
2017-01-01,16108.0
2017-02-01,26311.0
2017-03-01,19000.0
2017-04-01,59798.0
2017-05-01,47853.0
2017-06-01,11476.0
2017-07-01,98861.0
2017-08-01,150576.0
2017-09-01,128496.0
2017-10-01,37250.0
2017-11-01,33604.0
2017-12-01,23588.0
2018-01-01,51511.0
2018-02-01,20375.0
2018-03-01,32668.0
2018-04-01,48575.0
2018-05-01,42035.0
2018-06-01,37098.0
2018-07-01,141491.0
2018-08-01,179420.0
2018-09-01,76502.0
2018-10-01,44961.0
2018-11-01,27056.0
2018-12-01,23812.0
2019-01-01,46006.0
2019-02-01,19368.0
2019-03-01,27901.0
2019-04-01,39878.0
2019-05-01,19718.0
2019-06-01,54832.0
2019-07-01,121563.0
2019-08-01,149821.0
2019-09-01,42209.0
2019-10-01,19806.0
2019-11-01,20533.0
2019-12-01,17975.0
2020-01-01,53927.0
2020-02-01,15482.0
2020-03-01,6173.0
2020-04-01,250.0
2020-05-01,468.0
2020-06-01,89.0
2020-07-01,69.0
2020-08-01,350.0
2020-09-01,688.0
2020-10-01,694.0
2020-11-01,529.0
2020-12-01,328.0
2021-01-01,391.0
2021-02-01,191.0
2021-03-01,223.0
2021-04-01,388.0
2021-05-01,318.0
2021-06-01,833.0
2021-07-01,1908.0
2021-08-01,2115.0
2021-09-01,795.0
2021-10-01,924.0
2021-11-01,807.0
2021-12-01,933.0
2022-01-01,829.0
2022-02-01,964.0
2022-03-01,1490.0
2022-04-01,543.0
2022-05-01,2145.0
2022-06-01,4191.0
2022-07-01,56355.0
2022-08-01,170780.0
2022-09-01,85099.0
2022-10-01,60864.0
2022-11-01,42860.0
2022-12-01,62545.0
2023-01-01,34385.0
2023-02-01,22551.0
2023-03-01,33158.0
2023-04-01,18033.0
2023-05-01,51811.0
2023-06-01,68192.0
2023-07-01,187532.0
2023-08-01,218828.0
2023-09-01,61401.0
2023-10-01,39982.0
2023-11-01,48289.0
2023-12-01,36178.0
2024-01-01,44256.0
2024-02-01,29680.0
2024-03-01,30396.0
2024-04-01,35820.0
2024-05-01,64224.0
2024-06-01,100058.0
2024-07-01,185712.0
2024-08-01,164032.0
2024-09-01,57525.0
2024-10-01,45993.0
2024-11-01,68176.0
2024-12-01,40700.0
2025-01-01,54385.0
2025-02-01,40951.0
2025-03-01,9405.0
2025-04-01,54518.0
2025-05-01,65023.0
2025-06-01,101283.0
2025-07-01,165174.0
2025-08-01,196083.0
