Tarih,TP_ODEMGZS_ENDONEZYA
2015-02-01,3648.0
2015-03-01,3891.0
2015-04-01,6132.0
2015-05-01,5643.0
2015-06-01,4347.0
2015-07-01,5256.0
2015-08-01,4231.0
2015-09-01,4358.0
2015-10-01,4961.0
2015-11-01,3545.0
2015-12-01,3465.0
2016-01-01,5581.0
2016-02-01,3051.0
2016-03-01,3204.0
2016-04-01,5987.0
2016-05-01,4624.0
2016-06-01,3186.0
2016-07-01,3305.0
2016-08-01,2116.0
2016-09-01,2716.0
2016-10-01,3931.0
2016-11-01,4512.0
2016-12-01,5027.0
2017-01-01,9117.0
2017-02-01,6726.0
2017-03-01,7382.0
2017-04-01,10970.0
2017-05-01,8515.0
2017-06-01,2997.0
2017-07-01,4425.0
2017-08-01,2681.0
2017-09-01,4829.0
2017-10-01,5081.0
2017-11-01,9577.0
2017-12-01,10001.0
2018-01-01,17140.0
2018-02-01,11709.0
2018-03-01,12733.0
2018-04-01,22012.0
2018-05-01,7741.0
2018-06-01,6639.0
2018-07-01,4377.0
2018-08-01,3542.0
2018-09-01,4776.0
2018-10-01,7991.0
2018-11-01,9821.0
2018-12-01,9581.0
2019-01-01,16889.0
2019-02-01,10575.0
2019-03-01,11367.0
2019-04-01,18006.0
2019-05-01,6017.0
2019-06-01,9549.0
2019-07-01,5645.0
2019-08-01,4717.0
2019-09-01,6368.0
2019-10-01,10320.0
2019-11-01,12480.0
2019-12-01,12279.0
2020-01-01,17102.0
2020-02-01,11669.0
2020-03-01,3789.0
2020-04-01,26.0
2020-05-01,28.0
2020-06-01,414.0
2020-07-01,1113.0
2020-08-01,893.0
2020-09-01,928.0
2020-10-01,1377.0
2020-11-01,1883.0
2020-12-01,3625.0
2021-01-01,2445.0
2021-02-01,1777.0
2021-03-01,2969.0
2021-04-01,3611.0
2021-05-01,2200.0
2021-06-01,3120.0
2021-07-01,3253.0
2021-08-01,3703.0
2021-09-01,3688.0
2021-10-01,3930.0
2021-11-01,5435.0
2021-12-01,6333.0
2022-01-01,5930.0
2022-02-01,4906.0
2022-03-01,8024.0
2022-04-01,7936.0
2022-05-01,15968.0
2022-06-01,14416.0
2022-07-01,11023.0
2022-08-01,9896.0
2022-09-01,12752.0
2022-10-01,22463.0
2022-11-01,19885.0
2022-12-01,14451.0
2023-01-01,25675.0
2023-02-01,21928.0
2023-03-01,17532.0
2023-04-01,11117.0
2023-05-01,14018.0
2023-06-01,9599.0
2023-07-01,7874.0
2023-08-01,7511.0
2023-09-01,11336.0
2023-10-01,19594.0
2023-11-01,16771.0
2023-12-01,15838.0
2024-01-01,23766.0
2024-02-01,21514.0
2024-03-01,13088.0
2024-04-01,19310.0
2024-05-01,15708.0
2024-06-01,10887.0
2024-07-01,13171.0
2024-08-01,11239.0
2024-09-01,12883.0
2024-10-01,20594.0
2024-11-01,17447.0
2024-12-01,19513.0
2025-01-01,31807.0
2025-02-01,25745.0
2025-03-01,8423.0
2025-04-01,22856.0
2025-05-01,10612.0
2025-06-01,10997.0
2025-07-01,13160.0
2025-08-01,11772.0
