Tarih,TP_ODEMGZS_DASYA
2014-11-01,9630.0
2014-12-01,8478.0
2015-01-01,7993.0
2015-02-01,9194.0
2015-03-01,9390.0
2015-04-01,12673.0
2015-05-01,15096.0
2015-06-01,14934.0
2015-07-01,13956.0
2015-08-01,19148.0
2015-09-01,14050.0
2015-10-01,14770.0
2015-11-01,11234.0
2015-12-01,9555.0
2016-01-01,9084.0
2016-02-01,8207.0
2016-03-01,12641.0
2016-04-01,13600.0
2016-05-01,15236.0
2016-06-01,16401.0
2016-07-01,14571.0
2016-08-01,14031.0
2016-09-01,13073.0
2016-10-01,12966.0
2016-11-01,12292.0
2016-12-01,12353.0
2017-01-01,12978.0
2017-02-01,11568.0
2017-03-01,14849.0
2017-04-01,16294.0
2017-05-01,16556.0
2017-06-01,14515.0
2017-07-01,23311.0
2017-08-01,28291.0
2017-09-01,21361.0
2017-10-01,22147.0
2017-11-01,22243.0
2017-12-01,20074.0
2018-01-01,18681.0
2018-02-01,17989.0
2018-03-01,23715.0
2018-04-01,31223.0
2018-05-01,29806.0
2018-06-01,25605.0
2018-07-01,38011.0
2018-08-01,42731.0
2018-09-01,32587.0
2018-10-01,32605.0
2018-11-01,33762.0
2018-12-01,27232.0
2019-01-01,30034.0
2019-02-01,24915.0
2019-03-01,32529.0
2019-04-01,39051.0
2019-05-01,33878.0
2019-06-01,39127.0
2019-07-01,61208.0
2019-08-01,59165.0
2019-09-01,41120.0
2019-10-01,44028.0
2019-11-01,39525.0
2019-12-01,31112.0
2020-01-01,31010.0
2020-02-01,26711.0
2020-03-01,14404.0
2020-04-01,2344.0
2020-05-01,1613.0
2020-06-01,3093.0
2020-07-01,6094.0
2020-08-01,5828.0
2020-09-01,7827.0
2020-10-01,10113.0
2020-11-01,10687.0
2020-12-01,8388.0
2021-01-01,7560.0
2021-02-01,7641.0
2021-03-01,10291.0
2021-04-01,11177.0
2021-05-01,8028.0
2021-06-01,14025.0
2021-07-01,25324.0
2021-08-01,33204.0
2021-09-01,25447.0
2021-10-01,22506.0
2021-11-01,21120.0
2021-12-01,20464.0
2022-01-01,21646.0
2022-02-01,20128.0
2022-03-01,25650.0
2022-04-01,19308.0
2022-05-01,31350.0
2022-06-01,53263.0
2022-07-01,62367.0
2022-08-01,75564.0
2022-09-01,43233.0
2022-10-01,36462.0
2022-11-01,30600.0
2022-12-01,25723.0
2023-01-01,28722.0
2023-02-01,23484.0
2023-03-01,22903.0
2023-04-01,21923.0
2023-05-01,29875.0
2023-06-01,45401.0
2023-07-01,57432.0
2023-08-01,64125.0
2023-09-01,34325.0
2023-10-01,32572.0
2023-11-01,27967.0
2023-12-01,22443.0
2024-01-01,26839.0
2024-02-01,25086.0
2024-03-01,21007.0
2024-04-01,28866.0
2024-05-01,34458.0
2024-06-01,40017.0
2024-07-01,52532.0
2024-08-01,53366.0
2024-09-01,33067.0
2024-10-01,34778.0
2024-11-01,30849.0
2024-12-01,27165.0
2025-01-01,27821.0
2025-02-01,27124.0
2025-03-01,20107.0
2025-04-01,29824.0
2025-05-01,34411.0
2025-06-01,38423.0
2025-07-01,46179.0
2025-08-01,51308.0
