Tarih,TP_ODEMGZS_KAZAKISTAN
2015-01-01,11442.0
2015-02-01,12573.0
2015-03-01,12775.0
2015-04-01,12517.0
2015-05-01,27966.0
2015-06-01,75244.0
2015-07-01,89684.0
2015-08-01,99676.0
2015-09-01,47740.0
2015-10-01,15609.0
2015-11-01,9723.0
2015-12-01,8097.0
2016-01-01,7333.0
2016-02-01,7454.0
2016-03-01,8150.0
2016-04-01,8596.0
2016-05-01,12852.0
2016-06-01,31553.0
2016-07-01,46569.0
2016-08-01,52489.0
2016-09-01,30613.0
2016-10-01,14040.0
2016-11-01,9585.0
2016-12-01,8798.0
2017-01-01,9035.0
2017-02-01,9617.0
2017-03-01,10966.0
2017-04-01,11248.0
2017-05-01,24475.0
2017-06-01,64385.0
2017-07-01,87317.0
2017-08-01,86604.0
2017-09-01,51047.0
2017-10-01,19930.0
2017-11-01,12907.0
2017-12-01,12228.0
2018-01-01,11786.0
2018-02-01,12564.0
2018-03-01,14930.0
2018-04-01,13841.0
2018-05-01,26587.0
2018-06-01,71468.0
2018-07-01,84767.0
2018-08-01,84632.0
2018-09-01,49978.0
2018-10-01,23230.0
2018-11-01,15887.0
2018-12-01,13314.0
2019-01-01,14812.0
2019-02-01,14606.0
2019-03-01,17202.0
2019-04-01,16469.0
2019-05-01,29031.0
2019-06-01,68354.0
2019-07-01,86567.0
2019-08-01,86724.0
2019-09-01,49972.0
2019-10-01,29260.0
2019-11-01,20067.0
2019-12-01,16472.0
2020-01-01,18952.0
2020-02-01,17207.0
2020-03-01,9888.0
2020-04-01,529.0
2020-05-01,355.0
2020-06-01,3106.0
2020-07-01,5123.0
2020-08-01,3681.0
2020-09-01,26641.0
2020-10-01,23952.0
2020-11-01,12806.0
2020-12-01,9440.0
2021-01-01,7809.0
2021-02-01,8446.0
2021-03-01,11313.0
2021-04-01,12789.0
2021-05-01,9119.0
2021-06-01,26395.0
2021-07-01,67049.0
2021-08-01,72634.0
2021-09-01,50461.0
2021-10-01,36256.0
2021-11-01,27229.0
2021-12-01,22077.0
2022-01-01,20880.0
2022-02-01,21132.0
2022-03-01,26915.0
2022-04-01,26891.0
2022-05-01,54641.0
2022-06-01,106272.0
2022-07-01,122520.0
2022-08-01,123861.0
2022-09-01,85949.0
2022-10-01,49304.0
2022-11-01,35221.0
2022-12-01,32018.0
2023-01-01,34123.0
2023-02-01,30933.0
2023-03-01,32598.0
2023-04-01,30089.0
2023-05-01,63517.0
2023-06-01,121345.0
2023-07-01,143220.0
2023-08-01,147194.0
2023-09-01,93043.0
2023-10-01,60307.0
2023-11-01,41004.0
2023-12-01,30773.0
2024-01-01,34817.0
2024-02-01,27793.0
2024-03-01,38774.0
2024-04-01,36382.0
2024-05-01,67352.0
2024-06-01,137910.0
2024-07-01,158789.0
2024-08-01,151751.0
2024-09-01,90359.0
2024-10-01,55973.0
2024-11-01,38433.0
2024-12-01,27690.0
2025-01-01,31309.0
2025-02-01,26385.0
2025-03-01,31805.0
2025-04-01,35205.0
2025-05-01,60221.0
2025-06-01,122069.0
2025-07-01,136283.0
2025-08-01,121938.0
