Tarih,TP_ODEMGZS_ITALYA
2014-11-01,47171.0
2014-12-01,32595.0
2015-01-01,34507.0
2015-02-01,21903.0
2015-03-01,28032.0
2015-04-01,36522.0
2015-05-01,45715.0
2015-06-01,56641.0
2015-07-01,59625.0
2015-08-01,82390.0
2015-09-01,52760.0
2015-10-01,44588.0
2015-11-01,34416.0
2015-12-01,20801.0
2016-01-01,20564.0
2016-02-01,15336.0
2016-03-01,17673.0
2016-04-01,17344.0
2016-05-01,19270.0
2016-06-01,21352.0
2016-07-01,16496.0
2016-08-01,25824.0
2016-09-01,17895.0
2016-10-01,16830.0
2016-11-01,14437.0
2016-12-01,14221.0
2017-01-01,13454.0
2017-02-01,10059.0
2017-03-01,13176.0
2017-04-01,14142.0
2017-05-01,14908.0
2017-06-01,16502.0
2017-07-01,20539.0
2017-08-01,29400.0
2017-09-01,21508.0
2017-10-01,19120.0
2017-11-01,16420.0
2017-12-01,17066.0
2018-01-01,16806.0
2018-02-01,14617.0
2018-03-01,17722.0
2018-04-01,21454.0
2018-05-01,21462.0
2018-06-01,22047.0
2018-07-01,26259.0
2018-08-01,44088.0
2018-09-01,28882.0
2018-10-01,26399.0
2018-11-01,23147.0
2018-12-01,19319.0
2019-01-01,22079.0
2019-02-01,17424.0
2019-03-01,22819.0
2019-04-01,30312.0
2019-05-01,28552.0
2019-06-01,28688.0
2019-07-01,36545.0
2019-08-01,66859.0
2019-09-01,43474.0
2019-10-01,34429.0
2019-11-01,26103.0
2019-12-01,20272.0
2020-01-01,24398.0
2020-02-01,17014.0
2020-03-01,3597.0
2020-04-01,128.0
2020-05-01,55.0
2020-06-01,447.0
2020-07-01,2900.0
2020-08-01,6587.0
2020-09-01,6932.0
2020-10-01,7345.0
2020-11-01,4565.0
2020-12-01,4210.0
2021-01-01,4026.0
2021-02-01,4386.0
2021-03-01,5085.0
2021-04-01,5500.0
2021-05-01,4538.0
2021-06-01,6542.0
2021-07-01,10266.0
2021-08-01,17187.0
2021-09-01,14207.0
2021-10-01,16955.0
2021-11-01,15139.0
2021-12-01,11774.0
2022-01-01,10670.0
2022-02-01,10512.0
2022-03-01,14613.0
2022-04-01,23108.0
2022-05-01,27500.0
2022-06-01,36537.0
2022-07-01,46466.0
2022-08-01,78931.0
2022-09-01,55212.0
2022-10-01,50523.0
2022-11-01,35410.0
2022-12-01,26079.0
2023-01-01,28806.0
2023-02-01,19919.0
2023-03-01,26312.0
2023-04-01,36232.0
2023-05-01,44966.0
2023-06-01,70146.0
2023-07-01,53611.0
2023-08-01,103738.0
2023-09-01,60209.0
2023-10-01,71295.0
2023-11-01,49159.0
2023-12-01,35334.0
2024-01-01,37143.0
2024-02-01,26826.0
2024-03-01,33943.0
2024-04-01,44648.0
2024-05-01,51003.0
2024-06-01,67419.0
2024-07-01,81322.0
2024-08-01,119116.0
2024-09-01,84578.0
2024-10-01,69662.0
2024-11-01,58071.0
2024-12-01,44372.0
2025-01-01,49777.0
2025-02-01,38040.0
2025-03-01,50976.0
2025-04-01,60937.0
2025-05-01,70827.0
2025-06-01,79470.0
2025-07-01,64770.0
2025-08-01,124884.0
