Tarih,TP_ODEMGZS_ARNAVUTLUK
2015-01-01,4655.0
2015-02-01,3948.0
2015-03-01,5203.0
2015-04-01,5233.0
2015-05-01,5854.0
2015-06-01,7458.0
2015-07-01,9242.0
2015-08-01,13577.0
2015-09-01,8528.0
2015-10-01,5728.0
2015-11-01,5550.0
2015-12-01,4795.0
2016-01-01,4890.0
2016-02-01,4190.0
2016-03-01,5117.0
2016-04-01,5191.0
2016-05-01,5297.0
2016-06-01,8001.0
2016-07-01,10170.0
2016-08-01,14156.0
2016-09-01,9365.0
2016-10-01,5571.0
2016-11-01,5649.0
2016-12-01,5082.0
2017-01-01,4851.0
2017-02-01,3988.0
2017-03-01,5752.0
2017-04-01,6217.0
2017-05-01,5913.0
2017-06-01,9334.0
2017-07-01,14226.0
2017-08-01,19445.0
2017-09-01,12532.0
2017-10-01,7207.0
2017-11-01,7254.0
2017-12-01,6655.0
2018-01-01,6875.0
2018-02-01,5070.0
2018-03-01,8203.0
2018-04-01,7856.0
2018-05-01,7664.0
2018-06-01,11992.0
2018-07-01,15150.0
2018-08-01,20076.0
2018-09-01,15642.0
2018-10-01,9780.0
2018-11-01,8539.0
2018-12-01,9616.0
2019-01-01,7358.0
2019-02-01,6319.0
2019-03-01,10607.0
2019-04-01,9531.0
2019-05-01,9270.0
2019-06-01,11930.0
2019-07-01,15264.0
2019-08-01,20556.0
2019-09-01,16141.0
2019-10-01,10549.0
2019-11-01,8654.0
2019-12-01,9518.0
2020-01-01,8125.0
2020-02-01,5903.0
2020-03-01,3878.0
2020-04-01,534.0
2020-05-01,572.0
2020-06-01,950.0
2020-07-01,3680.0
2020-08-01,6177.0
2020-09-01,5368.0
2020-10-01,6184.0
2020-11-01,5517.0
2020-12-01,4468.0
2021-01-01,3135.0
2021-02-01,3183.0
2021-03-01,4358.0
2021-04-01,4213.0
2021-05-01,4076.0
2021-06-01,8233.0
2021-07-01,11395.0
2021-08-01,15590.0
2021-09-01,10471.0
2021-10-01,8424.0
2021-11-01,8906.0
2021-12-01,7060.0
2022-01-01,6508.0
2022-02-01,6107.0
2022-03-01,8789.0
2022-04-01,8601.0
2022-05-01,9918.0
2022-06-01,13744.0
2022-07-01,19984.0
2022-08-01,24172.0
2022-09-01,18560.0
2022-10-01,11094.0
2022-11-01,10744.0
2022-12-01,7384.0
2023-01-01,7602.0
2023-02-01,5834.0
2023-03-01,6824.0
2023-04-01,7649.0
2023-05-01,8157.0
2023-06-01,14637.0
2023-07-01,19865.0
2023-08-01,25530.0
2023-09-01,18056.0
2023-10-01,9953.0
2023-11-01,10835.0
2023-12-01,7847.0
2024-01-01,8065.0
2024-02-01,7667.0
2024-03-01,10427.0
2024-04-01,9831.0
2024-05-01,10260.0
2024-06-01,15182.0
2024-07-01,23008.0
2024-08-01,26128.0
2024-09-01,19213.0
2024-10-01,10587.0
2024-11-01,9970.0
2024-12-01,10127.0
2025-01-01,7899.0
2025-02-01,6897.0
2025-03-01,9133.0
2025-04-01,8832.0
2025-05-01,10504.0
2025-06-01,17141.0
2025-07-01,22690.0
2025-08-01,25416.0
