Tarih,TP_ODEMGZS_KOSOVA
2015-03-01,5515.0
2015-04-01,6784.0
2015-05-01,8134.0
2015-06-01,12463.0
2015-07-01,11848.0
2015-08-01,13163.0
2015-09-01,11325.0
2015-10-01,8858.0
2015-11-01,5743.0
2015-12-01,5170.0
2016-01-01,6156.0
2016-02-01,5167.0
2016-03-01,5865.0
2016-04-01,6365.0
2016-05-01,8910.0
2016-06-01,12718.0
2016-07-01,12619.0
2016-08-01,13139.0
2016-09-01,10723.0
2016-10-01,8807.0
2016-11-01,5896.0
2016-12-01,4564.0
2017-01-01,5222.0
2017-02-01,4492.0
2017-03-01,5887.0
2017-04-01,7214.0
2017-05-01,8917.0
2017-06-01,13006.0
2017-07-01,15988.0
2017-08-01,16038.0
2017-09-01,15131.0
2017-10-01,11611.0
2017-11-01,6891.0
2017-12-01,5924.0
2018-01-01,6964.0
2018-02-01,5714.0
2018-03-01,7468.0
2018-04-01,8747.0
2018-05-01,11307.0
2018-06-01,16022.0
2018-07-01,17260.0
2018-08-01,17316.0
2018-09-01,18797.0
2018-10-01,14877.0
2018-11-01,8747.0
2018-12-01,7106.0
2019-01-01,7449.0
2019-02-01,6656.0
2019-03-01,8458.0
2019-04-01,9313.0
2019-05-01,11184.0
2019-06-01,19001.0
2019-07-01,19337.0
2019-08-01,19487.0
2019-09-01,19827.0
2019-10-01,15247.0
2019-11-01,8745.0
2019-12-01,7462.0
2020-01-01,8142.0
2020-02-01,7268.0
2020-03-01,4604.0
2020-04-01,132.0
2020-05-01,111.0
2020-06-01,686.0
2020-07-01,3874.0
2020-08-01,9560.0
2020-09-01,10974.0
2020-10-01,13666.0
2020-11-01,7593.0
2020-12-01,5277.0
2021-01-01,3908.0
2021-02-01,4322.0
2021-03-01,6235.0
2021-04-01,6494.0
2021-05-01,6041.0
2021-06-01,15411.0
2021-07-01,19584.0
2021-08-01,21058.0
2021-09-01,20691.0
2021-10-01,17800.0
2021-11-01,12603.0
2021-12-01,10298.0
2022-01-01,9618.0
2022-02-01,9557.0
2022-03-01,11417.0
2022-04-01,11283.0
2022-05-01,14964.0
2022-06-01,24088.0
2022-07-01,23632.0
2022-08-01,23309.0
2022-09-01,26748.0
2022-10-01,20020.0
2022-11-01,11164.0
2022-12-01,8409.0
2023-01-01,8876.0
2023-02-01,7628.0
2023-03-01,8220.0
2023-04-01,8251.0
2023-05-01,14424.0
2023-06-01,20030.0
2023-07-01,19494.0
2023-08-01,21884.0
2023-09-01,24385.0
2023-10-01,20032.0
2023-11-01,12478.0
2023-12-01,9205.0
2024-01-01,11949.0
2024-02-01,11578.0
2024-03-01,10794.0
2024-04-01,13308.0
2024-05-01,18881.0
2024-06-01,22282.0
2024-07-01,21236.0
2024-08-01,23402.0
2024-09-01,27429.0
2024-10-01,22923.0
2024-11-01,15246.0
2024-12-01,10989.0
2025-01-01,11364.0
2025-02-01,11182.0
2025-03-01,8118.0
2025-04-01,15729.0
2025-05-01,18323.0
2025-06-01,24956.0
2025-07-01,19730.0
2025-08-01,21372.0
