Tarih,TP_ODEMGZS_KIRGIZISTAN
2015-01-01,5482.0
2015-02-01,5886.0
2015-03-01,5788.0
2015-04-01,5880.0
2015-05-01,7218.0
2015-06-01,8360.0
2015-07-01,7073.0
2015-08-01,8539.0
2015-09-01,7786.0
2015-10-01,9232.0
2015-11-01,6241.0
2015-12-01,5576.0
2016-01-01,5607.0
2016-02-01,5386.0
2016-03-01,5975.0
2016-04-01,6181.0
2016-05-01,7664.0
2016-06-01,7610.0
2016-07-01,6698.0
2016-08-01,8590.0
2016-09-01,7497.0
2016-10-01,8066.0
2016-11-01,6220.0
2016-12-01,5780.0
2017-01-01,6041.0
2017-02-01,5905.0
2017-03-01,6981.0
2017-04-01,6137.0
2017-05-01,9198.0
2017-06-01,8916.0
2017-07-01,8700.0
2017-08-01,10187.0
2017-09-01,9944.0
2017-10-01,11812.0
2017-11-01,8238.0
2017-12-01,8162.0
2018-01-01,8257.0
2018-02-01,6963.0
2018-03-01,7222.0
2018-04-01,7230.0
2018-05-01,9969.0
2018-06-01,9685.0
2018-07-01,9459.0
2018-08-01,9998.0
2018-09-01,11988.0
2018-10-01,15380.0
2018-11-01,11309.0
2018-12-01,8149.0
2019-01-01,8794.0
2019-02-01,8242.0
2019-03-01,7926.0
2019-04-01,7674.0
2019-05-01,9887.0
2019-06-01,11415.0
2019-07-01,10165.0
2019-08-01,10058.0
2019-09-01,11573.0
2019-10-01,13485.0
2019-11-01,12458.0
2019-12-01,8858.0
2020-01-01,9354.0
2020-02-01,7905.0
2020-03-01,4865.0
2020-04-01,595.0
2020-05-01,350.0
2020-06-01,418.0
2020-07-01,2083.0
2020-08-01,3057.0
2020-09-01,6034.0
2020-10-01,6066.0
2020-11-01,5308.0
2020-12-01,4732.0
2021-01-01,4295.0
2021-02-01,4930.0
2021-03-01,5893.0
2021-04-01,5992.0
2021-05-01,4982.0
2021-06-01,8591.0
2021-07-01,9000.0
2021-08-01,11012.0
2021-09-01,11010.0
2021-10-01,12258.0
2021-11-01,11242.0
2021-12-01,9130.0
2022-01-01,10777.0
2022-02-01,9056.0
2022-03-01,9121.0
2022-04-01,8490.0
2022-05-01,14496.0
2022-06-01,14693.0
2022-07-01,13882.0
2022-08-01,13829.0
2022-09-01,15397.0
2022-10-01,14977.0
2022-11-01,12670.0
2022-12-01,10421.0
2023-01-01,11931.0
2023-02-01,10870.0
2023-03-01,10421.0
2023-04-01,10179.0
2023-05-01,15704.0
2023-06-01,17650.0
2023-07-01,15198.0
2023-08-01,16991.0
2023-09-01,17467.0
2023-10-01,17757.0
2023-11-01,15241.0
2023-12-01,11623.0
2024-01-01,13693.0
2024-02-01,11511.0
2024-03-01,12067.0
2024-04-01,11593.0
2024-05-01,18950.0
2024-06-01,20344.0
2024-07-01,15916.0
2024-08-01,16815.0
2024-09-01,17835.0
2024-10-01,17834.0
2024-11-01,16504.0
2024-12-01,11326.0
2025-01-01,12962.0
2025-02-01,11225.0
2025-03-01,11498.0
2025-04-01,13566.0
2025-05-01,22576.0
2025-06-01,19778.0
2025-07-01,15789.0
2025-08-01,17713.0
