Tarih,TP_ODEMGZS_GKORE
2015-02-01,21344.0
2015-03-01,19067.0
2015-04-01,20789.0
2015-05-01,22766.0
2015-06-01,18961.0
2015-07-01,21221.0
2015-08-01,21454.0
2015-09-01,16302.0
2015-10-01,19177.0
2015-11-01,13866.0
2015-12-01,11519.0
2016-01-01,14260.0
2016-02-01,11511.0
2016-03-01,8834.0
2016-04-01,8794.0
2016-05-01,8923.0
2016-06-01,11269.0
2016-07-01,10292.0
2016-08-01,6969.0
2016-09-01,7021.0
2016-10-01,6737.0
2016-11-01,6117.0
2016-12-01,7667.0
2017-01-01,9898.0
2017-02-01,8530.0
2017-03-01,8597.0
2017-04-01,10193.0
2017-05-01,9253.0
2017-06-01,10150.0
2017-07-01,11640.0
2017-08-01,11197.0
2017-09-01,9916.0
2017-10-01,12407.0
2017-11-01,9901.0
2017-12-01,9424.0
2018-01-01,11245.0
2018-02-01,9787.0
2018-03-01,10850.0
2018-04-01,13908.0
2018-05-01,13048.0
2018-06-01,13701.0
2018-07-01,14068.0
2018-08-01,15717.0
2018-09-01,13506.0
2018-10-01,15945.0
2018-11-01,14460.0
2018-12-01,13130.0
2019-01-01,15527.0
2019-02-01,15713.0
2019-03-01,15864.0
2019-04-01,16336.0
2019-05-01,19271.0
2019-06-01,18068.0
2019-07-01,19159.0
2019-08-01,19167.0
2019-09-01,18192.0
2019-10-01,22882.0
2019-11-01,16925.0
2019-12-01,14882.0
2020-01-01,18058.0
2020-02-01,15486.0
2020-03-01,1598.0
2020-04-01,347.0
2020-05-01,112.0
2020-06-01,377.0
2020-07-01,558.0
2020-08-01,669.0
2020-09-01,730.0
2020-10-01,508.0
2020-11-01,515.0
2020-12-01,576.0
2021-01-01,847.0
2021-02-01,480.0
2021-03-01,478.0
2021-04-01,555.0
2021-05-01,498.0
2021-06-01,870.0
2021-07-01,1352.0
2021-08-01,1690.0
2021-09-01,974.0
2021-10-01,1683.0
2021-11-01,2602.0
2021-12-01,2688.0
2022-01-01,2501.0
2022-02-01,2154.0
2022-03-01,2503.0
