Tarih,TP_ODEMGZS_AMERIKATOP
2014-11-01,72179.0
2014-12-01,51379.0
2015-01-01,52698.0
2015-02-01,42252.0
2015-03-01,62035.0
2015-04-01,88589.0
2015-05-01,134848.0
2015-06-01,171438.0
2015-07-01,169489.0
2015-08-01,156259.0
2015-09-01,168480.0
2015-10-01,155262.0
2015-11-01,74016.0
2015-12-01,47336.0
2016-01-01,49919.0
2016-02-01,38120.0
2016-03-01,55509.0
2016-04-01,58214.0
2016-05-01,95531.0
2016-06-01,107978.0
2016-07-01,79069.0
2016-08-01,72475.0
2016-09-01,71715.0
2016-10-01,70389.0
2016-11-01,41201.0
2016-12-01,37069.0
2017-01-01,38599.0
2017-02-01,26271.0
2017-03-01,36261.0
2017-04-01,45741.0
2017-05-01,51019.0
2017-06-01,57843.0
2017-07-01,77166.0
2017-08-01,81499.0
2017-09-01,75337.0
2017-10-01,61983.0
2017-11-01,37610.0
2017-12-01,32956.0
2018-01-01,42637.0
2018-02-01,35740.0
2018-03-01,50183.0
2018-04-01,63439.0
2018-05-01,77445.0
2018-06-01,90101.0
2018-07-01,102533.0
2018-08-01,105339.0
2018-09-01,102387.0
2018-10-01,92074.0
2018-11-01,64142.0
2018-12-01,55417.0
2019-01-01,58697.0
2019-02-01,45146.0
2019-03-01,68975.0
2019-04-01,83462.0
2019-05-01,97905.0
2019-06-01,115793.0
2019-07-01,133607.0
2019-08-01,133719.0
2019-09-01,133030.0
2019-10-01,121548.0
2019-11-01,76194.0
2019-12-01,66697.0
2020-01-01,66612.0
2020-02-01,47928.0
2020-03-01,32322.0
2020-04-01,690.0
2020-05-01,523.0
2020-06-01,1938.0
2020-07-01,7556.0
2020-08-01,17987.0
2020-09-01,24205.0
2020-10-01,25058.0
2020-11-01,22292.0
2020-12-01,20527.0
2021-01-01,19236.0
2021-02-01,13625.0
2021-03-01,18201.0
2021-04-01,21871.0
2021-05-01,21978.0
2021-06-01,41124.0
2021-07-01,72844.0
2021-08-01,94620.0
2021-09-01,73615.0
2021-10-01,76953.0
2021-11-01,70117.0
2021-12-01,60463.0
2022-01-01,60634.0
2022-02-01,41910.0
2022-03-01,69266.0
2022-04-01,92484.0
2022-05-01,147716.0
2022-06-01,185739.0
2022-07-01,208882.0
2022-08-01,211910.0
2022-09-01,207307.0
2022-10-01,222744.0
2022-11-01,144801.0
2022-12-01,92407.0
2023-01-01,92855.0
2023-02-01,65021.0
2023-03-01,105621.0
2023-04-01,136169.0
2023-05-01,210743.0
2023-06-01,239188.0
2023-07-01,255969.0
2023-08-01,236401.0
2023-09-01,254398.0
2023-10-01,311177.0
2023-11-01,163076.0
2023-12-01,94290.0
2024-01-01,98862.0
2024-02-01,78635.0
2024-03-01,118973.0
2024-04-01,125929.0
2024-05-01,219966.0
2024-06-01,258770.0
2024-07-01,300817.0
2024-08-01,285784.0
2024-09-01,272790.0
2024-10-01,302608.0
2024-11-01,148021.0
2024-12-01,122718.0
2025-01-01,117993.0
2025-02-01,92045.0
2025-03-01,107401.0
2025-04-01,150533.0
2025-05-01,256026.0
2025-06-01,293089.0
2025-07-01,240216.0
2025-08-01,285832.0
