Tarih,TP_ODEMGZS_MACARISTAN
2014-11-01,6781.0
2014-12-01,4228.0
2015-01-01,4064.0
2015-02-01,3835.0
2015-03-01,5707.0
2015-04-01,7680.0
2015-05-01,8761.0
2015-06-01,16170.0
2015-07-01,27780.0
2015-08-01,25181.0
2015-09-01,18183.0
2015-10-01,13412.0
2015-11-01,6287.0
2015-12-01,3645.0
2016-01-01,3577.0
2016-02-01,3319.0
2016-03-01,4293.0
2016-04-01,3731.0
2016-05-01,4313.0
2016-06-01,7202.0
2016-07-01,9932.0
2016-08-01,9264.0
2016-09-01,8133.0
2016-10-01,5427.0
2016-11-01,3407.0
2016-12-01,2586.0
2017-01-01,2358.0
2017-02-01,2189.0
2017-03-01,2650.0
2017-04-01,3380.0
2017-05-01,3742.0
2017-06-01,9035.0
2017-07-01,14578.0
2017-08-01,14639.0
2017-09-01,12197.0
2017-10-01,7486.0
2017-11-01,4862.0
2017-12-01,2759.0
2018-01-01,2728.0
2018-02-01,2902.0
2018-03-01,3611.0
2018-04-01,5266.0
2018-05-01,6332.0
2018-06-01,12470.0
2018-07-01,23444.0
2018-08-01,24423.0
2018-09-01,20845.0
2018-10-01,11924.0
2018-11-01,6323.0
2018-12-01,3015.0
2019-01-01,3592.0
2019-02-01,3124.0
2019-03-01,5079.0
2019-04-01,6264.0
2019-05-01,7243.0
2019-06-01,17497.0
2019-07-01,29020.0
2019-08-01,29685.0
2019-09-01,24575.0
2019-10-01,14016.0
2019-11-01,6650.0
2019-12-01,2776.0
2020-01-01,3586.0
2020-02-01,2957.0
2020-03-01,2167.0
2020-04-01,22.0
2020-05-01,96.0
2020-06-01,300.0
2020-07-01,840.0
2020-08-01,1634.0
2020-09-01,2201.0
2020-10-01,1571.0
2020-11-01,963.0
2020-12-01,866.0
2021-01-01,751.0
2021-02-01,855.0
2021-03-01,994.0
2021-04-01,992.0
2021-05-01,1104.0
2021-06-01,5238.0
2021-07-01,16301.0
2021-08-01,22154.0
2021-09-01,12136.0
2021-10-01,9017.0
2021-11-01,3936.0
2021-12-01,2294.0
2022-01-01,2855.0
2022-02-01,2629.0
2022-03-01,4185.0
2022-04-01,5831.0
2022-05-01,7978.0
2022-06-01,20696.0
2022-07-01,35941.0
2022-08-01,35509.0
2022-09-01,24613.0
2022-10-01,15357.0
2022-11-01,6846.0
2022-12-01,3079.0
2023-01-01,4330.0
2023-02-01,3631.0
2023-03-01,5195.0
2023-04-01,9174.0
2023-05-01,12531.0
2023-06-01,26281.0
2023-07-01,41701.0
2023-08-01,41890.0
2023-09-01,35151.0
2023-10-01,25673.0
2023-11-01,11325.0
2023-12-01,5250.0
2024-01-01,6729.0
2024-02-01,6372.0
2024-03-01,10411.0
2024-04-01,12899.0
2024-05-01,15177.0
2024-06-01,27323.0
2024-07-01,44133.0
2024-08-01,44788.0
2024-09-01,36862.0
2024-10-01,29006.0
2024-11-01,12201.0
2024-12-01,6303.0
2025-01-01,7226.0
2025-02-01,6870.0
2025-03-01,12034.0
2025-04-01,13816.0
2025-05-01,17399.0
2025-06-01,28336.0
2025-07-01,44329.0
2025-08-01,46365.0
