Tarih,TP_ODEMGZS_AFRIKATOP
2014-11-01,71832.0
2014-12-01,64181.0
2015-01-01,63510.0
2015-02-01,54555.0
2015-03-01,66172.0
2015-04-01,75714.0
2015-05-01,83816.0
2015-06-01,79879.0
2015-07-01,64342.0
2015-08-01,122038.0
2015-09-01,94011.0
2015-10-01,67232.0
2015-11-01,51870.0
2015-12-01,48204.0
2016-01-01,50352.0
2016-02-01,42931.0
2016-03-01,51780.0
2016-04-01,57262.0
2016-05-01,65177.0
2016-06-01,47065.0
2016-07-01,49413.0
2016-08-01,74198.0
2016-09-01,56413.0
2016-10-01,61912.0
2016-11-01,53448.0
2016-12-01,47566.0
2017-01-01,50216.0
2017-02-01,39030.0
2017-03-01,53786.0
2017-04-01,65539.0
2017-05-01,67698.0
2017-06-01,36272.0
2017-07-01,75391.0
2017-08-01,106071.0
2017-09-01,72718.0
2017-10-01,76701.0
2017-11-01,66746.0
2017-12-01,65099.0
2018-01-01,66870.0
2018-02-01,60568.0
2018-03-01,80226.0
2018-04-01,95084.0
2018-05-01,80153.0
2018-06-01,60575.0
2018-07-01,106872.0
2018-08-01,131249.0
2018-09-01,117338.0
2018-10-01,110376.0
2018-11-01,98401.0
2018-12-01,91417.0
2019-01-01,100395.0
2019-02-01,82240.0
2019-03-01,105332.0
2019-04-01,122101.0
2019-05-01,76354.0
2019-06-01,96754.0
2019-07-01,137865.0
2019-08-01,162435.0
2019-09-01,148653.0
2019-10-01,129165.0
2019-11-01,107236.0
2019-12-01,98871.0
2020-01-01,106493.0
2020-02-01,88971.0
2020-03-01,61459.0
2020-04-01,2249.0
2020-05-01,6029.0
2020-06-01,7222.0
2020-07-01,13343.0
2020-08-01,24555.0
2020-09-01,33821.0
2020-10-01,42225.0
2020-11-01,43844.0
2020-12-01,42961.0
2021-01-01,35791.0
2021-02-01,30600.0
2021-03-01,43246.0
2021-04-01,44233.0
2021-05-01,26066.0
2021-06-01,54518.0
2021-07-01,78414.0
2021-08-01,91392.0
2021-09-01,91659.0
2021-10-01,102241.0
2021-11-01,106313.0
2021-12-01,90061.0
2022-01-01,83306.0
2022-02-01,86590.0
2022-03-01,118503.0
2022-04-01,69694.0
2022-05-01,103188.0
2022-06-01,130015.0
2022-07-01,141814.0
2022-08-01,177337.0
2022-09-01,167046.0
2022-10-01,148069.0
2022-11-01,123582.0
2022-12-01,115220.0
2023-01-01,116787.0
2023-02-01,102051.0
2023-03-01,101698.0
2023-04-01,67445.0
2023-05-01,109363.0
2023-06-01,122642.0
2023-07-01,134937.0
2023-08-01,171634.0
2023-09-01,150135.0
2023-10-01,126343.0
2023-11-01,108303.0
2023-12-01,108986.0
2024-01-01,120521.0
2024-02-01,110131.0
2024-03-01,90837.0
2024-04-01,87853.0
2024-05-01,124382.0
2024-06-01,121679.0
2024-07-01,138099.0
2024-08-01,167959.0
2024-09-01,150663.0
2024-10-01,125232.0
2024-11-01,111858.0
2024-12-01,111483.0
2025-01-01,117642.0
2025-02-01,110280.0
2025-03-01,64797.0
2025-04-01,96490.0
2025-05-01,115071.0
2025-06-01,110061.0
2025-07-01,133197.0
2025-08-01,158461.0
