Tarih,TP_ODEMGZS_MAKEDONYA
2015-01-01,9527.0
2015-02-01,8441.0
2015-03-01,12551.0
2015-04-01,14528.0
2015-05-01,16512.0
2015-06-01,14626.0
2015-07-01,15974.0
2015-08-01,21667.0
2015-09-01,17804.0
2015-10-01,16084.0
2015-11-01,10220.0
2015-12-01,10082.0
2016-01-01,9606.0
2016-02-01,8980.0
2016-03-01,10702.0
2016-04-01,11661.0
2016-05-01,13969.0
2016-06-01,11479.0
2016-07-01,14204.0
2016-08-01,17133.0
2016-09-01,15379.0
2016-10-01,14369.0
2016-11-01,9851.0
2016-12-01,8960.0
2017-01-01,8141.0
2017-02-01,8495.0
2017-03-01,11688.0
2017-04-01,12662.0
2017-05-01,14784.0
2017-06-01,11612.0
2017-07-01,19963.0
2017-08-01,23451.0
2017-09-01,20122.0
2017-10-01,17946.0
2017-11-01,10920.0
2017-12-01,11540.0
2018-01-01,13018.0
2018-02-01,9520.0
2018-03-01,14368.0
2018-04-01,17389.0
2018-05-01,15763.0
2018-06-01,16372.0
2018-07-01,22663.0
2018-08-01,25450.0
2018-09-01,27066.0
2018-10-01,22418.0
2018-11-01,12989.0
2018-12-01,11695.0
2019-01-01,2222.0
2019-02-01,2286.0
2019-03-01,3319.0
2019-04-01,23455.0
2019-05-01,43116.0
2019-06-01,32004.0
2019-07-01,21860.0
2019-08-01,19077.0
2019-09-01,28004.0
2019-10-01,41788.0
2019-11-01,10350.0
2019-12-01,2163.0
2020-01-01,2600.0
2020-02-01,2670.0
2020-03-01,1807.0
2020-04-01,65.0
2020-05-01,65.0
2020-06-01,172.0
2020-07-01,484.0
2020-08-01,1331.0
2020-09-01,1937.0
2020-10-01,1856.0
2020-11-01,882.0
2020-12-01,577.0
2021-01-01,536.0
2021-02-01,606.0
2021-03-01,799.0
2021-04-01,3113.0
2021-05-01,7722.0
2021-06-01,10747.0
2021-07-01,17601.0
2021-08-01,16067.0
2021-09-01,18390.0
2021-10-01,27731.0
2021-11-01,8837.0
2021-12-01,1700.0
2022-01-01,2009.0
2022-02-01,1658.0
2022-03-01,2527.0
2022-04-01,19904.0
2022-05-01,40437.0
2022-06-01,36029.0
2022-07-01,29390.0
2022-08-01,26230.0
2022-09-01,31214.0
2022-10-01,44801.0
2022-11-01,14788.0
2022-12-01,2694.0
2023-01-01,18893.0
2023-02-01,10643.0
2023-03-01,13616.0
2023-04-01,12340.0
2023-05-01,19582.0
2023-06-01,23899.0
2023-07-01,26776.0
2023-08-01,34883.0
2023-09-01,32433.0
2023-10-01,28427.0
2023-11-01,15368.0
2023-12-01,13947.0
2024-01-01,17924.0
2024-02-01,12166.0
2024-03-01,12142.0
2024-04-01,13016.0
2024-05-01,22012.0
2024-06-01,20812.0
2024-07-01,25412.0
2024-08-01,32018.0
2024-09-01,32555.0
2024-10-01,29113.0
2024-11-01,15599.0
2024-12-01,13861.0
2025-01-01,18655.0
2025-02-01,13374.0
2025-03-01,13333.0
2025-04-01,16643.0
2025-05-01,18338.0
2025-06-01,23866.0
2025-07-01,23817.0
2025-08-01,30569.0
