Tarih,TP_ODEMGZS_TACIKISTAN
2015-02-01,2507.0
2015-03-01,2254.0
2015-04-01,2041.0
2015-05-01,2927.0
2015-06-01,2827.0
2015-07-01,2651.0
2015-08-01,3988.0
2015-09-01,2732.0
2015-10-01,2365.0
2015-11-01,1989.0
2015-12-01,1463.0
2016-01-01,1175.0
2016-02-01,1312.0
2016-03-01,1834.0
2016-04-01,1824.0
2016-05-01,1920.0
2016-06-01,2055.0
2016-07-01,2096.0
2016-08-01,2257.0
2016-09-01,2059.0
2016-10-01,2474.0
2016-11-01,1944.0
2016-12-01,1754.0
2017-01-01,1689.0
2017-02-01,2145.0
2017-03-01,2007.0
2017-04-01,1946.0
2017-05-01,2484.0
2017-06-01,2174.0
2017-07-01,2753.0
2017-08-01,2953.0
2017-09-01,2660.0
2017-10-01,2762.0
2017-11-01,2312.0
2017-12-01,2622.0
2018-01-01,2533.0
2018-02-01,2855.0
2018-03-01,2580.0
2018-04-01,2497.0
2018-05-01,2703.0
2018-06-01,3089.0
2018-07-01,4327.0
2018-08-01,4401.0
2018-09-01,4218.0
2018-10-01,3588.0
2018-11-01,3398.0
2018-12-01,3423.0
2019-01-01,2786.0
2019-02-01,3650.0
2019-03-01,3534.0
2019-04-01,2852.0
2019-05-01,2914.0
2019-06-01,3791.0
2019-07-01,4385.0
2019-08-01,4313.0
2019-09-01,4420.0
2019-10-01,3783.0
2019-11-01,3414.0
2019-12-01,3651.0
2020-01-01,3239.0
2020-02-01,3741.0
2020-03-01,2261.0
2020-04-01,47.0
2020-05-01,243.0
2020-06-01,63.0
2020-07-01,553.0
2020-08-01,469.0
2020-09-01,445.0
2020-10-01,1470.0
2020-11-01,1862.0
2020-12-01,1772.0
2021-01-01,1779.0
2021-02-01,2445.0
2021-03-01,2609.0
2021-04-01,2202.0
2021-05-01,1631.0
2021-06-01,2912.0
2021-07-01,3402.0
2021-08-01,3804.0
2021-09-01,4337.0
2021-10-01,4142.0
2021-11-01,3956.0
2021-12-01,4854.0
2022-01-01,5917.0
2022-02-01,10455.0
2022-03-01,5372.0
2022-04-01,3038.0
2022-05-01,4584.0
2022-06-01,5242.0
2022-07-01,5875.0
2022-08-01,6236.0
2022-09-01,6876.0
2022-10-01,5922.0
2022-11-01,7254.0
2022-12-01,6726.0
2023-01-01,6423.0
2023-02-01,6063.0
2023-03-01,6680.0
2023-04-01,4768.0
2023-05-01,6376.0
2023-06-01,6801.0
2023-07-01,6366.0
2023-08-01,7347.0
2023-09-01,7311.0
2023-10-01,7070.0
2023-11-01,6495.0
2023-12-01,7178.0
2024-01-01,6162.0
2024-02-01,6045.0
2024-03-01,5147.0
2024-04-01,3118.0
2024-05-01,1716.0
2024-06-01,2424.0
2024-07-01,2288.0
2024-08-01,2309.0
2024-09-01,2073.0
2024-10-01,2018.0
2024-11-01,1737.0
2024-12-01,1771.0
2025-01-01,1746.0
2025-02-01,1998.0
2025-03-01,1502.0
2025-04-01,1504.0
2025-05-01,1757.0
2025-06-01,2183.0
2025-07-01,2490.0
2025-08-01,2918.0
