Tarih,TP_ODEMGZS_DAMERIKA
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,14217.0
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,33898.0
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,11570.0
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,10074.0
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,10963.0
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,24400.0
2006-01-01,
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,34507.0
2007-01-01,
2007-02-01,
2007-03-01,
2007-04-01,
2007-05-01,
2007-06-01,
2007-07-01,
2007-08-01,
2007-09-01,
2007-10-01,
2007-11-01,
2007-12-01,30481.0
2008-01-01,1590.0
2008-02-01,1895.0
2008-03-01,1857.0
2008-04-01,2235.0
2008-05-01,3368.0
2008-06-01,4963.0
2008-07-01,5699.0
2008-08-01,18798.0
2008-09-01,4059.0
2008-10-01,3552.0
2008-11-01,2499.0
2008-12-01,1482.0
2009-01-01,3730.0
2009-02-01,1353.0
2009-03-01,1662.0
2009-04-01,2645.0
2009-05-01,2844.0
2009-06-01,7487.0
2009-07-01,8871.0
2009-08-01,11770.0
2009-09-01,7669.0
2009-10-01,5708.0
2009-11-01,2587.0
2009-12-01,1652.0
2010-01-01,1137.0
2010-02-01,978.0
2010-03-01,1124.0
2010-04-01,1659.0
2010-05-01,2456.0
2010-06-01,2632.0
2010-07-01,4247.0
2010-08-01,3399.0
2010-09-01,2619.0
2010-10-01,2862.0
2010-11-01,1348.0
2010-12-01,913.0
2011-01-01,1555.0
2011-02-01,1050.0
2011-03-01,1356.0
2011-04-01,2120.0
2011-05-01,3556.0
2011-06-01,3183.0
2011-07-01,4147.0
2011-08-01,32087.0
2011-09-01,4093.0
2011-10-01,3967.0
2011-11-01,2008.0
2011-12-01,957.0
2012-01-01,1061.0
2012-02-01,825.0
2012-03-01,1596.0
2012-04-01,2158.0
2012-05-01,3012.0
2012-06-01,3842.0
2012-07-01,4147.0
2012-08-01,3203.0
2012-09-01,4165.0
2012-10-01,3671.0
2012-11-01,2341.0
2012-12-01,1352.0
2013-01-01,1292.0
2013-02-01,962.0
2013-03-01,1652.0
2013-04-01,2576.0
2013-05-01,3956.0
2013-06-01,4150.0
2013-07-01,4511.0
2013-08-01,4050.0
2013-09-01,4497.0
2013-10-01,4704.0
2013-11-01,2320.0
2013-12-01,1494.0
2014-01-01,1373.0
2014-02-01,1320.0
2014-03-01,1836.0
2014-04-01,2671.0
2014-05-01,4160.0
2014-06-01,4350.0
2014-07-01,5942.0
2014-08-01,4946.0
2014-09-01,5709.0
2014-10-01,7301.0
