Tarih,TP_ODEMGZS_CIN
2015-02-01,18615.0
2015-03-01,15588.0
2015-04-01,23562.0
2015-05-01,31302.0
2015-06-01,37774.0
2015-07-01,38546.0
2015-08-01,38749.0
2015-09-01,25952.0
2015-10-01,38171.0
2015-11-01,17564.0
2015-12-01,13726.0
2016-01-01,11512.0
2016-02-01,12166.0
2016-03-01,12944.0
2016-04-01,11544.0
2016-05-01,14062.0
2016-06-01,19471.0
2016-07-01,12531.0
2016-08-01,10121.0
2016-09-01,10572.0
2016-10-01,15562.0
2016-11-01,14829.0
2016-12-01,15817.0
2017-01-01,15200.0
2017-02-01,13399.0
2017-03-01,14513.0
2017-04-01,17378.0
2017-05-01,17898.0
2017-06-01,18583.0
2017-07-01,18852.0
2017-08-01,22208.0
2017-09-01,22180.0
2017-10-01,29254.0
2017-11-01,28306.0
2017-12-01,27276.0
2018-01-01,25722.0
2018-02-01,32714.0
2018-03-01,29029.0
2018-04-01,34355.0
2018-05-01,35844.0
2018-06-01,34327.0
2018-07-01,31944.0
2018-08-01,40058.0
2018-09-01,34458.0
2018-10-01,44831.0
2018-11-01,32532.0
2018-12-01,24852.0
2019-01-01,23968.0
2019-02-01,33839.0
2019-03-01,28897.0
2019-04-01,37162.0
2019-05-01,43057.0
2019-06-01,43997.0
2019-07-01,41967.0
2019-08-01,46983.0
2019-09-01,38458.0
2019-10-01,49297.0
2019-11-01,28782.0
2019-12-01,23431.0
2020-01-01,24306.0
2020-02-01,8962.0
2020-03-01,2118.0
2020-04-01,57.0
2020-05-01,46.0
2020-06-01,64.0
2020-07-01,577.0
2020-08-01,1242.0
2020-09-01,1621.0
2020-10-01,1619.0
2020-11-01,1110.0
2020-12-01,2449.0
2021-01-01,2162.0
2021-02-01,1457.0
2021-03-01,2470.0
2021-04-01,1559.0
2021-05-01,1903.0
2021-06-01,2301.0
2021-07-01,2675.0
2021-08-01,3459.0
2021-09-01,3312.0
2021-10-01,3416.0
2021-11-01,3528.0
2021-12-01,3758.0
2022-01-01,3338.0
2022-02-01,3488.0
2022-03-01,3115.0
2022-04-01,6785.0
2022-05-01,7614.0
2022-06-01,9313.0
2022-07-01,10820.0
2022-08-01,10081.0
2022-09-01,9042.0
2022-10-01,8939.0
2022-11-01,8328.0
2022-12-01,10216.0
2023-01-01,10608.0
2023-02-01,8481.0
2023-03-01,11293.0
2023-04-01,16885.0
2023-05-01,18458.0
2023-06-01,23672.0
2023-07-01,22443.0
2023-08-01,25485.0
2023-09-01,25152.0
2023-10-01,34996.0
2023-11-01,25569.0
2023-12-01,23676.0
2024-01-01,23683.0
2024-02-01,26957.0
2024-03-01,24848.0
2024-04-01,32283.0
2024-05-01,40394.0
2024-06-01,38480.0
2024-07-01,40212.0
2024-08-01,41405.0
2024-09-01,35979.0
2024-10-01,46639.0
2024-11-01,31721.0
2024-12-01,28549.0
2025-01-01,28141.0
2025-02-01,25664.0
2025-03-01,24643.0
2025-04-01,32114.0
2025-05-01,40074.0
2025-06-01,39773.0
2025-07-01,38603.0
2025-08-01,40526.0
