Tarih,TP_ODEMGZS_PAKISTAN
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,7602.0
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,7143.0
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,7988.0
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,9174.0
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,9399.0
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,11978.0
2006-01-01,
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,14550.0
2007-01-01,
2007-02-01,
2007-03-01,
2007-04-01,
2007-05-01,
2007-06-01,
2007-07-01,
2007-08-01,
2007-09-01,
2007-10-01,
2007-11-01,
2007-12-01,24876.0
2008-01-01,1858.0
2008-02-01,1685.0
2008-03-01,1800.0
2008-04-01,1746.0
2008-05-01,2659.0
2008-06-01,3196.0
2008-07-01,3279.0
2008-08-01,4026.0
2008-09-01,2369.0
2008-10-01,2592.0
2008-11-01,2843.0
2008-12-01,2806.0
2009-01-01,1389.0
2009-02-01,1179.0
2009-03-01,1873.0
2009-04-01,2065.0
2009-05-01,2363.0
2009-06-01,2121.0
2009-07-01,2847.0
2009-08-01,2702.0
2009-09-01,1529.0
2009-10-01,2940.0
2009-11-01,2191.0
2009-12-01,1859.0
2010-01-01,1184.0
2010-02-01,985.0
2010-03-01,1415.0
2010-04-01,1577.0
2010-05-01,1659.0
2010-06-01,2482.0
2010-07-01,3586.0
2010-08-01,2370.0
2010-09-01,1728.0
2010-10-01,2585.0
2010-11-01,1851.0
2010-12-01,1967.0
2011-01-01,1676.0
2011-02-01,1305.0
2011-03-01,2796.0
2011-04-01,2395.0
2011-05-01,2639.0
2011-06-01,2918.0
2011-07-01,3851.0
2011-08-01,1814.0
2011-09-01,2442.0
2011-10-01,2910.0
2011-11-01,2196.0
2011-12-01,1938.0
2012-01-01,1742.0
2012-02-01,1505.0
2012-03-01,1871.0
2012-04-01,2531.0
2012-05-01,2480.0
2012-06-01,3402.0
2012-07-01,3553.0
2012-08-01,2092.0
2012-09-01,2787.0
2012-10-01,2665.0
2012-11-01,2424.0
2012-12-01,2339.0
2013-01-01,1969.0
2013-02-01,1487.0
2013-03-01,2270.0
2013-04-01,2731.0
2013-05-01,3391.0
2013-06-01,4075.0
2013-07-01,2997.0
2013-08-01,3170.0
2013-09-01,3441.0
2013-10-01,3159.0
2013-11-01,2671.0
2013-12-01,2935.0
2014-01-01,2733.0
2014-02-01,2441.0
2014-03-01,2898.0
2014-04-01,3984.0
2014-05-01,4550.0
2014-06-01,7440.0
2014-07-01,2926.0
2014-08-01,6403.0
2014-09-01,4900.0
2014-10-01,4491.0
