Tarih,TP_ODEMGZS_IRAK
2014-11-01,56023.0
2014-12-01,50050.0
2015-01-01,54101.0
2015-02-01,46145.0
2015-03-01,65442.0
2015-04-01,60587.0
2015-05-01,70773.0
2015-06-01,79798.0
2015-07-01,107956.0
2015-08-01,132477.0
2015-09-01,114749.0
2015-10-01,88110.0
2015-11-01,61084.0
2015-12-01,52532.0
2016-01-01,46164.0
2016-02-01,40301.0
2016-03-01,19519.0
2016-04-01,16826.0
2016-05-01,19684.0
2016-06-01,23347.0
2016-07-01,32997.0
2016-08-01,48451.0
2016-09-01,57152.0
2016-10-01,47879.0
2016-11-01,37785.0
2016-12-01,35098.0
2017-01-01,39751.0
2017-02-01,43707.0
2017-03-01,51513.0
2017-04-01,48671.0
2017-05-01,60619.0
2017-06-01,48131.0
2017-07-01,116514.0
2017-08-01,148588.0
2017-09-01,126193.0
2017-10-01,67835.0
2017-11-01,60929.0
2017-12-01,58820.0
2018-01-01,63330.0
2018-02-01,64853.0
2018-03-01,67075.0
2018-04-01,61022.0
2018-05-01,58708.0
2018-06-01,76475.0
2018-07-01,118712.0
2018-08-01,167643.0
2018-09-01,155252.0
2018-10-01,118648.0
2018-11-01,88611.0
2018-12-01,76479.0
2019-01-01,83480.0
2019-02-01,88862.0
2019-03-01,89907.0
2019-04-01,84175.0
2019-05-01,69681.0
2019-06-01,108466.0
2019-07-01,163768.0
2019-08-01,228721.0
2019-09-01,178781.0
2019-10-01,110716.0
2019-11-01,83262.0
2019-12-01,80430.0
2020-01-01,99711.0
2020-02-01,87272.0
2020-03-01,16972.0
2020-04-01,2721.0
2020-05-01,1664.0
2020-06-01,3100.0
2020-07-01,8273.0
2020-08-01,13172.0
2020-09-01,30643.0
2020-10-01,52136.0
2020-11-01,51256.0
2020-12-01,45871.0
2021-01-01,33030.0
2021-02-01,33404.0
2021-03-01,42043.0
2021-04-01,44523.0
2021-05-01,29480.0
2021-06-01,54604.0
2021-07-01,89165.0
2021-08-01,102873.0
2021-09-01,130922.0
2021-10-01,114238.0
2021-11-01,77479.0
2021-12-01,68069.0
2022-01-01,71132.0
2022-02-01,65795.0
2022-03-01,87572.0
2022-04-01,52376.0
2022-05-01,84200.0
2022-06-01,104808.0
2022-07-01,170278.0
2022-08-01,160899.0
2022-09-01,167946.0
2022-10-01,113030.0
2022-11-01,83250.0
2022-12-01,73541.0
2023-01-01,81553.0
2023-02-01,71486.0
2023-03-01,79818.0
2023-04-01,61377.0
2023-05-01,75399.0
2023-06-01,95320.0
2023-07-01,135185.0
2023-08-01,145023.0
2023-09-01,129512.0
2023-10-01,83527.0
2023-11-01,66482.0
2023-12-01,62065.0
2024-01-01,67538.0
2024-02-01,63974.0
2024-03-01,57121.0
2024-04-01,53924.0
2024-05-01,64913.0
2024-06-01,99253.0
2024-07-01,101854.0
2024-08-01,129987.0
2024-09-01,131837.0
2024-10-01,86737.0
2024-11-01,73446.0
2024-12-01,64115.0
2025-01-01,75820.0
2025-02-01,70889.0
2025-03-01,51131.0
2025-04-01,68957.0
2025-05-01,73542.0
2025-06-01,102278.0
2025-07-01,104681.0
2025-08-01,145639.0
