Tarih,TP_ODEMGZS_ISVEC
2014-11-01,36260.0
2014-12-01,14886.0
2015-01-01,13553.0
2015-02-01,16894.0
2015-03-01,23201.0
2015-04-01,42134.0
2015-05-01,76249.0
2015-06-01,80950.0
2015-07-01,92676.0
2015-08-01,95599.0
2015-09-01,79323.0
2015-10-01,70263.0
2015-11-01,24630.0
2015-12-01,11492.0
2016-01-01,11702.0
2016-02-01,10050.0
2016-03-01,13967.0
2016-04-01,20740.0
2016-05-01,37883.0
2016-06-01,41194.0
2016-07-01,48778.0
2016-08-01,55661.0
2016-09-01,32196.0
2016-10-01,28144.0
2016-11-01,14192.0
2016-12-01,7957.0
2017-01-01,9928.0
2017-02-01,7343.0
2017-03-01,10002.0
2017-04-01,15731.0
2017-05-01,22814.0
2017-06-01,27577.0
2017-07-01,51608.0
2017-08-01,52722.0
2017-09-01,35291.0
2017-10-01,28953.0
2017-11-01,17481.0
2017-12-01,10154.0
2018-01-01,11372.0
2018-02-01,9089.0
2018-03-01,13437.0
2018-04-01,23325.0
2018-05-01,32714.0
2018-06-01,44385.0
2018-07-01,64251.0
2018-08-01,66049.0
2018-09-01,47119.0
2018-10-01,35310.0
2018-11-01,22709.0
2018-12-01,13218.0
2019-01-01,13427.0
2019-02-01,11077.0
2019-03-01,15013.0
2019-04-01,23772.0
2019-05-01,37690.0
2019-06-01,58776.0
2019-07-01,74372.0
2019-08-01,79618.0
2019-09-01,53818.0
2019-10-01,42522.0
2019-11-01,22454.0
2019-12-01,11772.0
2020-01-01,14758.0
2020-02-01,12045.0
2020-03-01,6411.0
2020-04-01,270.0
2020-05-01,66.0
2020-06-01,728.0
2020-07-01,5930.0
2020-08-01,17189.0
2020-09-01,11126.0
2020-10-01,11916.0
2020-11-01,9402.0
2020-12-01,6015.0
2021-01-01,5802.0
2021-02-01,3479.0
2021-03-01,5014.0
2021-04-01,6316.0
2021-05-01,5314.0
2021-06-01,10759.0
2021-07-01,30880.0
2021-08-01,45391.0
2021-09-01,20801.0
2021-10-01,21274.0
2021-11-01,20010.0
2021-12-01,13121.0
2022-01-01,17505.0
2022-02-01,11093.0
2022-03-01,15595.0
2022-04-01,20433.0
2022-05-01,33103.0
2022-06-01,46581.0
2022-07-01,77005.0
2022-08-01,81587.0
2022-09-01,44408.0
2022-10-01,35621.0
2022-11-01,21568.0
2022-12-01,13715.0
2023-01-01,16496.0
2023-02-01,10921.0
2023-03-01,12248.0
2023-04-01,17467.0
2023-05-01,27903.0
2023-06-01,39824.0
2023-07-01,67384.0
2023-08-01,68944.0
2023-09-01,38073.0
2023-10-01,30940.0
2023-11-01,21316.0
2023-12-01,14960.0
2024-01-01,17123.0
2024-02-01,13014.0
2024-03-01,15735.0
2024-04-01,22534.0
2024-05-01,30913.0
2024-06-01,45482.0
2024-07-01,69519.0
2024-08-01,72422.0
2024-09-01,37658.0
2024-10-01,35532.0
2024-11-01,23379.0
2024-12-01,14838.0
2025-01-01,17391.0
2025-02-01,14173.0
2025-03-01,12758.0
2025-04-01,21516.0
2025-05-01,30562.0
2025-06-01,46319.0
2025-07-01,73426.0
2025-08-01,69237.0
