Tarih,TP_ODEMGZS_MEKSIKA
2014-12-01,1903.0
2015-01-01,1347.0
2015-02-01,938.0
2015-03-01,1827.0
2015-04-01,3194.0
2015-05-01,3734.0
2015-06-01,5746.0
2015-07-01,10647.0
2015-08-01,4473.0
2015-09-01,5601.0
2015-10-01,4839.0
2015-11-01,2471.0
2015-12-01,1062.0
2016-01-01,1032.0
2016-02-01,576.0
2016-03-01,1358.0
2016-04-01,1459.0
2016-05-01,2632.0
2016-06-01,3172.0
2016-07-01,2802.0
2016-08-01,1431.0
2016-09-01,2507.0
2016-10-01,2070.0
2016-11-01,1210.0
2016-12-01,816.0
2017-01-01,749.0
2017-02-01,572.0
2017-03-01,1092.0
2017-04-01,1566.0
2017-05-01,1416.0
2017-06-01,1584.0
2017-07-01,1858.0
2017-08-01,1734.0
2017-09-01,2456.0
2017-10-01,2582.0
2017-11-01,2507.0
2017-12-01,1472.0
2018-01-01,1270.0
2018-02-01,1200.0
2018-03-01,2243.0
2018-04-01,2540.0
2018-05-01,3121.0
2018-06-01,4093.0
2018-07-01,3573.0
2018-08-01,2578.0
2018-09-01,4494.0
2018-10-01,4599.0
2018-11-01,4223.0
2018-12-01,2412.0
2019-01-01,2022.0
2019-02-01,1603.0
2019-03-01,3309.0
2019-04-01,5275.0
2019-05-01,5788.0
2019-06-01,5786.0
2019-07-01,5873.0
2019-08-01,4310.0
2019-09-01,10127.0
2019-10-01,9661.0
2019-11-01,7666.0
2019-12-01,4980.0
2020-01-01,4240.0
2020-02-01,3398.0
2020-03-01,3373.0
2020-04-01,11.0
2020-05-01,2.0
2020-06-01,32.0
2020-07-01,128.0
2020-08-01,229.0
2020-09-01,315.0
2020-10-01,382.0
2020-11-01,419.0
2020-12-01,803.0
2021-01-01,976.0
2021-02-01,598.0
2021-03-01,1049.0
2021-04-01,1277.0
2021-05-01,1279.0
2021-06-01,1894.0
2021-07-01,3333.0
2021-08-01,3668.0
2021-09-01,4178.0
2021-10-01,5829.0
2021-11-01,5333.0
2021-12-01,4225.0
2022-01-01,4084.0
2022-02-01,3388.0
2022-03-01,5374.0
2022-04-01,7711.0
2022-05-01,8708.0
2022-06-01,10293.0
2022-07-01,12244.0
2022-08-01,10802.0
2022-09-01,15084.0
2022-10-01,15823.0
2022-11-01,12561.0
2022-12-01,8021.0
2023-01-01,5841.0
2023-02-01,4508.0
2023-03-01,8808.0
2023-04-01,11982.0
2023-05-01,15069.0
2023-06-01,15733.0
2023-07-01,16651.0
2023-08-01,13288.0
2023-09-01,20091.0
2023-10-01,23486.0
2023-11-01,12508.0
2023-12-01,7280.0
2024-01-01,5433.0
2024-02-01,4134.0
2024-03-01,9102.0
2024-04-01,9138.0
2024-05-01,14040.0
2024-06-01,13395.0
2024-07-01,18890.0
2024-08-01,14934.0
2024-09-01,18161.0
2024-10-01,18810.0
2024-11-01,9723.0
2024-12-01,7129.0
2025-01-01,6303.0
2025-02-01,4199.0
2025-03-01,6508.0
2025-04-01,11539.0
2025-05-01,14617.0
2025-06-01,15794.0
2025-07-01,13838.0
2025-08-01,15056.0
