Tarih,TP_ODEMGZS_URDUN
2014-11-01,7985.0
2014-12-01,5963.0
2015-01-01,5451.0
2015-02-01,5386.0
2015-03-01,6922.0
2015-04-01,9269.0
2015-05-01,12829.0
2015-06-01,14755.0
2015-07-01,19735.0
2015-08-01,31350.0
2015-09-01,23953.0
2015-10-01,15059.0
2015-11-01,8470.0
2015-12-01,7283.0
2016-01-01,8154.0
2016-02-01,7027.0
2016-03-01,8983.0
2016-04-01,11274.0
2016-05-01,18269.0
2016-06-01,9805.0
2016-07-01,27881.0
2016-08-01,34070.0
2016-09-01,37785.0
2016-10-01,18683.0
2016-11-01,11703.0
2016-12-01,9142.0
2017-01-01,8887.0
2017-02-01,7963.0
2017-03-01,10437.0
2017-04-01,16556.0
2017-05-01,21719.0
2017-06-01,13681.0
2017-07-01,47879.0
2017-08-01,49574.0
2017-09-01,45104.0
2017-10-01,25440.0
2017-11-01,14088.0
2017-12-01,13303.0
2018-01-01,17141.0
2018-02-01,14138.0
2018-03-01,17473.0
2018-04-01,28216.0
2018-05-01,22244.0
2018-06-01,31987.0
2018-07-01,59568.0
2018-08-01,81222.0
2018-09-01,49933.0
2018-10-01,35265.0
2018-11-01,24023.0
2018-12-01,18768.0
2019-01-01,23167.0
2019-02-01,18317.0
2019-03-01,20245.0
2019-04-01,34952.0
2019-05-01,17203.0
2019-06-01,53104.0
2019-07-01,74776.0
2019-08-01,92655.0
2019-09-01,50989.0
2019-10-01,36879.0
2019-11-01,24777.0
2019-12-01,20282.0
2020-01-01,27238.0
2020-02-01,18176.0
2020-03-01,9542.0
2020-04-01,87.0
2020-05-01,1000.0
2020-06-01,924.0
2020-07-01,1215.0
2020-08-01,2943.0
2020-09-01,6367.0
2020-10-01,9479.0
2020-11-01,11803.0
2020-12-01,8025.0
2021-01-01,6824.0
2021-02-01,6107.0
2021-03-01,8395.0
2021-04-01,9747.0
2021-05-01,7551.0
2021-06-01,26890.0
2021-07-01,63513.0
2021-08-01,60534.0
2021-09-01,41146.0
2021-10-01,39636.0
2021-11-01,26313.0
2021-12-01,20673.0
2022-01-01,20253.0
2022-02-01,17276.0
2022-03-01,25076.0
2022-04-01,11849.0
2022-05-01,47636.0
2022-06-01,48913.0
2022-07-01,91198.0
2022-08-01,91170.0
2022-09-01,54367.0
2022-10-01,43360.0
2022-11-01,25294.0
2022-12-01,20039.0
2023-01-01,25755.0
2023-02-01,17281.0
2023-03-01,16748.0
2023-04-01,17460.0
2023-05-01,25797.0
2023-06-01,43026.0
2023-07-01,78731.0
2023-08-01,73203.0
2023-09-01,41607.0
2023-10-01,26893.0
2023-11-01,12693.0
2023-12-01,13882.0
2024-01-01,16916.0
2024-02-01,15667.0
2024-03-01,11313.0
2024-04-01,19505.0
2024-05-01,21318.0
2024-06-01,42015.0
2024-07-01,51500.0
2024-08-01,46772.0
2024-09-01,28312.0
2024-10-01,21301.0
2024-11-01,15675.0
2024-12-01,14360.0
2025-01-01,17711.0
2025-02-01,14915.0
2025-03-01,6360.0
2025-04-01,21646.0
2025-05-01,20134.0
2025-06-01,29496.0
2025-07-01,39270.0
2025-08-01,46781.0
