Tarih,TP_ODEMGZS_IRAN
2014-11-01,89562.0
2014-12-01,90406.0
2015-01-01,84219.0
2015-02-01,105743.0
2015-03-01,193016.0
2015-04-01,138840.0
2015-05-01,123513.0
2015-06-01,146445.0
2015-07-01,204453.0
2015-08-01,178518.0
2015-09-01,172502.0
2015-10-01,118514.0
2015-11-01,96680.0
2015-12-01,100106.0
2016-01-01,96264.0
2016-02-01,121866.0
2016-03-01,221614.0
2016-04-01,120527.0
2016-05-01,122153.0
2016-06-01,157069.0
2016-07-01,152820.0
2016-08-01,107843.0
2016-09-01,189988.0
2016-10-01,142227.0
2016-11-01,111557.0
2016-12-01,113077.0
2017-01-01,104514.0
2017-02-01,128063.0
2017-03-01,225440.0
2017-04-01,155245.0
2017-05-01,149678.0
2017-06-01,220321.0
2017-07-01,251950.0
2017-08-01,292033.0
2017-09-01,336000.0
2017-10-01,240094.0
2017-11-01,199128.0
2017-12-01,184304.0
2018-01-01,159163.0
2018-02-01,191289.0
2018-03-01,318230.0
2018-04-01,189992.0
2018-05-01,112253.0
2018-06-01,161292.0
2018-07-01,164277.0
2018-08-01,188041.0
2018-09-01,179391.0
2018-10-01,107966.0
2018-11-01,108716.0
2018-12-01,101748.0
2019-01-01,104735.0
2019-02-01,107717.0
2019-03-01,183597.0
2019-04-01,158585.0
2019-05-01,129237.0
2019-06-01,178898.0
2019-07-01,208390.0
2019-08-01,267394.0
2019-09-01,268998.0
2019-10-01,188281.0
2019-11-01,150502.0
2019-12-01,128789.0
2020-01-01,130896.0
2020-02-01,107191.0
2020-03-01,9452.0
2020-04-01,7234.0
2020-05-01,5065.0
2020-06-01,7472.0
2020-07-01,15117.0
2020-08-01,14496.0
2020-09-01,18388.0
2020-10-01,27664.0
2020-11-01,28105.0
2020-12-01,33933.0
2021-01-01,37311.0
2021-02-01,40648.0
2021-03-01,56415.0
2021-04-01,56954.0
2021-05-01,39767.0
2021-06-01,66936.0
2021-07-01,101190.0
2021-08-01,108684.0
2021-09-01,138135.0
2021-10-01,160320.0
2021-11-01,136641.0
2021-12-01,147451.0
2022-01-01,126461.0
2022-02-01,114827.0
2022-03-01,220074.0
2022-04-01,197031.0
2022-05-01,179050.0
2022-06-01,210410.0
2022-07-01,230209.0
2022-08-01,239707.0
2022-09-01,312195.0
2022-10-01,201676.0
2022-11-01,156851.0
2022-12-01,144322.0
2023-01-01,132014.0
2023-02-01,114021.0
2023-03-01,197897.0
2023-04-01,190660.0
2023-05-01,157980.0
2023-06-01,213966.0
2023-07-01,237112.0
2023-08-01,272464.0
2023-09-01,337812.0
2023-10-01,233054.0
2023-11-01,206782.0
2023-12-01,212396.0
2024-01-01,230811.0
2024-02-01,218450.0
2024-03-01,262746.0
2024-04-01,235464.0
2024-05-01,206289.0
2024-06-01,279348.0
2024-07-01,304914.0
2024-08-01,324991.0
2024-09-01,399170.0
2024-10-01,292632.0
2024-11-01,259770.0
2024-12-01,259687.0
2025-01-01,252143.0
2025-02-01,218652.0
2025-03-01,238247.0
2025-04-01,229929.0
2025-05-01,222704.0
2025-06-01,179485.0
2025-07-01,242148.0
2025-08-01,327135.0
