Tarih,TP_ODEMGZS_HOLLANDA
2014-10-01,176000.0
2014-11-01,44633.0
2014-12-01,30324.0
2015-01-01,30663.0
2015-02-01,28709.0
2015-03-01,34866.0
2015-04-01,51420.0
2015-05-01,199283.0
2015-06-01,112445.0
2015-07-01,142221.0
2015-08-01,295592.0
2015-09-01,122970.0
2015-10-01,144684.0
2015-11-01,44251.0
2015-12-01,31433.0
2016-01-01,31138.0
2016-02-01,28589.0
2016-03-01,32256.0
2016-04-01,46033.0
2016-05-01,135719.0
2016-06-01,73088.0
2016-07-01,85080.0
2016-08-01,234001.0
2016-09-01,95779.0
2016-10-01,101605.0
2016-11-01,29162.0
2016-12-01,23193.0
2017-01-01,27059.0
2017-02-01,19522.0
2017-03-01,26659.0
2017-04-01,41851.0
2017-05-01,80894.0
2017-06-01,52293.0
2017-07-01,76133.0
2017-08-01,214885.0
2017-09-01,103480.0
2017-10-01,107760.0
2017-11-01,30195.0
2017-12-01,26479.0
2018-01-01,29740.0
2018-02-01,22900.0
2018-03-01,30784.0
2018-04-01,50221.0
2018-05-01,138584.0
2018-06-01,77747.0
2018-07-01,94425.0
2018-08-01,252882.0
2018-09-01,123659.0
2018-10-01,131238.0
2018-11-01,37731.0
2018-12-01,30558.0
2019-01-01,32356.0
2019-02-01,27827.0
2019-03-01,36737.0
2019-04-01,69311.0
2019-05-01,139185.0
2019-06-01,96915.0
2019-07-01,107608.0
2019-08-01,272857.0
2019-09-01,129384.0
2019-10-01,142721.0
2019-11-01,39871.0
2019-12-01,31420.0
2020-01-01,33980.0
2020-02-01,33439.0
2020-03-01,21832.0
2020-04-01,447.0
2020-05-01,244.0
2020-06-01,4301.0
2020-07-01,16482.0
2020-08-01,75010.0
2020-09-01,29506.0
2020-10-01,26984.0
2020-11-01,18967.0
2020-12-01,17001.0
2021-01-01,12643.0
2021-02-01,10426.0
2021-03-01,13876.0
2021-04-01,15748.0
2021-05-01,17445.0
2021-06-01,23106.0
2021-07-01,42186.0
2021-08-01,219504.0
2021-09-01,91142.0
2021-10-01,105698.0
2021-11-01,44838.0
2021-12-01,36079.0
2022-01-01,54290.0
2022-02-01,32346.0
2022-03-01,49496.0
2022-04-01,50781.0
2022-05-01,167769.0
2022-06-01,96805.0
2022-07-01,110168.0
2022-08-01,325936.0
2022-09-01,143845.0
2022-10-01,150041.0
2022-11-01,46385.0
2022-12-01,34446.0
2023-01-01,43193.0
2023-02-01,31447.0
2023-03-01,38787.0
2023-04-01,62144.0
2023-05-01,159121.0
2023-06-01,89034.0
2023-07-01,104276.0
2023-08-01,315601.0
2023-09-01,138462.0
2023-10-01,162723.0
2023-11-01,48754.0
2023-12-01,42538.0
2024-01-01,47867.0
2024-02-01,46768.0
2024-03-01,37581.0
2024-04-01,68152.0
2024-05-01,191697.0
2024-06-01,100088.0
2024-07-01,116214.0
2024-08-01,305182.0
2024-09-01,136944.0
2024-10-01,142529.0
2024-11-01,76523.0
2024-12-01,42478.0
2025-01-01,46424.0
2025-02-01,43172.0
2025-03-01,37400.0
2025-04-01,87320.0
2025-05-01,169488.0
2025-06-01,99371.0
2025-07-01,121406.0
2025-08-01,288702.0
