Tarih,TP_ODEMGZS_MALEZYA
2015-01-01,4538.0
2015-02-01,5684.0
2015-03-01,6195.0
2015-04-01,6615.0
2015-05-01,7284.0
2015-06-01,7479.0
2015-07-01,3195.0
2015-08-01,3677.0
2015-09-01,4677.0
2015-10-01,5235.0
2015-11-01,5698.0
2015-12-01,9679.0
2016-01-01,4018.0
2016-02-01,5000.0
2016-03-01,5489.0
2016-04-01,5233.0
2016-05-01,4635.0
2016-06-01,3964.0
2016-07-01,2375.0
2016-08-01,1668.0
2016-09-01,2697.0
2016-10-01,2724.0
2016-11-01,3052.0
2016-12-01,8801.0
2017-01-01,3217.0
2017-02-01,3706.0
2017-03-01,4478.0
2017-04-01,5687.0
2017-05-01,4921.0
2017-06-01,2360.0
2017-07-01,2740.0
2017-08-01,2208.0
2017-09-01,4413.0
2017-10-01,5807.0
2017-11-01,6247.0
2017-12-01,15053.0
2018-01-01,4717.0
2018-02-01,6227.0
2018-03-01,8164.0
2018-04-01,11077.0
2018-05-01,6108.0
2018-06-01,4786.0
2018-07-01,2823.0
2018-08-01,3424.0
2018-09-01,7126.0
2018-10-01,8435.0
2018-11-01,11366.0
2018-12-01,19972.0
2019-01-01,6017.0
2019-02-01,10464.0
2019-03-01,10009.0
2019-04-01,16328.0
2019-05-01,8200.0
2019-06-01,6535.0
2019-07-01,3006.0
2019-08-01,3810.0
2019-09-01,7248.0
2019-10-01,9879.0
2019-11-01,11941.0
2019-12-01,20727.0
2020-01-01,6217.0
2020-02-01,6368.0
2020-03-01,4428.0
2020-04-01,356.0
2020-05-01,12.0
2020-06-01,106.0
2020-07-01,313.0
2020-08-01,413.0
2020-09-01,566.0
2020-10-01,437.0
2020-11-01,447.0
2020-12-01,336.0
2021-01-01,204.0
2021-02-01,158.0
2021-03-01,265.0
2021-04-01,293.0
2021-05-01,195.0
2021-06-01,231.0
2021-07-01,457.0
2021-08-01,385.0
2021-09-01,445.0
2021-10-01,716.0
2021-11-01,1261.0
2021-12-01,3617.0
2022-01-01,2895.0
2022-02-01,3334.0
2022-03-01,7675.0
2022-04-01,2524.0
2022-05-01,7149.0
2022-06-01,7032.0
2022-07-01,4048.0
2022-08-01,4044.0
2022-09-01,10304.0
2022-10-01,13547.0
2022-11-01,11781.0
2022-12-01,14040.0
2023-01-01,8513.0
2023-02-01,9098.0
2023-03-01,12695.0
2023-04-01,5926.0
2023-05-01,11140.0
2023-06-01,5865.0
2023-07-01,3125.0
2023-08-01,3404.0
2023-09-01,7373.0
2023-10-01,9821.0
2023-11-01,8845.0
2023-12-01,10804.0
2024-01-01,5951.0
2024-02-01,12328.0
2024-03-01,7350.0
2024-04-01,8054.0
2024-05-01,8894.0
2024-06-01,5870.0
2024-07-01,3571.0
2024-08-01,3431.0
2024-09-01,9518.0
2024-10-01,8803.0
2024-11-01,9239.0
2024-12-01,10034.0
2025-01-01,10213.0
2025-02-01,13150.0
2025-03-01,3769.0
2025-04-01,10511.0
2025-05-01,8704.0
2025-06-01,7814.0
2025-07-01,3922.0
2025-08-01,3768.0
