Tarih,TP_ODEMGZS_PORTEKIZ
2015-01-01,2288.0
2015-02-01,2242.0
2015-03-01,2744.0
2015-04-01,4021.0
2015-05-01,6027.0
2015-06-01,6744.0
2015-07-01,5504.0
2015-08-01,9979.0
2015-09-01,5758.0
2015-10-01,5765.0
2015-11-01,3536.0
2015-12-01,2116.0
2016-01-01,1805.0
2016-02-01,1719.0
2016-03-01,2236.0
2016-04-01,2043.0
2016-05-01,2707.0
2016-06-01,2935.0
2016-07-01,2423.0
2016-08-01,3447.0
2016-09-01,2365.0
2016-10-01,2342.0
2016-11-01,1709.0
2016-12-01,1465.0
2017-01-01,1299.0
2017-02-01,1086.0
2017-03-01,1392.0
2017-04-01,1810.0
2017-05-01,2076.0
2017-06-01,2230.0
2017-07-01,2931.0
2017-08-01,3777.0
2017-09-01,2813.0
2017-10-01,2849.0
2017-11-01,2409.0
2017-12-01,1965.0
2018-01-01,1645.0
2018-02-01,1723.0
2018-03-01,2289.0
2018-04-01,3155.0
2018-05-01,3306.0
2018-06-01,3227.0
2018-07-01,3513.0
2018-08-01,6048.0
2018-09-01,4571.0
2018-10-01,4626.0
2018-11-01,2983.0
2018-12-01,2738.0
2019-01-01,2187.0
2019-02-01,2341.0
2019-03-01,2943.0
2019-04-01,4459.0
2019-05-01,5060.0
2019-06-01,4948.0
2019-07-01,5889.0
2019-08-01,8514.0
2019-09-01,7099.0
2019-10-01,5342.0
2019-11-01,3374.0
2019-12-01,2642.0
2020-01-01,2736.0
2020-02-01,3087.0
2020-03-01,1431.0
2020-04-01,23.0
2020-05-01,6.0
2020-06-01,117.0
2020-07-01,443.0
2020-08-01,1180.0
2020-09-01,1377.0
2020-10-01,1551.0
2020-11-01,921.0
2020-12-01,924.0
2021-01-01,567.0
2021-02-01,485.0
2021-03-01,612.0
2021-04-01,933.0
2021-05-01,1386.0
2021-06-01,2018.0
2021-07-01,2236.0
2021-08-01,3909.0
2021-09-01,3499.0
2021-10-01,4753.0
2021-11-01,3711.0
2021-12-01,2467.0
2022-01-01,2247.0
2022-02-01,2286.0
2022-03-01,3306.0
2022-04-01,5676.0
2022-05-01,6832.0
2022-06-01,8277.0
2022-07-01,8114.0
2022-08-01,10412.0
2022-09-01,9459.0
2022-10-01,8986.0
2022-11-01,5761.0
2022-12-01,4171.0
2023-01-01,4147.0
2023-02-01,4048.0
2023-03-01,5055.0
2023-04-01,7755.0
2023-05-01,8450.0
2023-06-01,9494.0
2023-07-01,9218.0
2023-08-01,12531.0
2023-09-01,10480.0
2023-10-01,10833.0
2023-11-01,6980.0
2023-12-01,5152.0
2024-01-01,5038.0
2024-02-01,5236.0
2024-03-01,6712.0
2024-04-01,9368.0
2024-05-01,10209.0
2024-06-01,11291.0
2024-07-01,11419.0
2024-08-01,16147.0
2024-09-01,13246.0
2024-10-01,11312.0
2024-11-01,7484.0
2024-12-01,5522.0
2025-01-01,6177.0
2025-02-01,5305.0
2025-03-01,7681.0
2025-04-01,9722.0
2025-05-01,11706.0
2025-06-01,12864.0
2025-07-01,11456.0
2025-08-01,17922.0
