Tarih,TP_ODEMGZS_CEZAYIR
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,32865.0
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,38546.0
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,39561.0
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,42579.0
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,45391.0
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,45119.0
2006-01-01,
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,37741.0
2007-01-01,
2007-02-01,
2007-03-01,
2007-04-01,
2007-05-01,
2007-06-01,
2007-07-01,
2007-08-01,
2007-09-01,
2007-10-01,
2007-11-01,
2007-12-01,43252.0
2008-01-01,3719.0
2008-02-01,2825.0
2008-03-01,3936.0
2008-04-01,4898.0
2008-05-01,5284.0
2008-06-01,4792.0
2008-07-01,5652.0
2008-08-01,10636.0
2008-09-01,3606.0
2008-10-01,5210.0
2008-11-01,5784.0
2008-12-01,3229.0
2009-01-01,4775.0
2009-02-01,4288.0
2009-03-01,5107.0
2009-04-01,7482.0
2009-05-01,6858.0
2009-06-01,6051.0
2009-07-01,10122.0
2009-08-01,15485.0
2009-09-01,2231.0
2009-10-01,11378.0
2009-11-01,6458.0
2009-12-01,6170.0
2010-01-01,3327.0
2010-02-01,2587.0
2010-03-01,4112.0
2010-04-01,5697.0
2010-05-01,4873.0
2010-06-01,4424.0
2010-07-01,8859.0
2010-08-01,7583.0
2010-09-01,3170.0
2010-10-01,8018.0
2010-11-01,3460.0
2010-12-01,4656.0
2011-01-01,4049.0
2011-02-01,3215.0
2011-03-01,5376.0
2011-04-01,7250.0
2011-05-01,6203.0
2011-06-01,6928.0
2011-07-01,14363.0
2011-08-01,4590.0
2011-09-01,7902.0
2011-10-01,9237.0
2011-11-01,4874.0
2011-12-01,6406.0
2012-01-01,6561.0
2012-02-01,3777.0
2012-03-01,7658.0
2012-04-01,8944.0
2012-05-01,8148.0
2012-06-01,9520.0
2012-07-01,11933.0
2012-08-01,4962.0
2012-09-01,14836.0
2012-10-01,9511.0
2012-11-01,8519.0
2012-12-01,7113.0
2013-01-01,7367.0
2013-02-01,4739.0
2013-03-01,8164.0
2013-04-01,11974.0
2013-05-01,9846.0
2013-06-01,11331.0
2013-07-01,6815.0
2013-08-01,11618.0
2013-09-01,16244.0
2013-10-01,8681.0
2013-11-01,11009.0
2013-12-01,8890.0
2014-01-01,8819.0
2014-02-01,6397.0
2014-03-01,10901.0
2014-04-01,14606.0
2014-05-01,13780.0
2014-06-01,16205.0
2014-07-01,4232.0
2014-08-01,25589.0
2014-09-01,21793.0
2014-10-01,13797.0
