Tarih,TP_ODEMGZS_AVUSTURYA
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,303293.0
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,353306.0
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,368040.0
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,385260.0
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,458696.0
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,484212.0
2006-01-01,
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,423988.0
2007-01-01,
2007-02-01,
2007-03-01,
2007-04-01,
2007-05-01,
2007-06-01,
2007-07-01,
2007-08-01,
2007-09-01,
2007-10-01,
2007-11-01,
2007-12-01,473274.0
2008-01-01,20207.0
2008-02-01,16295.0
2008-03-01,23558.0
2008-04-01,22668.0
2008-05-01,32265.0
2008-06-01,44762.0
2008-07-01,69174.0
2008-08-01,145205.0
2008-09-01,49996.0
2008-10-01,41668.0
2008-11-01,25466.0
2008-12-01,14500.0
2009-01-01,21241.0
2009-02-01,16520.0
2009-03-01,21815.0
2009-04-01,28454.0
2009-05-01,32512.0
2009-06-01,42095.0
2009-07-01,82019.0
2009-08-01,141860.0
2009-09-01,61721.0
2009-10-01,47679.0
2009-11-01,25521.0
2009-12-01,16284.0
2010-01-01,18172.0
2010-02-01,14299.0
2010-03-01,23030.0
2010-04-01,24121.0
2010-05-01,33521.0
2010-06-01,41857.0
2010-07-01,84899.0
2010-08-01,105681.0
2010-09-01,59059.0
2010-10-01,52457.0
2010-11-01,26613.0
2010-12-01,14222.0
2011-01-01,18125.0
2011-02-01,19851.0
2011-03-01,28418.0
2011-04-01,39056.0
2011-05-01,33115.0
2011-06-01,43207.0
2011-07-01,96920.0
2011-08-01,94229.0
2011-09-01,67180.0
2011-10-01,45147.0
2011-11-01,32247.0
2011-12-01,13305.0
2012-01-01,17971.0
2012-02-01,16449.0
2012-03-01,19820.0
2012-04-01,28540.0
2012-05-01,35797.0
2012-06-01,46170.0
2012-07-01,83252.0
2012-08-01,95583.0
2012-09-01,78822.0
2012-10-01,41061.0
2012-11-01,27705.0
2012-12-01,12856.0
2013-01-01,16086.0
2013-02-01,16224.0
2013-03-01,25743.0
2013-04-01,29303.0
2013-05-01,37781.0
2013-06-01,54395.0
2013-07-01,68729.0
2013-08-01,115918.0
2013-09-01,71477.0
2013-10-01,42292.0
2013-11-01,24614.0
2013-12-01,12662.0
2014-01-01,17563.0
2014-02-01,15657.0
2014-03-01,17555.0
2014-04-01,29842.0
2014-05-01,37298.0
2014-06-01,53694.0
2014-07-01,66775.0
2014-08-01,127377.0
2014-09-01,66313.0
2014-10-01,41666.0
