Tarih,TP_ODEMGZS_BAHREYN
2015-03-01,1630.0
2015-04-01,2549.0
2015-05-01,2732.0
2015-06-01,1032.0
2015-07-01,1298.0
2015-08-01,5537.0
2015-09-01,3156.0
2015-10-01,2732.0
2015-11-01,2018.0
2015-12-01,3420.0
2016-01-01,3963.0
2016-02-01,5446.0
2016-03-01,2101.0
2016-04-01,3132.0
2016-05-01,3403.0
2016-06-01,864.0
2016-07-01,2818.0
2016-08-01,5162.0
2016-09-01,4366.0
2016-10-01,3171.0
2016-11-01,1786.0
2016-12-01,5219.0
2017-01-01,5085.0
2017-02-01,5288.0
2017-03-01,3071.0
2017-04-01,4576.0
2017-05-01,5178.0
2017-06-01,864.0
2017-07-01,6263.0
2017-08-01,9823.0
2017-09-01,5252.0
2017-10-01,3931.0
2017-11-01,3016.0
2017-12-01,7196.0
2018-01-01,7535.0
2018-02-01,8065.0
2018-03-01,4657.0
2018-04-01,6192.0
2018-05-01,3669.0
2018-06-01,2124.0
2018-07-01,7742.0
2018-08-01,12440.0
2018-09-01,7283.0
2018-10-01,3634.0
2018-11-01,4831.0
2018-12-01,8540.0
2019-01-01,12990.0
2019-02-01,8021.0
2019-03-01,5193.0
2019-04-01,6797.0
2019-05-01,2452.0
2019-06-01,4406.0
2019-07-01,10384.0
2019-08-01,14133.0
2019-09-01,7116.0
2019-10-01,3447.0
2019-11-01,6126.0
2019-12-01,8901.0
2020-01-01,11222.0
2020-02-01,5157.0
2020-03-01,1075.0
2020-04-01,110.0
2020-05-01,1.0
2020-06-01,2.0
2020-07-01,50.0
2020-08-01,162.0
2020-09-01,159.0
2020-10-01,294.0
2020-11-01,609.0
2020-12-01,472.0
2021-01-01,330.0
2021-02-01,545.0
2021-03-01,532.0
2021-04-01,571.0
2021-05-01,312.0
2021-06-01,1646.0
2021-07-01,8210.0
2021-08-01,11106.0
2021-09-01,9784.0
2021-10-01,8106.0
2021-11-01,7252.0
2021-12-01,11622.0
2022-01-01,11258.0
2022-02-01,6075.0
2022-03-01,7051.0
2022-04-01,1288.0
2022-05-01,9127.0
2022-06-01,11593.0
2022-07-01,13645.0
2022-08-01,10048.0
2022-09-01,7914.0
2022-10-01,6484.0
2022-11-01,5610.0
2022-12-01,8665.0
2023-01-01,11817.0
2023-02-01,5700.0
2023-03-01,1927.0
2023-04-01,1738.0
2023-05-01,4461.0
2023-06-01,5941.0
2023-07-01,8194.0
2023-08-01,9526.0
2023-09-01,4513.0
2023-10-01,2754.0
2023-11-01,2402.0
2023-12-01,6290.0
2024-01-01,9041.0
2024-02-01,5265.0
2024-03-01,2220.0
2024-04-01,3589.0
2024-05-01,4889.0
2024-06-01,5884.0
2024-07-01,6280.0
2024-08-01,8904.0
2024-09-01,3980.0
2024-10-01,3930.0
2024-11-01,3590.0
2024-12-01,7055.0
2025-01-01,8426.0
2025-02-01,4288.0
2025-03-01,596.0
2025-04-01,3505.0
2025-05-01,3668.0
2025-06-01,4429.0
2025-07-01,4057.0
2025-08-01,7464.0
