Tarih,TP_ODEMGZS_ABD
2014-11-01,45108.0
2014-12-01,32853.0
2015-01-01,31523.0
2015-02-01,24488.0
2015-03-01,39289.0
2015-04-01,53986.0
2015-05-01,78830.0
2015-06-01,110586.0
2015-07-01,102722.0
2015-08-01,98976.0
2015-09-01,98100.0
2015-10-01,94943.0
2015-11-01,44448.0
2015-12-01,30118.0
2016-01-01,31814.0
2016-02-01,22210.0
2016-03-01,35511.0
2016-04-01,35363.0
2016-05-01,56868.0
2016-06-01,70207.0
2016-07-01,48271.0
2016-08-01,44400.0
2016-09-01,40474.0
2016-10-01,39803.0
2016-11-01,23155.0
2016-12-01,21889.0
2017-01-01,22761.0
2017-02-01,14207.0
2017-03-01,20573.0
2017-04-01,26782.0
2017-05-01,28654.0
2017-06-01,33103.0
2017-07-01,46999.0
2017-08-01,49788.0
2017-09-01,40600.0
2017-10-01,27781.0
2017-11-01,13924.0
2017-12-01,12863.0
2018-01-01,20464.0
2018-02-01,17103.0
2018-03-01,25488.0
2018-04-01,32102.0
2018-05-01,35961.0
2018-06-01,45363.0
2018-07-01,57228.0
2018-08-01,61493.0
2018-09-01,51294.0
2018-10-01,43106.0
2018-11-01,30831.0
2018-12-01,29465.0
2019-01-01,30504.0
2019-02-01,21937.0
2019-03-01,36618.0
2019-04-01,42745.0
2019-05-01,45148.0
2019-06-01,62241.0
2019-07-01,77345.0
2019-08-01,76831.0
2019-09-01,63471.0
2019-10-01,57220.0
2019-11-01,34576.0
2019-12-01,36667.0
2020-01-01,34008.0
2020-02-01,22779.0
2020-03-01,15833.0
2020-04-01,304.0
2020-05-01,238.0
2020-06-01,1451.0
2020-07-01,4718.0
2020-08-01,12630.0
2020-09-01,16536.0
2020-10-01,16973.0
2020-11-01,14096.0
2020-12-01,12230.0
2021-01-01,11421.0
2021-02-01,8275.0
2021-03-01,11735.0
2021-04-01,14130.0
2021-05-01,14400.0
2021-06-01,29750.0
2021-07-01,52584.0
2021-08-01,66673.0
2021-09-01,45239.0
2021-10-01,44334.0
2021-11-01,39468.0
2021-12-01,32790.0
2022-01-01,33839.0
2022-02-01,21539.0
2022-03-01,37367.0
2022-04-01,52430.0
2022-05-01,89895.0
2022-06-01,121289.0
2022-07-01,136823.0
2022-08-01,137958.0
2022-09-01,121289.0
2022-10-01,131787.0
2022-11-01,83559.0
2022-12-01,52836.0
2023-01-01,55458.0
2023-02-01,35723.0
2023-03-01,63074.0
2023-04-01,81746.0
2023-05-01,132623.0
2023-06-01,158753.0
2023-07-01,170447.0
2023-08-01,152497.0
2023-09-01,152325.0
2023-10-01,195833.0
2023-11-01,96980.0
2023-12-01,54417.0
2024-01-01,57845.0
2024-02-01,43730.0
2024-03-01,70508.0
2024-04-01,73380.0
2024-05-01,136619.0
2024-06-01,172993.0
2024-07-01,197625.0
2024-08-01,185654.0
2024-09-01,164558.0
2024-10-01,186590.0
2024-11-01,87079.0
2024-12-01,75905.0
2025-01-01,69883.0
2025-02-01,53614.0
2025-03-01,62442.0
2025-04-01,88156.0
2025-05-01,158591.0
2025-06-01,195118.0
2025-07-01,152436.0
2025-08-01,186295.0
