Tarih,TP_ODEMGZS_YEMEN
2015-06-01,1814.0
2015-07-01,1100.0
2015-08-01,3036.0
2015-09-01,2398.0
2015-10-01,2596.0
2015-11-01,1601.0
2015-12-01,1330.0
2016-01-01,1606.0
2016-02-01,1092.0
2016-03-01,1570.0
2016-04-01,1732.0
2016-05-01,1947.0
2016-06-01,1466.0
2016-07-01,1842.0
2016-08-01,2834.0
2016-09-01,4259.0
2016-10-01,2123.0
2016-11-01,2463.0
2016-12-01,1469.0
2017-01-01,1626.0
2017-02-01,1694.0
2017-03-01,1738.0
2017-04-01,2686.0
2017-05-01,2566.0
2017-06-01,997.0
2017-07-01,2891.0
2017-08-01,2769.0
2017-09-01,3722.0
2017-10-01,2468.0
2017-11-01,2236.0
2017-12-01,1943.0
2018-01-01,2803.0
2018-02-01,2088.0
2018-03-01,2612.0
2018-04-01,3175.0
2018-05-01,2798.0
2018-06-01,2179.0
2018-07-01,3783.0
2018-08-01,4679.0
2018-09-01,3863.0
2018-10-01,2786.0
2018-11-01,2481.0
2018-12-01,2299.0
2019-01-01,3275.0
2019-02-01,2390.0
2019-03-01,2861.0
2019-04-01,3029.0
2019-05-01,2356.0
2019-06-01,2600.0
2019-07-01,4083.0
2019-08-01,5702.0
2019-09-01,3588.0
2019-10-01,2819.0
2019-11-01,2703.0
2019-12-01,2583.0
2020-01-01,4067.0
2020-02-01,2758.0
2020-03-01,1265.0
2020-04-01,11.0
2020-05-01,8.0
2020-06-01,25.0
2020-07-01,211.0
2020-08-01,606.0
2020-09-01,719.0
2020-10-01,1078.0
2020-11-01,855.0
2020-12-01,906.0
2021-01-01,1069.0
2021-02-01,627.0
2021-03-01,710.0
2021-04-01,949.0
2021-05-01,672.0
2021-06-01,1069.0
2021-07-01,2008.0
2021-08-01,2640.0
2021-09-01,1833.0
2021-10-01,1922.0
2021-11-01,1535.0
2021-12-01,1928.0
2022-01-01,1957.0
2022-02-01,1596.0
2022-03-01,2220.0
2022-04-01,1584.0
2022-05-01,2241.0
2022-06-01,2932.0
2022-07-01,4417.0
2022-08-01,5015.0
2022-09-01,3847.0
2022-10-01,2723.0
2022-11-01,2324.0
2022-12-01,2675.0
2023-01-01,2912.0
2023-02-01,2561.0
2023-03-01,3017.0
2023-04-01,2050.0
2023-05-01,2244.0
2023-06-01,3268.0
2023-07-01,4938.0
2023-08-01,6112.0
2023-09-01,2957.0
2023-10-01,2521.0
2023-11-01,2214.0
2023-12-01,2169.0
2024-01-01,2635.0
2024-02-01,2237.0
2024-03-01,1903.0
2024-04-01,2061.0
2024-05-01,2126.0
2024-06-01,3691.0
2024-07-01,4450.0
2024-08-01,4302.0
2024-09-01,2565.0
2024-10-01,2209.0
2024-11-01,2432.0
2024-12-01,1851.0
2025-01-01,2869.0
2025-02-01,2323.0
2025-03-01,1780.0
2025-04-01,1992.0
2025-05-01,1908.0
2025-06-01,2874.0
2025-07-01,3679.0
2025-08-01,4313.0
