Tarih,TP_ODEMGZS_ISRAIL
2014-11-01,8750.0
2014-12-01,7292.0
2015-01-01,8204.0
2015-02-01,5722.0
2015-03-01,7347.0
2015-04-01,21985.0
2015-05-01,14729.0
2015-06-01,13534.0
2015-07-01,29150.0
2015-08-01,40019.0
2015-09-01,35583.0
2015-10-01,24391.0
2015-11-01,11603.0
2015-12-01,11820.0
2016-01-01,14197.0
2016-02-01,9360.0
2016-03-01,14652.0
2016-04-01,22890.0
2016-05-01,19383.0
2016-06-01,12609.0
2016-07-01,40814.0
2016-08-01,48843.0
2016-09-01,52590.0
2016-10-01,29669.0
2016-11-01,15416.0
2016-12-01,13618.0
2017-01-01,14450.0
2017-02-01,8537.0
2017-03-01,13297.0
2017-04-01,45811.0
2017-05-01,24947.0
2017-06-01,20478.0
2017-07-01,54936.0
2017-08-01,60852.0
2017-09-01,59454.0
2017-10-01,38281.0
2017-11-01,17858.0
2017-12-01,19924.0
2018-01-01,23550.0
2018-02-01,14701.0
2018-03-01,18850.0
2018-04-01,67746.0
2018-05-01,19749.0
2018-06-01,27650.0
2018-07-01,49341.0
2018-08-01,75782.0
2018-09-01,51138.0
2018-10-01,39759.0
2018-11-01,25205.0
2018-12-01,27950.0
2019-01-01,34380.0
2019-02-01,19880.0
2019-03-01,26093.0
2019-04-01,61273.0
2019-05-01,29844.0
2019-06-01,45352.0
2019-07-01,64698.0
2019-08-01,96152.0
2019-09-01,56001.0
2019-10-01,62169.0
2019-11-01,36796.0
2019-12-01,35513.0
2020-01-01,44076.0
2020-02-01,23987.0
2020-03-01,9189.0
2020-04-01,95.0
2020-05-01,47.0
2020-06-01,133.0
2020-07-01,1532.0
2020-08-01,9975.0
2020-09-01,9859.0
2020-10-01,18533.0
2020-11-01,15466.0
2020-12-01,6495.0
2021-01-01,4513.0
2021-02-01,1030.0
2021-03-01,3501.0
2021-04-01,13312.0
2021-05-01,2377.0
2021-06-01,14356.0
2021-07-01,59561.0
2021-08-01,14024.0
2021-09-01,2988.0
2021-10-01,29097.0
2021-11-01,47271.0
2021-12-01,32246.0
2022-01-01,16895.0
2022-02-01,29615.0
2022-03-01,47404.0
2022-04-01,50673.0
2022-05-01,94597.0
2022-06-01,64215.0
2022-07-01,101958.0
2022-08-01,115069.0
2022-09-01,98338.0
2022-10-01,88105.0
2022-11-01,68123.0
2022-12-01,56196.0
2023-01-01,56843.0
2023-02-01,34177.0
2023-03-01,40687.0
2023-04-01,68588.0
2023-05-01,70044.0
2023-06-01,76190.0
2023-07-01,130180.0
2023-08-01,145008.0
2023-09-01,98350.0
2023-10-01,53909.0
2023-11-01,2155.0
2023-12-01,3046.0
2024-01-01,5066.0
2024-02-01,4448.0
2024-03-01,3608.0
2024-04-01,6964.0
2024-05-01,5797.0
2024-06-01,9153.0
2024-07-01,9823.0
2024-08-01,13767.0
2024-09-01,7085.0
2024-10-01,7080.0
2024-11-01,5023.0
2024-12-01,5969.0
2025-01-01,11175.0
2025-02-01,6464.0
2025-03-01,2307.0
2025-04-01,12200.0
2025-05-01,6095.0
2025-06-01,13863.0
2025-07-01,11384.0
2025-08-01,20624.0
