Tarih,TP_ODEMGZS_OZBEKISTAN
2015-01-01,7144.0
2015-02-01,9072.0
2015-03-01,10145.0
2015-04-01,8575.0
2015-05-01,10039.0
2015-06-01,12358.0
2015-07-01,13041.0
2015-08-01,18720.0
2015-09-01,13115.0
2015-10-01,9875.0
2015-11-01,7613.0
2015-12-01,7326.0
2016-01-01,4770.0
2016-02-01,6519.0
2016-03-01,7526.0
2016-04-01,7199.0
2016-05-01,8648.0
2016-06-01,9724.0
2016-07-01,10473.0
2016-08-01,13520.0
2016-09-01,9769.0
2016-10-01,9243.0
2016-11-01,8210.0
2016-12-01,8924.0
2017-01-01,7732.0
2017-02-01,9327.0
2017-03-01,10993.0
2017-04-01,10592.0
2017-05-01,12712.0
2017-06-01,13011.0
2017-07-01,17357.0
2017-08-01,20024.0
2017-09-01,14602.0
2017-10-01,14341.0
2017-11-01,13637.0
2017-12-01,14711.0
2018-01-01,10939.0
2018-02-01,12238.0
2018-03-01,14226.0
2018-04-01,13883.0
2018-05-01,16127.0
2018-06-01,17428.0
2018-07-01,22916.0
2018-08-01,26689.0
2018-09-01,24297.0
2018-10-01,21361.0
2018-11-01,19979.0
2018-12-01,19397.0
2019-01-01,15191.0
2019-02-01,16005.0
2019-03-01,17500.0
2019-04-01,16692.0
2019-05-01,21342.0
2019-06-01,22200.0
2019-07-01,28134.0
2019-08-01,32651.0
2019-09-01,27686.0
2019-10-01,23768.0
2019-11-01,22132.0
2019-12-01,20692.0
2020-01-01,14106.0
2020-02-01,16805.0
2020-03-01,10634.0
2020-04-01,256.0
2020-05-01,904.0
2020-06-01,1789.0
2020-07-01,2592.0
2020-08-01,3823.0
2020-09-01,9584.0
2020-10-01,15396.0
2020-11-01,13314.0
2020-12-01,12966.0
2021-01-01,9738.0
2021-02-01,12082.0
2021-03-01,14328.0
2021-04-01,16713.0
2021-05-01,9250.0
2021-06-01,18898.0
2021-07-01,27470.0
2021-08-01,34408.0
2021-09-01,31768.0
2021-10-01,30157.0
2021-11-01,27176.0
2021-12-01,29768.0
2022-01-01,24333.0
2022-02-01,27396.0
2022-03-01,28730.0
2022-04-01,24847.0
2022-05-01,32811.0
2022-06-01,42406.0
2022-07-01,45691.0
2022-08-01,53052.0
2022-09-01,48142.0
2022-10-01,39250.0
2022-11-01,35128.0
2022-12-01,32648.0
2023-01-01,28085.0
2023-02-01,28815.0
2023-03-01,32340.0
2023-04-01,27277.0
2023-05-01,34604.0
2023-06-01,43829.0
2023-07-01,50624.0
2023-08-01,60465.0
2023-09-01,52082.0
2023-10-01,42739.0
2023-11-01,36457.0
2023-12-01,35142.0
2024-01-01,31650.0
2024-02-01,32175.0
2024-03-01,34100.0
2024-04-01,32552.0
2024-05-01,41146.0
2024-06-01,54092.0
2024-07-01,62258.0
2024-08-01,71184.0
2024-09-01,59962.0
2024-10-01,49327.0
2024-11-01,43354.0
2024-12-01,41796.0
2025-01-01,36030.0
2025-02-01,37176.0
2025-03-01,37084.0
2025-04-01,38524.0
2025-05-01,48513.0
2025-06-01,64645.0
2025-07-01,76576.0
2025-08-01,84642.0
