Tarih,TP_ODEMGZS_YUNANISTAN
2014-11-01,62220.0
2014-12-01,56084.0
2015-01-01,52706.0
2015-02-01,40633.0
2015-03-01,58978.0
2015-04-01,73150.0
2015-05-01,68717.0
2015-06-01,66454.0
2015-07-01,54914.0
2015-08-01,79934.0
2015-09-01,67371.0
2015-10-01,75201.0
2015-11-01,59632.0
2015-12-01,57735.0
2016-01-01,45153.0
2016-02-01,32192.0
2016-03-01,49858.0
2016-04-01,52969.0
2016-05-01,55973.0
2016-06-01,51264.0
2016-07-01,43206.0
2016-08-01,55819.0
2016-09-01,52109.0
2016-10-01,60320.0
2016-11-01,49381.0
2016-12-01,45608.0
2017-01-01,33390.0
2017-02-01,34456.0
2017-03-01,40132.0
2017-04-01,49899.0
2017-05-01,48557.0
2017-06-01,48762.0
2017-07-01,53494.0
2017-08-01,68895.0
2017-09-01,57325.0
2017-10-01,68247.0
2017-11-01,56526.0
2017-12-01,62434.0
2018-01-01,53255.0
2018-02-01,40704.0
2018-03-01,31518.0
2018-04-01,42954.0
2018-05-01,40393.0
2018-06-01,41308.0
2018-07-01,48627.0
2018-08-01,77763.0
2018-09-01,77433.0
2018-10-01,89837.0
2018-11-01,70121.0
2018-12-01,71226.0
2019-01-01,52507.0
2019-02-01,44463.0
2019-03-01,74192.0
2019-04-01,72844.0
2019-05-01,73968.0
2019-06-01,69733.0
2019-07-01,69246.0
2019-08-01,87958.0
2019-09-01,78108.0
2019-10-01,88335.0
2019-11-01,64263.0
2019-12-01,61352.0
2020-01-01,52354.0
2020-02-01,38974.0
2020-03-01,14582.0
2020-04-01,598.0
2020-05-01,597.0
2020-06-01,3437.0
2020-07-01,12381.0
2020-08-01,5774.0
2020-09-01,3674.0
2020-10-01,4394.0
2020-11-01,2608.0
2020-12-01,2432.0
2021-01-01,2065.0
2021-02-01,2029.0
2021-03-01,2724.0
2021-04-01,3441.0
2021-05-01,3647.0
2021-06-01,7395.0
2021-07-01,13929.0
2021-08-01,17933.0
2021-09-01,19598.0
2021-10-01,29424.0
2021-11-01,25336.0
2021-12-01,25970.0
2022-01-01,15596.0
2022-02-01,19557.0
2022-03-01,37293.0
2022-04-01,51271.0
2022-05-01,51491.0
2022-06-01,54260.0
2022-07-01,50241.0
2022-08-01,66406.0
2022-09-01,55336.0
2022-10-01,67078.0
2022-11-01,49517.0
2022-12-01,49775.0
2023-01-01,50410.0
2023-02-01,38141.0
2023-03-01,46113.0
2023-04-01,58126.0
2023-05-01,51030.0
2023-06-01,58858.0
2023-07-01,55207.0
2023-08-01,75824.0
2023-09-01,62054.0
2023-10-01,69311.0
2023-11-01,58045.0
2023-12-01,62143.0
2024-01-01,55795.0
2024-02-01,47098.0
2024-03-01,68640.0
2024-04-01,56033.0
2024-05-01,69494.0
2024-06-01,55837.0
2024-07-01,49451.0
2024-08-01,62912.0
2024-09-01,57626.0
2024-10-01,71095.0
2024-11-01,57310.0
2024-12-01,56095.0
2025-01-01,52302.0
2025-02-01,40847.0
2025-03-01,63134.0
2025-04-01,53822.0
2025-05-01,49777.0
2025-06-01,48522.0
2025-07-01,42330.0
2025-08-01,59652.0
