Tarih,TP_ODEMGZS_BOSNAHERSEK
2015-01-01,4321.0
2015-02-01,3440.0
2015-03-01,5466.0
2015-04-01,5996.0
2015-05-01,7800.0
2015-06-01,10023.0
2015-07-01,9493.0
2015-08-01,15317.0
2015-09-01,8773.0
2015-10-01,7211.0
2015-11-01,4428.0
2015-12-01,4181.0
2016-01-01,4059.0
2016-02-01,3801.0
2016-03-01,4922.0
2016-04-01,4628.0
2016-05-01,5898.0
2016-06-01,6023.0
2016-07-01,7981.0
2016-08-01,9191.0
2016-09-01,6222.0
2016-10-01,6635.0
2016-11-01,4186.0
2016-12-01,3161.0
2017-01-01,3549.0
2017-02-01,3385.0
2017-03-01,4885.0
2017-04-01,5825.0
2017-05-01,7112.0
2017-06-01,6704.0
2017-07-01,14757.0
2017-08-01,14333.0
2017-09-01,9920.0
2017-10-01,9540.0
2017-11-01,5637.0
2017-12-01,4161.0
2018-01-01,5385.0
2018-02-01,4061.0
2018-03-01,6790.0
2018-04-01,9435.0
2018-05-01,9961.0
2018-06-01,9957.0
2018-07-01,19863.0
2018-08-01,16554.0
2018-09-01,14806.0
2018-10-01,11961.0
2018-11-01,6653.0
2018-12-01,4425.0
2019-01-01,5896.0
2019-02-01,4749.0
2019-03-01,9377.0
2019-04-01,10974.0
2019-05-01,9136.0
2019-06-01,15613.0
2019-07-01,22184.0
2019-08-01,22829.0
2019-09-01,17594.0
2019-10-01,13593.0
2019-11-01,7514.0
2019-12-01,4738.0
2020-01-01,6468.0
2020-02-01,5148.0
2020-03-01,5249.0
2020-04-01,587.0
2020-05-01,477.0
2020-06-01,1181.0
2020-07-01,5335.0
2020-08-01,10774.0
2020-09-01,10472.0
2020-10-01,9833.0
2020-11-01,4350.0
2020-12-01,3059.0
2021-01-01,2692.0
2021-02-01,2385.0
2021-03-01,5801.0
2021-04-01,3812.0
2021-05-01,4327.0
2021-06-01,12395.0
2021-07-01,20029.0
2021-08-01,28385.0
2021-09-01,19343.0
2021-10-01,14817.0
2021-11-01,9450.0
2021-12-01,5426.0
2022-01-01,8984.0
2022-02-01,5970.0
2022-03-01,12764.0
2022-04-01,9040.0
2022-05-01,15905.0
2022-06-01,23604.0
2022-07-01,31398.0
2022-08-01,35372.0
2022-09-01,26132.0
2022-10-01,16988.0
2022-11-01,9374.0
2022-12-01,5633.0
2023-01-01,9021.0
2023-02-01,5771.0
2023-03-01,8340.0
2023-04-01,7424.0
2023-05-01,14830.0
2023-06-01,20930.0
2023-07-01,25962.0
2023-08-01,29296.0
2023-09-01,23024.0
2023-10-01,17420.0
2023-11-01,9141.0
2023-12-01,5891.0
2024-01-01,10200.0
2024-02-01,6844.0
2024-03-01,10132.0
2024-04-01,10758.0
2024-05-01,18687.0
2024-06-01,21320.0
2024-07-01,27540.0
2024-08-01,30278.0
2024-09-01,24515.0
2024-10-01,18685.0
2024-11-01,11102.0
2024-12-01,6806.0
2025-01-01,11315.0
2025-02-01,6793.0
2025-03-01,7304.0
2025-04-01,12534.0
2025-05-01,16469.0
2025-06-01,22410.0
2025-07-01,24677.0
2025-08-01,26531.0
