Tarih,TP_ODEMGZS_FAS
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,10358.0
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,11333.0
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,11899.0
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,13126.0
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,14392.0
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,24210.0
2006-01-01,
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,27102.0
2007-01-01,
2007-02-01,
2007-03-01,
2007-04-01,
2007-05-01,
2007-06-01,
2007-07-01,
2007-08-01,
2007-09-01,
2007-10-01,
2007-11-01,
2007-12-01,35250.0
2008-01-01,2088.0
2008-02-01,2094.0
2008-03-01,2338.0
2008-04-01,2774.0
2008-05-01,3274.0
2008-06-01,3460.0
2008-07-01,4296.0
2008-08-01,7853.0
2008-09-01,1910.0
2008-10-01,3500.0
2008-11-01,2875.0
2008-12-01,2722.0
2009-01-01,2857.0
2009-02-01,2510.0
2009-03-01,4680.0
2009-04-01,5724.0
2009-05-01,4719.0
2009-06-01,4905.0
2009-07-01,8232.0
2009-08-01,10410.0
2009-09-01,2615.0
2009-10-01,5420.0
2009-11-01,5172.0
2009-12-01,5519.0
2010-01-01,3107.0
2010-02-01,3082.0
2010-03-01,4175.0
2010-04-01,4610.0
2010-05-01,4764.0
2010-06-01,4483.0
2010-07-01,8455.0
2010-08-01,6104.0
2010-09-01,3817.0
2010-10-01,4512.0
2010-11-01,4129.0
2010-12-01,3136.0
2011-01-01,4187.0
2011-02-01,3634.0
2011-03-01,5042.0
2011-04-01,6935.0
2011-05-01,5699.0
2011-06-01,4994.0
2011-07-01,11766.0
2011-08-01,3547.0
2011-09-01,6378.0
2011-10-01,5180.0
2011-11-01,4579.0
2011-12-01,3674.0
2012-01-01,4219.0
2012-02-01,4933.0
2012-03-01,4468.0
2012-04-01,7909.0
2012-05-01,6457.0
2012-06-01,6660.0
2012-07-01,8746.0
2012-08-01,6375.0
2012-09-01,9612.0
2012-10-01,6022.0
2012-11-01,5799.0
2012-12-01,4539.0
2013-01-01,5529.0
2013-02-01,4758.0
2013-03-01,5707.0
2013-04-01,9515.0
2013-05-01,7376.0
2013-06-01,6932.0
2013-07-01,4306.0
2013-08-01,10398.0
2013-09-01,8468.0
2013-10-01,6030.0
2013-11-01,6228.0
2013-12-01,4616.0
2014-01-01,5706.0
2014-02-01,4812.0
2014-03-01,6326.0
2014-04-01,7754.0
2014-05-01,8570.0
2014-06-01,8061.0
2014-07-01,3150.0
2014-08-01,14798.0
2014-09-01,10326.0
2014-10-01,6538.0
