Tarih,TP_ODEMGZS_MOLDOVACUM
2024-09-01,47128.0
2024-10-01,32544.0
2024-11-01,12967.0
2024-12-01,12722.0
2025-01-01,10802.0
2025-02-01,9998.0
2025-03-01,12491.0
2025-04-01,13594.0
2025-05-01,24137.0
2025-06-01,54754.0
2025-07-01,58501.0
2025-08-01,55587.0
